rank,strategy,score,full_return_pct,full_trades,full_win_rate_pct,wf_passed,wf_total,wf_avg_return_pct,wf_avg_trades,resample_passed,resample_total,resample_avg_return_pct,resample_avg_trades,universe_first_place,universe_total,loo_first_place,loo_total,bootstrap_first_place,bootstrap_total
1,Turtle+Regime,0.949323,3171.6,398,53.02,4,4,723.5,73.0,15,15,962.8,96.7,9,9,6,6,56,64
2,Turtle20,0.507090,2737.4,450,50.00,4,4,616.6,82.2,14,15,843.3,107.7,0,9,0,6,6,64
3,MACD,0.506103,352.2,691,44.43,4,4,358.0,124.5,15,15,447.2,162.0,0,9,0,6,1,64
4,MaCross50,0.473167,1801.1,303,53.80,4,4,367.8,54.0,14,15,500.7,70.0,0,9,0,6,1,64
5,MomentumBreakout,0.457676,2787.4,273,50.92,4,4,587.5,48.8,13,15,744.6,64.0,0,9,0,6,0,64
6,Turtle+MACD,0.432254,1591.7,173,52.60,2,4,378.2,30.5,15,15,475.8,39.3,0,9,0,6,0,64
7,MACD+Regime,0.398686,929.2,449,45.43,3,4,221.5,80.8,12,15,347.5,104.7,0,9,0,6,0,64
8,Turtle+Regime+MACD,0.357898,1462.3,158,51.90,1,4,356.1,28.5,13,15,446.4,36.7,0,9,0,6,0,64
