universe,window,equity
Base5,0,5.298350
Base5,1,2.441202
Base5,2,1.727458
Base5,3,2.809490
Base5,4,1.260612
Base5,5,1.018787
Base5,6,1.063951
NoDOGE,0,5.298350
NoDOGE,1,0.788720
NoDOGE,2,1.682432
NoDOGE,3,2.809490
NoDOGE,4,1.260612
NoDOGE,5,1.018787
NoDOGE,6,1.332741
Legacy4,0,1.132634
Legacy4,1,1.061664
Legacy4,2,3.371818
Legacy4,3,1.859566
Legacy4,4,0.980272
Legacy4,5,0.934773
Legacy4,6,1.351446
Legacy5BNB,0,1.261879
Legacy5BNB,1,0.997293
Legacy5BNB,2,2.708219
Legacy5BNB,3,1.645232
Legacy5BNB,4,0.970500
Legacy5BNB,5,0.965644
Legacy5BNB,6,1.351446
OldGuardNoBNB,0,0.861771
OldGuardNoBNB,1,1.034681
OldGuardNoBNB,2,3.371818
OldGuardNoBNB,3,1.859566
OldGuardNoBNB,4,1.084869
OldGuardNoBNB,5,0.470009
OldGuardNoBNB,6,1.351446
LargeCaps5,0,4.675429
LargeCaps5,1,0.788720
LargeCaps5,2,1.682432
LargeCaps5,3,2.172559
LargeCaps5,4,1.260612
LargeCaps5,5,1.018787
LargeCaps5,6,1.332741
Legacy3,0,1.356574
Legacy3,1,1.116004
Legacy3,2,3.227906
Legacy3,3,1.746956
Legacy3,4,0.911706
Legacy3,5,0.875395
Legacy3,6,1.182250
LowVolume5,0,0.753832
LowVolume5,1,0.851053
LowVolume5,2,1.976512
LowVolume5,3,1.555810
LowVolume5,4,0.767022
LowVolume5,5,0.358080
LowVolume5,6,1.256887
OldGuard4,0,0.596548
OldGuard4,1,1.103923
OldGuard4,2,3.227906
OldGuard4,3,1.746956
OldGuard4,4,1.234133
OldGuard4,5,0.447551
OldGuard4,6,1.168853
