ad_period,universe,window,step,equity
40,Base5,0,0,1
40,Base5,0,1,1
40,Base5,0,2,1.0747878869795473
40,Base5,0,3,1.0747878869795473
40,Base5,0,4,1.0747878869795473
40,Base5,0,5,1.0747878869795473
40,Base5,0,6,1.0747878869795473
40,Base5,0,7,1.0747878869795473
40,Base5,0,8,1.0747878869795473
40,Base5,0,9,1.3142429530197448
40,Base5,0,10,1.6264664169968113
40,Base5,0,11,1.6264664169968113
40,Base5,0,12,1.6264664169968113
40,Base5,0,13,1.6264664169968113
40,Base5,0,14,1.6264664169968113
40,Base5,0,15,1.6264664169968113
40,Base5,0,16,1.6264664169968113
40,Base5,0,17,1.6264664169968113
40,Base5,0,18,1.6264664169968113
40,Base5,0,19,1.6264664169968113
40,Base5,0,20,1.6264664169968113
40,Base5,0,21,2.471699937334727
40,Base5,0,22,2.471699937334727
40,Base5,0,23,2.471699937334727
40,Base5,0,24,2.471699937334727
40,Base5,0,25,2.471699937334727
40,Base5,0,26,2.471699937334727
40,Base5,0,27,2.471699937334727
40,Base5,0,28,2.471699937334727
40,Base5,0,29,2.471699937334727
40,Base5,0,30,2.471699937334727
40,Base5,0,31,2.471699937334727
40,Base5,0,32,2.471699937334727
40,Base5,0,33,2.471699937334727
40,Base5,0,34,2.471699937334727
40,Base5,0,35,2.471699937334727
40,Base5,0,36,2.471699937334727
40,Base5,0,37,2.471699937334727
40,Base5,0,38,2.471699937334727
40,Base5,0,39,2.471699937334727
40,Base5,0,40,2.471699937334727
40,Base5,0,41,2.471699937334727
40,Base5,0,42,2.471699937334727
40,Base5,0,43,2.471699937334727
40,Base5,0,44,2.471699937334727
40,Base5,0,45,1.8427286954736497
40,Base5,0,46,1.8427286954736497
40,Base5,0,47,1.8427286954736497
40,Base5,0,48,1.8427286954736497
40,Base5,0,49,1.8427286954736497
40,Base5,0,50,1.8427286954736497
40,Base5,0,51,1.8427286954736497
40,Base5,0,52,1.8427286954736497
40,Base5,0,53,1.8427286954736497
40,Base5,0,54,1.8427286954736497
40,Base5,0,55,1.8427286954736497
40,Base5,0,56,1.8427286954736497
40,Base5,0,57,1.8427286954736497
40,Base5,0,58,1.8427286954736497
40,Base5,0,59,1.8427286954736497
40,Base5,0,60,1.8427286954736497
40,Base5,0,61,1.8427286954736497
40,Base5,0,62,1.8427286954736497
40,Base5,0,63,1.8427286954736497
40,Base5,0,64,1.8427286954736497
40,Base5,0,65,1.8427286954736497
40,Base5,0,66,1.8427286954736497
40,Base5,0,67,1.8427286954736497
40,Base5,0,68,1.8427286954736497
