window,T_0,T_5,T_24
0,6.364796,5.730039,2.824490
1,8.507303,5.597243,4.884534
2,1.698749,1.667304,3.117860
3,1.384380,0.559044,1.939345
4,1.160746,0.865078,0.994328
5,0.627711,1.203961,1.148126
6,1.160996,1.160996,1.968833
