symbol,window,cp,pass,sharpe,drawdown,equity,trades,return_pct
EOSUSDT,3,15,1,3.4103,29.87,1.2523,10,25.23
BTCUSDT,4,15,1,1.3371,30.53,1.0394,11,3.94
ETHUSDT,4,15,1,8.5176,53.31,2.1085,10,110.85
XRPUSDT,4,15,1,-6.8204,36.69,0.6501,8,-34.99
LTCUSDT,4,15,1,2.6881,35.44,1.1555,9,15.55
EOSUSDT,4,15,1,-2.8104,27.98,0.8629,4,-13.71
BTCUSDT,5,15,1,-13.2568,16.82,0.8318,4,-16.82
ETHUSDT,5,15,1,-2.9063,8.81,0.9341,5,-6.59
XRPUSDT,5,15,1,8.0283,31.22,1.4540,5,45.40
LTCUSDT,5,15,1,11.5592,28.83,1.3428,3,34.28
EOSUSDT,5,15,1,-3.3141,27.38,0.8482,6,-15.18
BTCUSDT,0,20,1,-5.8554,20.92,0.8240,9,-17.60
ETHUSDT,0,20,1,-2.6120,13.91,0.9335,7,-6.65
XRPUSDT,0,20,1,0.0000,0.32,0.9968,4,-0.32
LTCUSDT,0,20,1,-11.4032,17.00,0.8300,5,-17.00
EOSUSDT,0,20,1,-1.6054,27.98,0.8087,6,-19.13
BTCUSDT,1,20,1,5.3848,38.40,1.4734,9,47.34
ETHUSDT,1,20,1,1.1421,23.41,1.0177,8,1.77
XRPUSDT,1,20,1,-6.7039,8.99,0.9101,8,-8.99
LTCUSDT,1,20,1,-1.8320,24.54,0.8306,12,-16.94
EOSUSDT,1,20,1,-4.4131,24.59,0.8000,9,-20.00
BTCUSDT,2,20,1,3.4874,19.07,1.1197,8,11.97
ETHUSDT,2,20,1,10.9674,39.74,1.6594,7,65.94
XRPUSDT,2,20,1,3.1081,12.93,1.0888,9,8.88
LTCUSDT,2,20,1,5.7849,32.07,1.2643,6,26.43
EOSUSDT,2,20,1,0.6274,39.00,0.9803,11,-1.97
BTCUSDT,3,20,1,5.7344,43.92,1.6005,14,60.05
ETHUSDT,3,20,1,5.4714,56.14,1.9996,14,99.96
XRPUSDT,3,20,1,9.2844,63.92,2.7669,9,176.69
LTCUSDT,3,20,1,-2.6264,49.23,0.6788,15,-32.12
EOSUSDT,3,20,1,2.7644,31.26,1.1507,11,15.07
BTCUSDT,4,20,1,0.0539,38.59,0.9188,11,-8.12
ETHUSDT,4,20,1,8.5176,53.31,2.1085,10,110.85
XRPUSDT,4,20,1,-6.8720,38.31,0.6336,8,-36.64
LTCUSDT,4,20,1,0.7244,38.67,0.9248,10,-7.52
EOSUSDT,4,20,1,-2.8104,27.98,0.8629,4,-13.71
BTCUSDT,5,20,1,-40.0384,22.42,0.7758,4,-22.42
ETHUSDT,5,20,1,-2.9063,8.81,0.9341,5,-6.59
XRPUSDT,5,20,1,4.6795,29.69,1.2834,7,28.34
LTCUSDT,5,20,1,11.5592,28.83,1.3428,3,34.28
EOSUSDT,5,20,1,-2.1381,23.16,0.8951,6,-10.49
BTCUSDT,0,28,1,-6.4155,23.10,0.7998,9,-20.02
ETHUSDT,0,28,1,-2.6120,13.91,0.9335,7,-6.65
XRPUSDT,0,28,1,-9.4445,10.79,0.8921,4,-10.79
LTCUSDT,0,28,1,-9.2879,15.68,0.8503,5,-14.97
EOSUSDT,0,28,1,1.0846,26.86,0.9880,6,-1.20
BTCUSDT,1,28,1,4.0247,27.71,1.2554,10,25.54
ETHUSDT,1,28,1,2.7263,17.31,1.0988,8,9.88
XRPUSDT,1,28,1,-6.7039,8.99,0.9101,8,-8.99
LTCUSDT,1,28,1,1.2803,22.32,1.0375,11,3.75
EOSUSDT,1,28,1,-5.8005,12.17,0.8783,10,-12.17
BTCUSDT,2,28,1,1.4295,19.07,1.0330,8,3.30
ETHUSDT,2,28,1,10.9674,39.74,1.6594,7,65.94
XRPUSDT,2,28,1,6.6889,17.88,1.1821,8,18.21
LTCUSDT,2,28,1,6.6092,32.07,1.3045,6,30.45
EOSUSDT,2,28,1,1.4210,37.77,1.0492,12,4.92
BTCUSDT,3,28,1,6.9862,47.54,1.7112,13,71.12
ETHUSDT,3,28,1,4.7629,55.37,1.7568,16,75.68
XRPUSDT,3,28,1,8.4647,67.00,3.0253,9,202.53
LTCUSDT,3,28,1,-1.7749,49.23,0.7536,15,-24.64
EOSUSDT,3,28,1,4.0416,28.79,1.2616,15,26.16
BTCUSDT,4,28,1,-0.0468,38.59,0.9098,11,-9.02
ETHUSDT,4,28,1,8.9515,55.11,2.1931,10,119.31
XRPUSDT,4,28,1,-7.5817,42.19,0.5781,8,-42.19
LTCUSDT,4,28,1,2.1379,35.44,1.0833,9,8.33
EOSUSDT,4,28,1,-2.8104,27.98,0.8629,4,-13.71
BTCUSDT,5,28,1,-40.0384,22.42,0.7758,4,-22.42
ETHUSDT,5,28,1,-2.9063,8.81,0.9341,5,-6.59
XRPUSDT,5,28,1,4.1314,29.69,1.2393,7,23.93
LTCUSDT,5,28,1,11.5592,28.83,1.3428,3,34.28
EOSUSDT,5,28,1,0.4438,23.16,0.9730,5,-2.70
BTCUSDT,0,42,1,-6.4155,23.10,0.7998,9,-20.02
ETHUSDT,0,42,1,-3.0391,15.07,0.9210,8,-7.90
XRPUSDT,0,42,1,-14.5228,18.43,0.8157,4,-18.43
LTCUSDT,0,42,1,-9.2879,15.68,0.8503,5,-14.97
EOSUSDT,0,42,1,0.5684,29.41,0.9536,6,-4.64
BTCUSDT,1,42,1,5.9706,31.64,1.4035,10,40.35
ETHUSDT,1,42,1,2.7263,17.31,1.0988,8,9.88
XRPUSDT,1,42,1,-11.7775,27.47,0.7253,8,-27.47
LTCUSDT,1,42,1,-1.6350,23.30,0.8442,12,-15.58
EOSUSDT,1,42,1,-5.6546,11.93,0.8807,10,-11.93
BTCUSDT,2,42,1,1.7663,20.41,1.0505,8,5.05
ETHUSDT,2,42,1,14.7776,45.30,1.8282,7,82.82
XRPUSDT,2,42,1,6.6889,17.88,1.1821,8,18.21
