hedge_atr_period,universe,window,final_equity,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
5,Base5,0,1.61955532,61.9555,2.357072,8.5612,56,50.0000,true
5,Base5,1,1.35851388,35.8514,2.539771,10.5538,78,50.0000,true
5,Base5,2,1.72509868,72.5099,3.917742,5.5114,70,62.8571,true
5,Base5,3,1.05834365,5.8344,0.549237,12.9601,38,52.6316,true
5,Base5,4,0.91739255,-8.2607,-0.290865,22.6008,66,48.4848,false
5,Base5,5,1.18519850,18.5199,1.689187,7.3031,56,50.0000,true
5,NoDOGE,0,1.44163844,44.1638,2.609202,6.5278,45,51.1111,true
5,NoDOGE,1,1.35720140,35.7201,2.589825,8.8386,72,51.3889,true
5,NoDOGE,2,1.50178530,50.1785,3.201987,5.7430,63,60.3175,true
5,NoDOGE,3,1.01377642,1.3776,0.203648,14.2790,33,51.5152,true
5,NoDOGE,4,0.85588534,-14.4115,-0.730090,24.8290,55,47.2727,false
5,NoDOGE,5,1.12960607,12.9606,1.350505,5.8094,43,48.8372,true
5,Legacy4,0,1.42867292,42.8673,2.468031,6.9124,42,52.3810,true
5,Legacy4,1,1.45558574,45.5586,3.297897,5.7687,66,60.6061,true
5,Legacy4,2,1.33132097,33.1321,2.165939,8.1796,46,54.3478,true
5,Legacy4,3,1.05746701,5.7467,0.554877,12.9923,31,54.8387,true
5,Legacy4,4,0.82454506,-17.5455,-1.107838,31.6064,56,41.0714,false
5,Legacy4,5,1.01933633,1.9336,0.326654,9.5974,39,35.8974,true
5,Legacy4,6,1.05180812,5.1808,0.734631,8.3397,58,48.2759,true
5,Legacy5BNB,0,1.56178583,56.1786,2.701700,6.0443,49,55.1020,true
5,Legacy5BNB,1,1.34074854,34.0749,2.383066,7.3754,76,53.9474,true
5,Legacy5BNB,2,1.54963208,54.9632,2.823554,8.1796,58,56.8966,true
5,Legacy5BNB,3,1.01584070,1.5841,0.218581,17.0913,38,52.6316,true
5,Legacy5BNB,4,0.87941470,-12.0585,-0.653134,29.9331,59,45.7627,false
5,Legacy5BNB,5,1.02124420,2.1244,0.336438,10.3470,44,36.3636,true
5,Legacy5BNB,6,1.08023892,8.0239,1.047410,7.9968,71,49.2958,true
5,OldGuardNoBNB,0,1.44879479,44.8795,2.522075,6.9124,45,53.3333,true
5,OldGuardNoBNB,1,1.40337109,40.3371,2.987073,6.5628,68,57.3529,true
5,OldGuardNoBNB,2,1.30709854,30.7099,2.015510,10.0823,55,50.9091,true
5,OldGuardNoBNB,3,1.26549477,26.5495,1.197271,18.9371,45,48.8889,true
5,OldGuardNoBNB,4,0.78924830,-21.0752,-1.319241,33.8331,62,40.3226,false
5,OldGuardNoBNB,5,1.05179433,5.1794,0.710318,10.1555,47,36.1702,true
5,OldGuardNoBNB,6,1.01313206,1.3132,0.225513,11.5248,66,45.4545,true
5,LargeCaps5,0,1.55953238,55.9532,3.003970,6.5278,54,51.8519,true
5,LargeCaps5,1,1.22101693,22.1017,1.582787,10.7146,83,48.1928,true
5,LargeCaps5,2,1.75627300,75.6273,3.956145,5.7430,74,60.8108,true
5,LargeCaps5,3,0.97386995,-2.6130,-0.117344,13.5598,40,50.0000,false
5,LargeCaps5,4,0.94086416,-5.9136,-0.212081,21.1748,60,50.0000,false
5,LargeCaps5,5,1.12321792,12.3218,1.274295,6.2164,48,47.9167,true
5,Legacy3,0,1.24295567,24.2956,1.880056,5.8205,34,50.0000,true
5,Legacy3,1,1.40641114,40.6411,3.497514,4.7516,56,60.7143,true
5,Legacy3,2,1.22924430,22.9244,1.726826,8.1796,36,52.7778,true
5,Legacy3,3,1.02408155,2.4082,0.302404,10.5425,26,53.8462,true
5,Legacy3,4,0.83299518,-16.7005,-1.504357,25.5160,45,37.7778,false
5,Legacy3,5,1.02433219,2.4332,0.426309,9.8772,34,32.3529,true
5,Legacy3,6,1.03481086,3.4811,0.604477,6.4951,48,47.9167,true
5,LowVolume5,0,1.47461532,47.4615,2.634021,6.1716,46,54.3478,true
5,LowVolume5,1,1.29221775,29.2218,2.206782,10.7633,65,52.3077,true
5,LowVolume5,2,1.18525399,18.5254,1.391530,10.0932,48,47.9167,true
5,LowVolume5,3,1.01688710,1.6887,0.228231,27.6942,45,42.2222,true
5,LowVolume5,4,0.77432861,-22.5671,-1.915920,29.7380,50,40.0000,false
5,LowVolume5,5,1.20258225,20.2582,1.837793,11.1945,48,39.5833,true
5,LowVolume5,6,0.89362268,-10.6377,-1.681120,12.4572,47,36.1702,false
5,OldGuard4,0,1.25402004,25.4020,1.868034,6.9239,38,50.0000,true
5,OldGuard4,1,1.35538373,35.5384,3.098451,5.1868,59,57.6271,true
5,OldGuard4,2,1.24649541,24.6495,1.816228,10.0823,46,50.0000,true
5,OldGuard4,3,1.22554163,22.5542,1.076453,16.6855,40,47.5000,true
5,OldGuard4,4,0.79068345,-20.9317,-1.804725,30.2444,52,36.5385,false
5,OldGuard4,5,1.04453665,4.4537,0.652815,11.1243,43,32.5581,true
5,OldGuard4,6,0.95133944,-4.8661,-0.723139,11.9510,57,40.3509,false
6,Base5,0,1.59975908,59.9759,2.414227,8.8934,56,50.0000,true
6,Base5,1,1.39965176,39.9652,2.831255,8.0444,78,50.0000,true
6,Base5,2,1.81941115,81.9411,3.905901,5.9783,70,62.8571,true
6,Base5,3,1.10936142,10.9361,0.911094,13.2928,38,52.6316,true
6,Base5,4,0.92206971,-7.7930,-0.268351,21.8012,66,48.4848,false
6,Base5,5,1.14150988,14.1510,1.506191,7.3031,56,50.0000,true
6,NoDOGE,0,1.35807783,35.8078,2.304234,6.8077,45,51.1111,true
6,NoDOGE,1,1.39829953,39.8300,2.891145,6.2811,72,51.3889,true
6,NoDOGE,2,1.59740134,59.7401,3.257745,6.6239,63,60.3175,true
6,NoDOGE,3,1.06264581,6.2646,0.583970,13.9265,33,51.5152,true
6,NoDOGE,4,0.86575085,-13.4249,-0.669274,23.9625,55,47.2727,false
6,NoDOGE,5,1.08796669,8.7967,1.115948,5.8094,43,48.8372,true
6,Legacy4,0,1.43278114,43.2781,2.452893,6.0443,42,52.3810,true
6,Legacy4,1,1.47836375,47.8364,3.487356,5.7687,66,60.6061,true
6,Legacy4,2,1.44123555,44.1236,2.546334,7.1451,46,54.3478,true
6,Legacy4,3,1.13963966,13.9640,1.138015,8.1814,31,54.8387,true
6,Legacy4,4,0.83306404,-16.6936,-1.045578,30.8997,56,41.0714,false
6,Legacy4,5,1.02566115,2.5661,0.417653,9.0365,39,35.8974,true
6,Legacy4,6,1.05180812,5.1808,0.734631,8.3397,58,48.2759,true
6,Legacy5BNB,0,1.51326534,51.3265,2.641986,6.0443,49,55.1020,true
6,Legacy5BNB,1,1.34074854,34.0749,2.383066,7.3754,76,53.9474,true
6,Legacy5BNB,2,1.67757054,67.7571,3.141046,7.1014,58,56.8966,true
6,Legacy5BNB,3,1.09477869,9.4779,0.703757,13.3995,38,52.6316,true
6,Legacy5BNB,4,0.88850058,-11.1499,-0.592998,29.2092,59,45.7627,false
6,Legacy5BNB,5,1.02758086,2.7581,0.420489,9.7907,44,36.3636,true
6,Legacy5BNB,6,1.08023892,8.0239,1.047410,7.9968,71,49.2958,true
6,OldGuardNoBNB,0,1.42477630,42.4776,2.339751,8.4624,45,53.3333,true
6,OldGuardNoBNB,1,1.42533201,42.5332,3.170968,6.5628,68,57.3529,true
6,OldGuardNoBNB,2,1.42454498,42.4545,2.468833,7.5704,55,50.9091,true
6,OldGuardNoBNB,3,1.39798931,39.7989,1.612825,12.1928,45,48.8889,true
6,OldGuardNoBNB,4,0.79740260,-20.2597,-1.259806,33.1495,62,40.3226,false
6,OldGuardNoBNB,5,1.05832055,5.8321,0.794380,9.5980,47,36.1702,true
6,OldGuardNoBNB,6,1.01313206,1.3132,0.225513,11.5248,66,45.4545,true
6,LargeCaps5,0,1.42620090,42.6201,2.580091,6.1297,54,51.8519,true
6,LargeCaps5,1,1.25799119,25.7991,1.830996,8.7150,83,48.1928,true
6,LargeCaps5,2,1.86809183,86.8092,3.938023,6.3174,74,60.8108,true
6,LargeCaps5,3,1.02081564,2.0816,0.256132,13.2043,40,50.0000,true
6,LargeCaps5,4,0.95170920,-4.8291,-0.148876,20.3604,60,50.0000,false
6,LargeCaps5,5,1.08181401,8.1814,1.026141,6.2164,48,47.9167,true
6,Legacy3,0,1.29671775,29.6718,2.121197,5.8205,34,50.0000,true
6,Legacy3,1,1.40641114,40.6411,3.497514,4.7516,56,60.7143,true
6,Legacy3,2,1.26853849,26.8538,1.994202,6.2461,36,52.7778,true
6,Legacy3,3,1.07773636,7.7736,0.743436,8.1814,26,53.8462,true
6,Legacy3,4,0.84160147,-15.8399,-1.421800,24.7465,45,37.7778,false
6,Legacy3,5,1.03068801,3.0688,0.527551,9.3180,34,32.3529,true
6,Legacy3,6,1.03481086,3.4811,0.604477,6.4951,48,47.9167,true
6,LowVolume5,0,1.41240435,41.2404,2.342451,9.0450,46,54.3478,true
6,LowVolume5,1,1.31083522,31.0835,2.334911,10.7633,65,52.3077,true
6,LowVolume5,2,1.24545073,24.5451,1.746353,8.2259,48,47.9167,true
6,LowVolume5,3,1.04539173,4.5392,0.350588,26.3448,45,42.2222,true
