hm,universe,window,step,equity
5,Base5,0,0,1.000000
5,Base5,0,1,1.000000
5,Base5,0,2,1.325422
5,Base5,0,3,1.325422
5,Base5,0,4,1.325422
5,Base5,0,5,1.325422
5,Base5,0,6,1.152293
5,Base5,0,7,1.152293
5,Base5,0,8,1.152293
5,Base5,0,9,1.152293
5,Base5,0,10,1.152293
5,Base5,0,11,1.152293
5,Base5,0,12,1.152293
5,Base5,0,13,1.152293
5,Base5,0,14,1.152293
5,Base5,0,15,1.152293
5,Base5,0,16,1.110793
5,Base5,0,17,1.110793
5,Base5,0,18,1.110793
5,Base5,0,19,1.110793
5,Base5,0,20,1.110793
5,Base5,0,21,1.110793
5,Base5,0,22,1.110793
5,Base5,0,23,1.110793
5,Base5,0,24,1.110793
5,Base5,0,25,1.112311
5,Base5,0,26,1.112311
5,Base5,0,27,1.112311
5,Base5,0,28,1.112311
5,Base5,0,29,1.112311
5,Base5,0,30,1.112311
5,Base5,0,31,1.112311
5,Base5,0,32,1.112311
5,Base5,0,33,1.112311
5,Base5,0,34,1.112311
5,Base5,0,35,1.112311
5,Base5,0,36,1.112311
5,Base5,0,37,1.112311
5,Base5,0,38,1.112311
5,Base5,0,39,1.112311
5,Base5,0,40,1.112311
5,Base5,0,41,1.112311
5,Base5,0,42,1.112311
5,Base5,0,43,1.112311
5,Base5,0,44,1.112311
5,Base5,0,45,1.112311
5,Base5,0,46,1.112311
5,Base5,0,47,1.112311
5,Base5,0,48,1.112311
5,Base5,0,49,1.112311
5,Base5,0,50,1.112311
5,Base5,0,51,1.112311
5,Base5,0,52,1.112311
5,Base5,0,53,1.112311
5,Base5,0,54,1.112311
5,Base5,0,55,1.112311
5,Base5,0,56,1.112311
5,Base5,0,57,1.112311
5,Base5,0,58,1.112311
5,Base5,0,59,1.112311
5,Base5,0,60,1.189896
5,Base5,0,61,1.189896
5,Base5,0,62,1.189896
5,Base5,0,63,1.189896
5,Base5,0,64,1.189896
5,Base5,0,65,1.189896
5,Base5,0,66,1.189896
5,Base5,0,67,1.189896
5,Base5,0,68,1.189896
5,Base5,0,69,1.155376
5,Base5,0,70,1.155376
5,Base5,0,71,1.155376
5,Base5,0,72,1.155376
5,Base5,0,73,1.155376
5,Base5,0,74,1.155376
5,Base5,0,75,1.155376
5,Base5,0,76,1.155376
5,Base5,0,77,1.155376
5,Base5,0,78,1.155376
5,Base5,0,79,1.155376
5,Base5,0,80,1.333892
5,Base5,0,81,1.387113
5,Base5,0,82,1.984069
5,Base5,0,83,1.925746
5,Base5,0,84,1.925746
5,Base5,0,85,1.925746
5,Base5,0,86,2.369862
5,Base5,0,87,3.713091
5,Base5,0,88,3.387889
5,Base5,0,89,3.387889
5,Base5,0,90,3.387889
5,Base5,0,91,3.387889
5,Base5,0,92,3.387889
5,Base5,0,93,3.387889
5,Base5,0,94,3.387889
5,Base5,0,95,3.387889
5,Base5,0,96,3.387889
5,Base5,0,97,3.387889
5,Base5,0,98,3.387889
5,Base5,0,99,3.387889
5,Base5,0,100,3.371779
5,Base5,0,101,3.371779
