size_mult,pass_rate,avg_sharpe,avg_return,avg_dd,total_trades
0.5,100.0,9.60320711474068,156.69988528721927,18.784096481512105,63
0.55,100.0,9.533525977739997,157.2281930505614,19.506147943775467,63
0.6,100.0,9.466614401154526,157.6682643903372,20.22535167924065,63
0.65,100.0,9.403327626473743,158.01849995659583,20.94170812814829,63
0.7,100.0,9.344047421649014,158.2773834619231,21.655217730739025,63
0.75,100.0,9.28885029229106,158.44348212534595,22.36588092725347,63
0.8,100.0,9.23762469254896,158.51544709352405,23.073698157932277,63
0.8500000000000001,100.0,9.190150280498658,158.49201383921692,23.778669863016063,63
0.9,100.0,9.146150176915569,158.3720025370117,24.480796482745458,63
0.95,100.0,9.105324573854665,158.1543184162993,25.180078457361102,63
1,100.0,9.06737172020677,157.83795209148508,25.876516227103625,63
