phase,cp,trades,sharpe,ret_pct,max_dd_pct,equity_final
P3-2019,7,33,3.0547,75.28,31.73,1.7528
P2-2020,7,28,4.4585,121.48,31.55,2.2148
P1-2021,7,21,-1.6965,-43.61,61.03,0.5639
P3-2019,42,31,4.3605,130.53,36.08,2.3053
P2-2020,42,25,6.7064,190.74,30.60,2.9074
P1-2021,42,21,-1.6052,-48.92,65.30,0.5108
