step,ep_10,ep_21,ep_30,ep_35,ep_44
117,13.107845,6.324869,4.676212,3.973825,3.759322
118,13.107845,6.324869,4.676212,5.111242,3.759322
119,13.107845,6.324869,4.676212,5.111242,3.759322
120,12.557345,6.324869,4.676212,5.111242,3.759322
121,12.557345,6.324869,4.676212,5.111242,3.759322
122,11.660538,6.324869,4.676212,5.111242,3.759322
123,11.660538,6.324869,4.676212,5.111242,3.759322
124,11.660538,6.324869,4.676212,5.111242,3.759322
125,11.943360,6.324869,4.676212,5.111242,3.759322
126,11.943360,6.324869,4.676212,5.111242,4.835343
127,11.943360,6.324869,4.676212,5.111242,4.835343
128,11.393655,6.324869,4.676212,5.111242,4.835343
129,11.393655,6.324869,4.676212,5.111242,4.835343
130,11.393655,6.324869,4.676212,5.111242,4.835343
131,11.393655,6.324869,4.676212,5.111242,4.835343
132,11.393655,6.324869,4.676212,5.111242,4.835343
133,11.796921,6.324869,4.676212,5.111242,4.835343
134,11.796921,6.324869,4.676212,5.111242,4.835343
135,11.796921,5.900964,4.676212,5.111242,4.835343
136,11.759771,5.900964,4.676212,5.111242,4.835343
137,11.759771,5.881246,4.676212,5.111242,4.835343
138,11.759771,5.881246,4.676212,5.111242,4.835343
139,11.759771,5.881246,4.676212,5.111242,4.835343
140,10.775037,5.881246,4.676212,5.111242,4.835343
141,10.775037,5.881246,4.676212,5.111242,4.835343
142,10.775037,5.881246,4.676212,5.111242,4.835343
143,12.196226,5.881246,4.676212,5.111242,4.835343
144,12.196226,5.881246,4.362803,5.111242,4.835343
145,12.196226,5.881246,4.362803,5.111242,4.835343
146,12.196226,5.881246,4.362803,5.111242,4.835343
147,12.196226,5.881246,4.362803,5.111242,4.835343
148,12.196226,5.881246,4.362803,5.111242,4.835343
149,12.196226,5.881246,4.362803,5.111242,4.835343
150,12.196226,5.881246,4.362803,5.111242,4.835343
151,12.486511,7.396920,4.362803,5.111242,4.835343
152,12.486511,7.396920,4.362803,5.111242,4.835343
