universe,window,equity
Base5,0,6.679122
Base5,1,2.847368
Base5,2,1.620812
Base5,3,3.889293
Base5,4,1.053539
Base5,5,1.136104
Base5,6,0.905060
NoDOGE,0,4.631859
NoDOGE,1,1.208069
NoDOGE,2,1.578566
NoDOGE,3,3.889293
NoDOGE,4,1.053539
NoDOGE,5,1.136104
NoDOGE,6,1.287882
Legacy4,0,1.339209
Legacy4,1,1.081266
Legacy4,2,3.278061
Legacy4,3,2.189547
Legacy4,4,0.820255
Legacy4,5,1.233032
Legacy4,6,1.305957
Legacy5BNB,0,1.492026
Legacy5BNB,1,1.013644
Legacy5BNB,2,3.420959
Legacy5BNB,3,1.956450
Legacy5BNB,4,0.811082
Legacy5BNB,5,0.886902
Legacy5BNB,6,1.305957
OldGuardNoBNB,0,1.669263
OldGuardNoBNB,1,1.262358
OldGuardNoBNB,2,3.278061
OldGuardNoBNB,3,2.189547
OldGuardNoBNB,4,0.907778
OldGuardNoBNB,5,0.619976
OldGuardNoBNB,6,1.305957
LargeCaps5,0,4.087296
LargeCaps5,1,1.208069
LargeCaps5,2,1.578566
LargeCaps5,3,2.268950
LargeCaps5,4,1.053539
LargeCaps5,5,1.136104
LargeCaps5,6,1.287882
Legacy3,0,1.032218
Legacy3,1,1.369593
Legacy3,2,2.310383
Legacy3,3,1.664403
Legacy3,4,0.762881
Legacy3,5,1.261997
Legacy3,6,1.179694
LowVolume5,0,1.092472
LowVolume5,1,0.741942
LowVolume5,2,2.563512
LowVolume5,3,1.594370
LowVolume5,4,0.761850
LowVolume5,5,0.515235
LowVolume5,6,1.085775
OldGuard4,0,0.926451
OldGuard4,1,1.121861
OldGuard4,2,2.310383
OldGuard4,3,1.664403
OldGuard4,4,1.235649
OldGuard4,5,0.645204
OldGuard4,6,1.166326
