universe,window,threshold,return_pct,sharpe,max_dd_pct,trades,pass
Legacy5BNB,1,1.0,1.3644,0.910672,19.0987,13,1
Legacy5BNB,2,1.0,242.0959,12.617574,11.8602,13,1
Legacy5BNB,3,1.0,107.7137,9.689908,14.6671,11,1
Legacy5BNB,4,1.0,-18.8918,-10.354928,18.8918,5,0
Legacy5BNB,5,1.0,11.4905,2.641801,33.7030,11,1
Legacy5BNB,6,1.0,30.5957,5.425142,14.1112,12,1
OldGuardNoBNB,0,1.0,68.7288,14.592246,10.0818,9,1
OldGuardNoBNB,1,1.0,25.7284,8.555247,6.7672,10,1
OldGuardNoBNB,2,1.0,227.8061,11.470560,11.8602,14,1
OldGuardNoBNB,3,1.0,70.9731,7.673490,14.6671,12,1
OldGuardNoBNB,4,1.0,-9.3336,-2.212800,18.0752,9,0
OldGuardNoBNB,5,1.0,-23.7894,-0.403379,48.7082,12,0
OldGuardNoBNB,6,1.0,30.5957,5.425142,14.1112,12,1
LargeCaps5,0,1.0,228.0629,11.701562,15.9409,10,1
LargeCaps5,1,1.0,20.7334,7.419884,10.4424,10,1
LargeCaps5,2,1.0,57.8566,10.581496,8.1217,12,1
LargeCaps5,3,1.0,140.8915,10.844908,14.6671,12,1
LargeCaps5,4,1.0,5.3539,1.995893,16.4264,10,1
LargeCaps5,5,1.0,18.2536,3.248907,33.7030,12,1
LargeCaps5,6,1.0,28.7882,7.633461,5.3993,10,1
Legacy3,0,1.0,70.6184,10.462228,8.2312,13,1
Legacy3,1,1.0,37.9061,7.235309,18.1901,14,1
Legacy3,2,1.0,202.0721,10.416584,11.8602,14,1
Legacy3,3,1.0,75.9446,9.223321,10.4750,11,1
Legacy3,4,1.0,-23.8054,-10.253354,23.8054,8,0
Legacy3,5,1.0,48.6649,5.441562,24.7428,12,1
Legacy3,6,1.0,17.9694,3.436523,16.4371,13,1
LowVolume5,0,1.0,36.0920,5.760914,15.2856,13,1
LowVolume5,1,1.0,-25.8058,-2.979545,45.9390,14,0
LowVolume5,2,1.0,97.6512,9.711411,14.4181,13,1
LowVolume5,3,1.0,61.8341,7.199123,28.9260,12,1
LowVolume5,4,1.0,-23.9085,-2.807064,35.3129,11,0
LowVolume5,5,1.0,-55.7299,-8.053653,56.7467,12,0
LowVolume5,6,1.0,39.2577,4.669490,25.6662,14,1
OldGuard4,0,1.0,16.8000,4.131111,23.4425,11,1
OldGuard4,1,1.0,12.1861,3.689336,16.0120,12,1
OldGuard4,2,1.0,202.0721,10.416584,11.8602,14,1
OldGuard4,3,1.0,75.9446,9.223321,10.4750,11,1
OldGuard4,4,1.0,23.4133,6.439559,14.2711,9,1
OldGuard4,5,1.0,-23.9941,-1.410717,45.6198,12,0
OldGuard4,6,1.0,16.6326,3.257907,16.4371,13,1
Base5,0,2.0,271.7716,13.043434,15.9409,10,1
Base5,1,2.0,184.5636,5.284842,20.3498,13,1
Base5,2,2.0,62.0812,10.666554,8.3326,13,1
Base5,3,2.0,171.8369,12.082475,14.6671,13,1
Base5,4,2.0,5.3539,1.995893,16.4264,10,1
Base5,5,2.0,18.2536,3.248907,33.7030,12,1
Base5,6,2.0,-9.4940,-0.757842,33.6464,11,0
NoDOGE,0,2.0,271.7716,13.043434,15.9409,10,1
NoDOGE,1,2.0,20.7334,7.419884,10.4424,10,1
NoDOGE,2,2.0,57.8566,10.581496,8.1217,12,1
NoDOGE,3,2.0,171.8369,12.082475,14.6671,13,1
NoDOGE,4,2.0,5.3539,1.995893,16.4264,10,1
NoDOGE,5,2.0,18.2536,3.248907,33.7030,12,1
NoDOGE,6,2.0,28.7882,7.633461,5.3993,10,1
Legacy4,0,2.0,22.9898,6.800542,12.1388,10,1
Legacy4,1,2.0,7.6920,2.237207,19.0987,13,1
Legacy4,2,2.0,227.8061,11.470560,11.8602,14,1
Legacy4,3,2.0,70.9731,7.673490,14.6671,12,1
Legacy4,4,2.0,-18.0752,-7.008580,18.0752,8,0
Legacy4,5,2.0,51.5706,5.295181,44.3709,12,1
Legacy4,6,2.0,30.5957,5.425142,14.1112,12,1
Legacy5BNB,0,2.0,37.0242,13.460944,5.2165,8,1
Legacy5BNB,1,2.0,1.3644,0.910672,19.0987,13,1
Legacy5BNB,2,2.0,242.0959,12.617574,11.8602,13,1
Legacy5BNB,3,2.0,107.7137,9.689908,14.6671,11,1
Legacy5BNB,4,2.0,-18.8918,-10.354928,18.8918,5,0
Legacy5BNB,5,2.0,11.4905,2.641801,33.7030,11,1
Legacy5BNB,6,2.0,30.5957,5.425142,14.1112,12,1
OldGuardNoBNB,0,2.0,68.7288,14.592246,10.0818,9,1
OldGuardNoBNB,1,2.0,25.7284,8.555247,6.7672,10,1
OldGuardNoBNB,2,2.0,227.8061,11.470560,11.8602,14,1
OldGuardNoBNB,3,2.0,70.9731,7.673490,14.6671,12,1
OldGuardNoBNB,4,2.0,-9.3336,-2.212800,18.0752,9,0
OldGuardNoBNB,5,2.0,-23.7894,-0.403379,48.7082,12,0
OldGuardNoBNB,6,2.0,30.5957,5.425142,14.1112,12,1
LargeCaps5,0,2.0,228.0629,11.701562,15.9409,10,1
LargeCaps5,1,2.0,20.7334,7.419884,10.4424,10,1
LargeCaps5,2,2.0,57.8566,10.581496,8.1217,12,1
LargeCaps5,3,2.0,140.8915,10.844908,14.6671,12,1
LargeCaps5,4,2.0,5.3539,1.995893,16.4264,10,1
LargeCaps5,5,2.0,18.2536,3.248907,33.7030,12,1
LargeCaps5,6,2.0,28.7882,7.633461,5.3993,10,1
Legacy3,0,2.0,70.6184,10.462228,8.2312,13,1
Legacy3,1,2.0,37.9061,7.235309,18.1901,14,1
Legacy3,2,2.0,202.0721,10.416584,11.8602,14,1
Legacy3,3,2.0,75.9446,9.223321,10.4750,11,1
Legacy3,4,2.0,-23.8054,-10.253354,23.8054,8,0
Legacy3,5,2.0,48.6649,5.441562,24.7428,12,1
Legacy3,6,2.0,17.9694,3.436523,16.4371,13,1
LowVolume5,0,2.0,36.0920,5.760914,15.2856,13,1
LowVolume5,1,2.0,-25.8058,-2.979545,45.9390,14,0
LowVolume5,2,2.0,97.6512,9.711411,14.4181,13,1
LowVolume5,3,2.0,61.8341,7.199123,28.9260,12,1
LowVolume5,4,2.0,-23.9085,-2.807064,35.3129,11,0
LowVolume5,5,2.0,-55.7299,-8.053653,56.7467,12,0
LowVolume5,6,2.0,39.2577,4.669490,25.6662,14,1
OldGuard4,0,2.0,16.8000,4.131111,23.4425,11,1
OldGuard4,1,2.0,12.1861,3.689336,16.0120,12,1
OldGuard4,2,2.0,202.0721,10.416584,11.8602,14,1
OldGuard4,3,2.0,75.9446,9.223321,10.4750,11,1
OldGuard4,4,2.0,23.4133,6.439559,14.2711,9,1
OldGuard4,5,2.0,-23.9941,-1.410717,45.6198,12,0
OldGuard4,6,2.0,16.6326,3.257907,16.4371,13,1
Base5,0,3.0,276.0384,13.184426,14.9762,10,1
Base5,1,3.0,184.5636,5.284842,20.3498,13,1
Base5,2,3.0,62.0812,10.666554,8.3326,13,1
Base5,3,3.0,262.0464,18.707398,10.4750,12,1
Base5,4,3.0,21.8350,6.431123,5.2585,10,1
Base5,5,3.0,41.0678,5.557215,26.0880,11,1
Base5,6,3.0,6.3951,2.292807,24.6230,9,1
NoDOGE,0,3.0,276.0384,13.184426,14.9762,10,1
NoDOGE,1,3.0,20.7334,7.419884,10.4424,10,1
NoDOGE,2,3.0,57.8566,10.581496,8.1217,12,1
NoDOGE,3,3.0,262.0464,18.707398,10.4750,12,1
NoDOGE,4,3.0,21.8350,6.431123,5.2585,10,1
NoDOGE,5,3.0,41.0678,5.557215,26.0880,11,1
NoDOGE,6,3.0,33.2741,9.436322,5.3993,9,1
Legacy4,0,3.0,24.4013,7.258523,11.1305,10,1
Legacy4,1,3.0,7.6920,2.237207,19.0987,13,1
Legacy4,2,3.0,227.8061,11.470560,11.8602,14,1
Legacy4,3,3.0,108.5659,11.863290,10.4750,12,1
Legacy4,4,3.0,-1.9728,-1.371264,9.7094,7,0
Legacy4,5,3.0,29.4346,3.924948,46.7958,12,1
Legacy4,6,3.0,35.1446,6.384386,14.1112,11,1
Legacy5BNB,0,3.0,38.5968,14.403057,4.1287,8,1
Legacy5BNB,1,3.0,-0.3902,0.517012,19.0987,13,1
Legacy5BNB,2,3.0,242.0959,12.617574,11.8602,13,1
Legacy5BNB,3,3.0,172.4103,15.542991,10.4750,10,1
Legacy5BNB,4,3.0,-2.9500,-3.631871,7.3935,4,0
Legacy5BNB,5,3.0,26.0257,4.317396,29.3099,10,1
Legacy5BNB,6,3.0,35.1446,6.384386,14.1112,11,1
OldGuardNoBNB,0,3.0,57.8040,10.874108,10.0818,9,1
OldGuardNoBNB,1,3.0,20.4768,6.815708,7.1470,10,1
OldGuardNoBNB,2,3.0,227.8061,11.470560,11.8602,14,1
OldGuardNoBNB,3,3.0,108.5659,11.863290,10.4750,12,1
OldGuardNoBNB,4,3.0,8.4869,4.590372,9.7094,8,1
OldGuardNoBNB,5,3.0,-34.9195,-1.899775,50.9441,12,0
OldGuardNoBNB,6,3.0,35.1446,6.384386,14.1112,11,1
LargeCaps5,0,3.0,231.8280,11.829756,14.9762,10,1
LargeCaps5,1,3.0,20.7334,7.419884,10.4424,10,1
LargeCaps5,2,3.0,57.8566,10.581496,8.1217,12,1
LargeCaps5,3,3.0,215.9219,16.812727,10.4750,11,1
LargeCaps5,4,3.0,21.8350,6.431123,5.2585,10,1
LargeCaps5,5,3.0,41.0678,5.557215,26.0880,11,1
LargeCaps5,6,3.0,33.2741,9.436322,5.3993,9,1
Legacy3,0,3.0,70.6184,10.462228,8.2312,13,1
Legacy3,1,3.0,39.4228,7.527496,18.1901,13,1
Legacy3,2,3.0,202.0721,10.416584,11.8602,14,1
Legacy3,3,3.0,64.3887,8.100195,13.1397,11,1
Legacy3,4,3.0,-8.8294,-7.343733,14.2711,7,0
Legacy3,5,3.0,48.6649,5.441562,24.7428,12,1
