universe,window,equity
Base5,0,2.962612
Base5,1,0.964602
Base5,2,1.203295
Base5,3,2.445077
Base5,4,1.295742
Base5,5,0.934269
Base5,6,1.047674
NoDOGE,0,2.962612
NoDOGE,1,0.971855
NoDOGE,2,1.206452
NoDOGE,3,2.445077
NoDOGE,4,1.295742
NoDOGE,5,0.934269
NoDOGE,6,1.314866
Legacy4,0,1.205493
Legacy4,1,1.033119
Legacy4,2,1.460442
Legacy4,3,1.863467
Legacy4,4,1.010359
Legacy4,5,0.929213
Legacy4,6,1.367409
Legacy5BNB,0,1.234545
Legacy5BNB,1,0.981676
Legacy5BNB,2,1.460442
Legacy5BNB,3,1.898943
Legacy5BNB,4,0.975272
Legacy5BNB,5,0.929213
Legacy5BNB,6,1.367409
OldGuardNoBNB,0,0.684498
OldGuardNoBNB,1,0.999102
OldGuardNoBNB,2,1.460442
OldGuardNoBNB,3,1.863467
OldGuardNoBNB,4,0.712539
OldGuardNoBNB,5,0.929213
OldGuardNoBNB,6,1.367409
LargeCaps5,0,2.704124
LargeCaps5,1,0.971855
LargeCaps5,2,1.206452
LargeCaps5,3,2.507589
LargeCaps5,4,1.295742
LargeCaps5,5,0.934269
LargeCaps5,6,1.314866
Legacy3,0,1.635300
Legacy3,1,1.033119
Legacy3,2,1.619713
Legacy3,3,1.532908
Legacy3,4,1.013471
Legacy3,5,0.937450
Legacy3,6,1.342310
LowVolume5,0,1.124126
LowVolume5,1,1.093704
LowVolume5,2,1.881536
LowVolume5,3,1.248626
LowVolume5,4,0.798746
LowVolume5,5,0.816943
LowVolume5,6,1.046364
OldGuard4,0,0.684498
OldGuard4,1,1.033119
OldGuard4,2,1.619713
OldGuard4,3,1.532908
OldGuard4,4,0.826198
OldGuard4,5,0.937450
OldGuard4,6,1.327099
