atr_entry_mult,universe,window,train_end,test_end,ret_pct,sharpe,trades,win_rate_pct,max_dd_pct,pass
0.50,Base5,0,252,504,1324.4270,5.1574,49,55.1020,61.2574,1
0.50,Base5,1,504,756,58.6629,2.5886,34,50.0000,66.9320,1
0.50,Base5,2,756,1008,13.6926,1.3359,42,50.0000,56.8984,1
0.50,Base5,3,1008,1260,36.5105,1.7463,66,45.4545,82.6228,1
0.50,Base5,4,1260,1512,25.2076,1.7848,36,52.7778,46.1067,1
0.50,Base5,5,1512,1764,-21.8631,-0.0433,32,37.5000,60.4962,1
0.50,Base5,6,1764,2016,173.4477,4.3565,40,52.5000,31.1802,1
0.50,NoDOGE,0,252,504,1324.4270,5.1574,49,55.1020,61.2574,1
0.50,NoDOGE,1,504,756,53.8953,2.7167,31,51.6129,57.6835,1
0.50,NoDOGE,2,756,1008,566.1053,5.2107,42,54.7619,41.7246,1
0.50,NoDOGE,3,1008,1260,68.4249,2.0622,66,46.9697,82.6228,1
0.50,NoDOGE,4,1260,1512,25.2076,1.7848,36,52.7778,46.1067,1
0.50,NoDOGE,5,1512,1764,-29.1946,-0.6664,28,32.1429,64.2028,1
0.50,NoDOGE,6,1764,2016,56.2890,2.9851,37,51.3514,29.7252,1
0.50,Legacy4,0,252,504,-50.7968,-1.0034,49,40.8163,63.9476,1
0.50,Legacy4,1,504,756,36.5380,1.9004,41,46.3415,67.9600,1
0.50,Legacy4,2,756,1008,538.3569,4.6529,46,52.1739,28.6821,1
0.50,Legacy4,3,1008,1260,346.9713,3.7323,58,51.7241,68.0977,1
0.50,Legacy4,4,1260,1512,1.1586,0.8995,29,51.7241,51.3259,1
0.50,Legacy4,5,1512,1764,-64.6532,-6.1495,23,30.4348,64.6532,1
0.50,Legacy4,6,1764,2016,24.9993,1.7996,38,50.0000,41.9010,1
0.50,Legacy5BNB,0,252,504,33.4523,1.5916,59,50.8475,53.3724,1
0.50,Legacy5BNB,1,504,756,41.1158,1.9368,44,45.4545,61.2287,1
0.50,Legacy5BNB,2,756,1008,249.9493,3.7180,48,50.0000,33.2470,1
0.50,Legacy5BNB,3,1008,1260,5769.1513,6.4468,59,57.6271,68.0977,1
0.50,Legacy5BNB,4,1260,1512,207.4366,6.0386,34,61.7647,34.7307,1
0.50,Legacy5BNB,5,1512,1764,-52.9207,-3.9697,27,33.3333,58.3346,1
0.50,Legacy5BNB,6,1764,2016,-7.2256,0.2322,40,45.0000,52.7137,1
