window,ranked_ret,ranked_sharpe,ranked_dd,ranked_trades,ranked_wr,ranked_equity,unranked_ret,unranked_sharpe,unranked_dd,unranked_trades,unranked_wr,unranked_equity
W00,+14953590.37,+3.8300,+70.88,47,+0.5957,+149536.90,+237.94,+1.5772,+44.96,80,+0.4625,+3.38
W01,+107.26,+1.4891,+54.03,47,+0.4894,+2.07,+55.64,+1.0403,+61.47,75,+0.3867,+1.56
W02,+36.89,+0.9703,+76.83,35,+0.4571,+1.37,+295.30,+2.0218,+34.83,67,+0.4478,+3.95
W03,+10.28,+0.5421,+62.90,40,+0.3000,+1.10,-21.24,-0.2078,+44.93,73,+0.4110,+0.79
W04,+71350.33,+5.7915,+44.90,51,+0.7059,+714.50,-6.77,+0.2098,+31.36,55,+0.4182,+0.93
W05,+312.62,+2.6005,+46.49,44,+0.5455,+4.13,+41.50,+1.1585,+24.18,29,+0.4483,+1.41
AVG,+2504234.63,+2.5373,+59.34,264,+0.5265,,+100.39,+0.9666,+40.29,379,+0.4274,
