universe,base_equity,cons_equity,eq_delta_pct,sh_base,sh_cons,sh_delta,dd_base,dd_cons,tr_base,tr_cons,pass_base,pass_cons,total_win
Base5,2.153360,1.762239,-18.16,8.4312,11.2140,2.7828,27.5,7.0,30,30,6,6,7
NoDOGE,1.752435,1.627204,-7.15,9.0862,9.4792,0.3930,12.0,11.9,35,30,7,6,7
Legacy4,1.628237,1.604974,-1.43,8.2043,7.0093,-1.1949,9.1,3.2,35,25,7,5,7
Legacy5BNB,1.629883,1.734111,6.39,9.3294,10.0567,0.7273,9.1,3.2,35,30,7,6,7
OldGuardNoBNB,1.525671,1.552271,1.74,8.2013,6.6039,-1.5974,9.1,3.2,35,25,7,5,7
LargeCaps5,1.759697,1.624642,-7.67,8.9078,9.0388,0.1310,12.0,11.9,35,30,7,6,7
Legacy3,1.727157,1.634670,-5.35,8.7345,6.0638,-2.6707,16.4,11.1,35,30,7,6,7
LowVolume5,1.082019,1.492851,37.97,1.9430,7.7191,5.7761,19.4,10.6,20,25,4,5,7
OldGuard4,1.595685,1.585386,-0.65,7.4504,7.1794,-0.2710,16.4,11.1,35,30,7,6,7
