atr_period,step,equity
15,5,1.022833
15,6,1.021731
15,7,1.031455
15,8,1.031455
15,9,1.035724
15,10,1.035724
15,11,1.035724
15,12,1.035724
15,13,1.032220
15,14,1.036362
15,15,1.041654
15,16,1.041654
15,17,1.043598
15,18,1.029657
15,19,1.024173
15,20,1.024173
15,21,1.024173
15,22,1.024173
15,23,1.027720
15,24,1.027720
15,25,1.027720
15,26,1.027662
15,27,1.026168
15,28,1.038206
15,29,1.044106
15,30,1.044106
15,31,1.062909
15,32,1.064116
15,33,1.081124
15,34,1.081124
15,35,1.075733
15,36,1.073819
15,37,1.072462
15,38,1.071639
15,39,1.062198
15,40,1.074866
15,41,1.086115
15,42,1.086115
15,43,1.103651
15,44,1.120712
15,45,1.125066
15,46,1.122229
15,47,1.122229
15,48,1.122229
15,49,1.122229
15,50,1.130759
15,51,1.130759
15,52,1.148914
15,53,1.162721
15,54,1.167731
15,55,1.162512
15,56,1.152675
15,57,1.135685
15,58,1.134660
15,59,1.130938
15,60,1.130938
15,61,1.107323
15,62,1.084250
15,63,1.094495
15,64,1.094495
15,65,1.094495
15,66,1.094495
15,67,1.099026
15,68,1.113097
15,69,1.113097
15,70,1.120225
15,71,1.115741
15,72,1.118599
15,73,1.129343
15,74,1.141629
15,75,1.122221
15,76,1.132677
15,77,1.132677
15,78,1.132677
15,79,1.136971
15,80,1.136971
15,81,1.136971
15,82,1.135834
15,83,1.138632
15,84,1.135790
15,85,1.133658
15,86,1.136490
15,87,1.146135
15,88,1.140008
15,89,1.155859
15,90,1.155859
15,91,1.144263
15,92,1.150242
15,93,1.150242
15,94,1.159267
15,95,1.159267
15,96,1.152932
15,97,1.155163
15,98,1.166914
15,99,1.169429
15,100,1.159484
15,101,1.150149
15,102,1.145214
15,103,1.140043
15,104,1.139974
15,105,1.139974
15,106,1.162314
15,107,1.162314
15,108,1.162514
15,109,1.162639
15,110,1.164289
15,111,1.162595
15,112,1.160956
15,113,1.189940
15,114,1.184497
15,115,1.183804
15,116,1.187835
15,117,1.184385
15,118,1.228565
15,119,1.228565
15,120,1.219300
15,121,1.217428
15,122,1.217428
15,123,1.217428
15,124,1.223725
15,125,1.245137
15,126,1.253655
15,127,1.253655
15,128,1.296567
15,129,1.306334
15,130,1.317392
15,131,1.342446
15,132,1.340963
15,133,1.332155
15,134,1.337357
15,135,1.337357
15,136,1.340331
15,137,1.354753
15,138,1.348909
15,139,1.356478
15,140,1.356984
15,141,1.353425
15,142,1.358072
15,143,1.358072
15,144,1.358072
15,145,1.352273
15,146,1.349387
15,147,1.351533
15,148,1.374660
15,149,1.405166
15,150,1.398771
15,151,1.428753
15,152,1.416899
15,153,1.420883
15,154,1.428788
15,155,1.466425
15,156,1.469808
15,157,1.469808
15,158,1.469808
15,159,1.481986
15,160,1.493687
15,161,1.496916
15,162,1.451670
15,163,1.451670
15,164,1.451670
15,165,1.451670
15,166,1.473467
15,167,1.473467
15,168,1.478932
15,169,1.489268
15,170,1.483855
15,171,1.483855
15,172,1.483428
15,173,1.481383
15,174,1.480299
15,175,1.480299
15,176,1.480299
15,177,1.487219
15,178,1.481688
15,179,1.471332
15,180,1.480057
15,181,1.503778
15,182,1.547404
15,183,1.540721
15,184,1.544088
15,185,1.544088
15,186,1.544256
15,187,1.524265
15,188,1.524265
15,189,1.528631
15,190,1.521125
15,191,1.521125
15,192,1.532178
15,193,1.523437
15,194,1.525357
15,195,1.518096
15,196,1.523215
15,197,1.509925
15,198,1.518880
15,199,1.484561
15,200,1.485928
15,201,1.506377
15,202,1.514714
15,203,1.514714
15,204,1.532178
15,205,1.541869
15,206,1.541869
15,207,1.541869
15,208,1.540241
15,209,1.540241
15,210,1.548475
15,211,1.548475
15,212,1.546840
15,213,1.561794
15,214,1.580818
15,215,1.580818
15,216,1.586403
15,217,1.632874
15,218,1.636704
15,219,1.636704
15,220,1.636704
15,221,1.625309
15,222,1.639493
15,223,1.636178
15,224,1.646505
15,225,1.644432
15,226,1.667052
15,227,1.668704
15,228,1.695352
15,229,1.695352
15,230,1.695352
15,231,1.695352
15,232,1.695352
15,233,1.695352
15,234,1.695352
15,235,1.695352
15,236,1.695352
15,237,1.695352
15,238,1.695352
15,239,1.695352
24,0,1.000000
24,1,1.009380
24,2,0.998836
24,3,0.998836
24,4,1.022833
24,5,1.022833
24,6,1.021731
24,7,1.031455
24,8,1.031455
24,9,1.035724
24,10,1.035724
24,11,1.035724
24,12,1.035724
24,13,1.032220
24,14,1.036362
24,15,1.041654
24,16,1.041654
24,17,1.043598
24,18,1.029657
24,19,1.024173
24,20,1.024173
24,21,1.024173
24,22,1.024173
24,23,1.027720
24,24,1.027720
24,25,1.027720
24,26,1.027662
24,27,1.026168
24,28,1.038206
24,29,1.044106
24,30,1.044106
24,31,1.062909
24,32,1.064116
24,33,1.081124
24,34,1.081124
24,35,1.075733
24,36,1.073819
24,37,1.072462
24,38,1.071639
24,39,1.062198
24,40,1.074866
24,41,1.086115
24,42,1.086115
24,43,1.103651
24,44,1.120712
24,45,1.125066
24,46,1.122229
24,47,1.122229
24,48,1.122229
24,49,1.122229
24,50,1.130759
24,51,1.130759
24,52,1.148914
24,53,1.162721
24,54,1.167731
24,55,1.162512
24,56,1.152675
24,57,1.135685
24,58,1.134660
24,59,1.130938
24,60,1.130938
24,61,1.107323
24,62,1.084250
24,63,1.094495
24,64,1.094495
24,65,1.094495
24,66,1.094495
24,67,1.099026
24,68,1.113097
24,69,1.113097
24,70,1.120225
24,71,1.115741
24,72,1.118599
24,73,1.129343
24,74,1.141629
24,75,1.122221
24,76,1.132677
24,77,1.132677
24,78,1.132677
24,79,1.136971
24,80,1.136971
24,81,1.136971
24,82,1.135834
24,83,1.138632
24,84,1.135790
24,85,1.133658
24,86,1.136490
24,87,1.146135
24,88,1.140008
24,89,1.155859
24,90,1.155859
24,91,1.144263
24,92,1.150242
24,93,1.150242
24,94,1.159267
24,95,1.159267
24,96,1.152932
24,97,1.155163
24,98,1.166914
24,99,1.169429
24,100,1.159484
24,101,1.150149
24,102,1.145214
24,103,1.140043
24,104,1.139974
24,105,1.139974
24,106,1.162314
24,107,1.162314
24,108,1.162514
24,109,1.162639
24,110,1.164289
24,111,1.162595
24,112,1.160956
24,113,1.189940
24,114,1.184497
24,115,1.183804
24,116,1.187835
24,117,1.184385
24,118,1.228565
24,119,1.228565
24,120,1.219300
24,121,1.217428
24,122,1.217428
24,123,1.217428
24,124,1.223725
24,125,1.245137
24,126,1.253655
24,127,1.253655
24,128,1.296567
24,129,1.306334
24,130,1.317392
24,131,1.342446
24,132,1.340963
24,133,1.332155
24,134,1.337357
24,135,1.337357
24,136,1.340331
24,137,1.354753
24,138,1.348909
24,139,1.356478
24,140,1.356984
24,141,1.353425
24,142,1.358072
24,143,1.358072
24,144,1.358072
24,145,1.352273
24,146,1.349387
24,147,1.351533
24,148,1.374660
24,149,1.405166
24,150,1.398771
24,151,1.428753
24,152,1.416899
24,153,1.420883
24,154,1.428788
24,155,1.466425
24,156,1.469808
24,157,1.469808
24,158,1.469808
24,159,1.481986
24,160,1.493687
24,161,1.496916
24,162,1.451670
24,163,1.451670
24,164,1.451670
24,165,1.451670
24,166,1.473467
24,167,1.473467
24,168,1.478932
24,169,1.489268
24,170,1.483855
24,171,1.483855
24,172,1.483428
24,173,1.481383
24,174,1.480299
24,175,1.480299
24,176,1.480299
24,177,1.487219
24,178,1.481688
24,179,1.471332
24,180,1.480057
24,181,1.503778
24,182,1.547404
24,183,1.540721
24,184,1.544088
24,185,1.544088
24,186,1.544256
24,187,1.524265
24,188,1.524265
24,189,1.528631
24,190,1.521125
24,191,1.521125
24,192,1.532178
24,193,1.523437
24,194,1.525357
24,195,1.518096
24,196,1.523215
24,197,1.509925
24,198,1.518880
24,199,1.484561
24,200,1.485928
24,201,1.506377
24,202,1.514714
24,203,1.514714
24,204,1.532178
24,205,1.541869
24,206,1.541869
24,207,1.541869
24,208,1.540241
24,209,1.540241
24,210,1.548475
24,211,1.548475
24,212,1.546840
24,213,1.561794
24,214,1.580818
24,215,1.580818
24,216,1.586403
24,217,1.632874
24,218,1.636704
24,219,1.636704
24,220,1.636704
24,221,1.625309
24,222,1.639493
24,223,1.636178
24,224,1.646505
24,225,1.644432
24,226,1.667052
24,227,1.668704
24,228,1.695352
24,229,1.695352
24,230,1.695352
24,231,1.695352
24,232,1.695352
24,233,1.695352
24,234,1.695352
24,235,1.695352
24,236,1.695352
24,237,1.695352
24,238,1.695352
24,239,1.695352
