mult,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
0.05,OldGuardNoBNB,4,-1.43,0.6083,30.43,11,45.45,false
0.05,OldGuardNoBNB,5,96.54,4.6784,33.30,13,61.54,true
0.05,LargeCaps5,0,418.86,7.3633,24.72,15,66.67,true
0.05,LargeCaps5,1,4.11,1.3590,24.13,9,55.56,true
0.05,LargeCaps5,2,-20.02,0.5707,53.61,15,46.67,false
0.05,LargeCaps5,3,19.27,2.6503,40.49,16,50.00,true
0.05,LargeCaps5,4,116.57,9.4274,9.24,9,77.78,true
0.05,LargeCaps5,5,23.63,2.3179,25.42,12,58.33,true
0.05,Legacy3,0,48.95,3.4125,30.67,15,46.67,true
0.05,Legacy3,1,25.26,3.0357,33.47,13,53.85,true
0.05,Legacy3,2,-55.45,-3.1938,58.78,14,28.57,false
0.05,Legacy3,3,57.45,3.9171,36.47,14,57.14,true
0.05,Legacy3,4,-4.97,0.5429,26.25,11,36.36,false
0.05,Legacy3,5,-31.93,-1.4603,49.03,11,36.36,false
0.05,LowVolume5,0,-3.55,1.5205,47.62,17,41.18,false
0.05,LowVolume5,1,-44.51,-1.8946,55.38,14,57.14,false
0.05,LowVolume5,2,158.17,4.8475,33.19,14,42.86,true
0.05,LowVolume5,3,196.45,6.5519,49.06,15,66.67,true
0.05,LowVolume5,4,-35.81,-2.3110,45.80,13,23.08,false
0.05,LowVolume5,5,-78.40,-4.5794,79.70,17,29.41,false
0.05,OldGuard4,0,120.18,4.9933,38.66,17,47.06,true
0.05,OldGuard4,1,-67.33,-6.4554,67.33,13,30.77,false
0.05,OldGuard4,2,-1.45,1.7031,39.18,13,30.77,false
0.05,OldGuard4,3,57.45,3.9171,36.47,14,57.14,true
0.05,OldGuard4,4,-14.22,-0.3539,35.26,12,33.33,false
0.05,OldGuard4,5,-3.11,1.1303,55.57,14,35.71,false
0.1,Base5,0,278.66,6.3121,27.57,12,75.00,true
0.1,Base5,1,128.84,3.5223,56.65,11,63.64,true
0.1,Base5,2,1.14,1.2284,53.61,13,46.15,true
0.1,Base5,3,-17.33,1.2804,52.16,17,47.06,false
0.1,Base5,4,110.58,7.5828,9.24,9,66.67,true
0.1,Base5,5,9.52,1.8923,41.51,14,50.00,true
0.1,NoDOGE,0,278.66,6.3121,27.57,12,75.00,true
0.1,NoDOGE,1,-14.17,-0.5011,29.77,8,37.50,false
0.1,NoDOGE,2,-7.66,1.1360,53.61,15,46.67,false
0.1,NoDOGE,3,89.85,4.5692,52.16,17,52.94,true
0.1,NoDOGE,4,110.58,7.5828,9.24,9,66.67,true
0.1,NoDOGE,5,57.16,5.6007,21.43,11,72.73,true
0.1,Legacy4,0,26.86,2.5635,42.33,15,46.67,true
0.1,Legacy4,1,-23.07,-1.3095,35.89,12,33.33,false
0.1,Legacy4,2,-2.63,0.6173,38.07,12,58.33,false
0.1,Legacy4,3,-17.26,1.2293,59.35,15,53.33,false
0.1,Legacy4,4,-6.46,0.2524,30.43,9,44.44,false
0.1,Legacy4,5,24.15,2.8085,35.74,10,60.00,true
0.1,Legacy5BNB,0,46.30,3.3267,42.33,16,50.00,true
0.1,Legacy5BNB,1,-45.24,-4.4665,51.85,12,33.33,false
0.1,Legacy5BNB,2,-15.42,-0.1122,38.07,12,58.33,false
0.1,Legacy5BNB,3,-3.32,1.8458,52.50,14,57.14,false
0.1,Legacy5BNB,4,51.74,5.1855,12.91,8,62.50,true
0.1,Legacy5BNB,5,-22.70,-1.4866,35.75,11,45.45,false
0.1,OldGuardNoBNB,0,77.35,4.1265,42.33,18,50.00,true
0.1,OldGuardNoBNB,1,-69.41,-8.4868,69.41,12,25.00,false
0.1,OldGuardNoBNB,2,-7.41,0.3520,38.07,12,58.33,false
0.1,OldGuardNoBNB,3,-17.26,1.2293,59.35,15,53.33,false
0.1,OldGuardNoBNB,4,-4.71,0.3888,30.43,10,50.00,false
0.1,OldGuardNoBNB,5,126.21,6.2766,35.74,12,66.67,true
0.1,LargeCaps5,0,409.24,7.3708,24.72,13,76.92,true
0.1,LargeCaps5,1,-14.17,-0.5011,29.77,8,37.50,false
0.1,LargeCaps5,2,-7.66,1.1360,53.61,15,46.67,false
0.1,LargeCaps5,3,-29.83,0.3773,52.16,16,43.75,false
0.1,LargeCaps5,4,74.79,6.5051,12.91,9,66.67,true
0.1,LargeCaps5,5,47.70,4.9548,21.43,11,63.64,true
0.1,Legacy3,0,46.06,3.2907,29.85,14,50.00,true
0.1,Legacy3,1,-28.31,-1.2792,56.76,13,30.77,false
0.1,Legacy3,2,-55.57,-3.2075,58.78,14,28.57,false
0.1,Legacy3,3,40.70,3.3826,43.04,14,57.14,true
0.1,Legacy3,4,-6.17,0.4686,26.25,11,45.45,false
0.1,Legacy3,5,-33.19,-1.5431,49.97,11,36.36,false
0.1,LowVolume5,0,6.02,1.9530,46.51,17,47.06,true
0.1,LowVolume5,1,-61.68,-3.7382,65.87,14,42.86,false
0.1,LowVolume5,2,399.89,6.3631,28.09,13,69.23,true
0.1,LowVolume5,3,267.05,7.4548,49.06,14,71.43,true
0.1,LowVolume5,4,-35.81,-2.3110,45.80,13,23.08,false
0.1,LowVolume5,5,-79.14,-4.6325,80.40,17,29.41,false
0.1,OldGuard4,0,148.72,5.4648,34.68,17,52.94,true
0.1,OldGuard4,1,-67.33,-6.4554,67.33,13,30.77,false
0.1,OldGuard4,2,-38.91,-0.9391,50.43,13,38.46,false
0.1,OldGuard4,3,40.70,3.3826,43.04,14,57.14,true
0.1,OldGuard4,4,-17.63,-0.2591,35.26,12,41.67,false
0.1,OldGuard4,5,-4.90,1.0406,56.39,14,35.71,false
0.15,Base5,0,278.66,6.3121,27.57,12,75.00,true
0.15,Base5,1,128.84,3.5223,56.65,11,63.64,true
0.15,Base5,2,76.83,3.7846,28.09,12,58.33,true
0.15,Base5,3,-17.33,1.2804,52.16,17,47.06,false
0.15,Base5,4,101.30,7.1148,9.24,9,66.67,true
0.15,Base5,5,77.94,4.8250,29.93,12,58.33,true
0.15,NoDOGE,0,278.66,6.3121,27.57,12,75.00,true
0.15,NoDOGE,1,-14.17,-0.5011,29.77,8,37.50,false
0.15,NoDOGE,2,89.33,3.7559,41.60,15,53.33,true
0.15,NoDOGE,3,120.24,5.1722,52.16,17,52.94,true
