vl,pass_count,total,avg_sharpe,avg_ret,avg_dd,total_trades
1,36,54,3.4765,138.84,35.68,765
2,39,54,3.1831,109.61,36.69,749
3,34,54,3.2735,137.11,37.50,736
4,35,54,3.4678,135.78,36.38,730
5,35,54,3.1276,108.83,36.36,732
6,36,54,3.1587,112.25,35.94,728
7,38,54,3.2400,105.83,35.39,721
8,40,54,3.1471,105.33,35.41,721
9,40,54,3.1119,102.44,35.81,715
10,34,54,2.6858,97.79,36.28,713
12,34,54,2.4599,97.23,37.43,718
15,31,54,2.3064,85.84,37.68,714
20,32,54,2.4418,91.43,36.93,712
