hm,atr_period,pass_rate,total_pass,total_windows,avg_sharpe,avg_ret,total_trades
12,5,74.07,40,54,4.5517,144.26,659
12,20,74.07,40,54,4.5517,144.26,659
12,24,74.07,40,54,4.5517,144.26,659
12,40,74.07,40,54,4.5517,144.26,659
12,60,74.07,40,54,4.5517,144.26,659
20,5,59.26,32,54,3.1803,75.30,490
20,20,59.26,32,54,3.1803,75.30,490
20,24,59.26,32,54,3.1803,75.30,490
20,40,59.26,32,54,3.1803,75.30,490
20,60,59.26,32,54,3.1803,75.30,490
30,5,61.11,33,54,2.6533,64.55,368
30,20,61.11,33,54,2.6533,64.55,368
30,24,61.11,33,54,2.6533,64.55,368
30,40,61.11,33,54,2.6533,64.55,368
30,60,61.11,33,54,2.6533,64.55,368
45,5,51.85,28,54,0.3265,118.02,278
45,20,51.85,28,54,0.3265,118.02,278
45,24,51.85,28,54,0.3265,118.02,278
45,40,51.85,28,54,0.3265,118.02,278
45,60,51.85,28,54,0.3265,118.02,278
60,5,44.44,24,54,1.2457,46.23,207
60,20,44.44,24,54,1.2457,46.23,207
60,24,44.44,24,54,1.2457,46.23,207
60,40,44.44,24,54,1.2457,46.23,207
60,60,44.44,24,54,1.2457,46.23,207
90,5,50.00,27,54,-3.9984,162.88,162
90,20,50.00,27,54,-3.9984,162.88,162
90,24,50.00,27,54,-3.9984,162.88,162
90,40,50.00,27,54,-3.9984,162.88,162
90,60,50.00,27,54,-3.9984,162.88,162
