universe,window,equity
Base5,0,4.358469
Base5,1,2.441202
Base5,2,1.505338
Base5,3,2.841032
Base5,4,1.209844
Base5,5,1.521921
Base5,6,1.110474
NoDOGE,0,4.358469
NoDOGE,1,0.788720
NoDOGE,2,1.466101
NoDOGE,3,2.841032
NoDOGE,4,1.209844
NoDOGE,5,1.521921
NoDOGE,6,1.488851
Legacy4,0,1.099570
Legacy4,1,0.959157
Legacy4,2,2.938263
Legacy4,3,1.805427
Legacy4,4,0.891155
Legacy4,5,2.041809
Legacy4,6,1.413663
Legacy5BNB,0,1.225042
Legacy5BNB,1,0.901002
Legacy5BNB,2,2.359991
Legacy5BNB,3,1.645232
Legacy5BNB,4,0.926065
Legacy5BNB,5,1.587500
Legacy5BNB,6,1.413663
OldGuardNoBNB,0,0.861771
OldGuardNoBNB,1,1.034681
OldGuardNoBNB,2,2.938263
OldGuardNoBNB,3,1.805427
OldGuardNoBNB,4,0.986243
OldGuardNoBNB,5,1.026634
OldGuardNoBNB,6,1.413663
LargeCaps5,0,3.846049
LargeCaps5,1,0.788720
LargeCaps5,2,1.466101
LargeCaps5,3,2.172559
LargeCaps5,4,1.209844
LargeCaps5,5,1.521921
LargeCaps5,6,1.488851
Legacy3,0,1.316972
Legacy3,1,1.008251
Legacy3,2,2.227946
Legacy3,3,1.696096
Legacy3,4,0.868591
Legacy3,5,1.811167
Legacy3,6,1.373718
LowVolume5,0,0.753832
LowVolume5,1,0.768882
LowVolume5,2,1.690431
LowVolume5,3,1.358671
LowVolume5,4,0.550269
LowVolume5,5,0.764287
LowVolume5,6,1.483867
OldGuard4,0,0.596548
OldGuard4,1,0.997336
OldGuard4,2,2.227946
OldGuard4,3,1.696096
OldGuard4,4,1.175771
OldGuard4,5,0.910665
OldGuard4,6,1.358151
