atr_ema_period,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass,final_equity
1,Base5,0,319.65663596181446,7.811210343455044,58.939903817320186,15,60,1,4.196566359618145
2,Base5,0,319.65663596181446,7.811210343455044,58.939903817320186,15,60,1,4.196566359618145
3,Base5,0,335.0889376546645,6.554692164862701,57.42997465731467,15,60,1,4.350889376546645
4,Base5,0,335.0889376546645,6.554692164862701,57.42997465731467,15,60,1,4.350889376546645
5,Base5,0,335.0889376546645,6.554692164862701,57.42997465731467,15,60,1,4.350889376546645
6,Base5,0,346.674246032065,6.455412092940413,57.42997465731467,16,62.5,1,4.46674246032065
7,Base5,0,400.84036725563726,6.896056496766269,52.267704448799236,16,62.5,1,5.008403672556373
8,Base5,0,400.84036725563726,6.896056496766269,52.267704448799236,16,62.5,1,5.008403672556373
9,Base5,0,400.84036725563726,6.896056496766269,52.267704448799236,16,62.5,1,5.008403672556373
10,Base5,0,400.84036725563726,6.896056496766269,52.267704448799236,16,62.5,1,5.008403672556373
11,Base5,0,400.84036725563726,6.896056496766269,52.267704448799236,16,62.5,1,5.008403672556373
12,Base5,0,329.1901631857704,5.815608270174574,52.267704448799236,17,64.70588235294117,1,4.291901631857704
13,Base5,0,329.1901631857704,5.815608270174574,52.267704448799236,17,64.70588235294117,1,4.291901631857704
14,Base5,0,329.1901631857704,5.815608270174574,52.267704448799236,17,64.70588235294117,1,4.291901631857704
15,Base5,0,329.1901631857704,5.815608270174574,52.267704448799236,17,64.70588235294117,1,4.291901631857704
16,Base5,0,329.1901631857704,5.815608270174574,52.267704448799236,17,64.70588235294117,1,4.291901631857704
17,Base5,0,329.1901631857704,5.815608270174574,52.267704448799236,17,64.70588235294117,1,4.291901631857704
18,Base5,0,329.1901631857704,5.815608270174574,52.267704448799236,17,64.70588235294117,1,4.291901631857704
19,Base5,0,329.1901631857704,5.815608270174574,52.267704448799236,17,64.70588235294117,1,4.291901631857704
20,Base5,0,329.1901631857704,5.815608270174574,52.267704448799236,17,64.70588235294117,1,4.291901631857704
21,Base5,0,313.11266966921966,5.826697038372752,54.05575957699272,18,61.111111111111114,1,4.1311266966921965
22,Base5,0,313.11266966921966,5.826697038372752,54.05575957699272,18,61.111111111111114,1,4.1311266966921965
23,Base5,0,313.11266966921966,5.826697038372752,54.05575957699272,18,61.111111111111114,1,4.1311266966921965
24,Base5,0,313.11266966921966,5.826697038372752,54.05575957699272,18,61.111111111111114,1,4.1311266966921965
25,Base5,0,313.11266966921966,5.826697038372752,54.05575957699272,18,61.111111111111114,1,4.1311266966921965
26,Base5,0,313.11266966921966,5.826697038372752,54.05575957699272,18,61.111111111111114,1,4.1311266966921965
27,Base5,0,265.6855041596938,5.4091722923353815,54.05575957699272,19,63.1578947368421,1,3.6568550415969376
28,Base5,0,265.6855041596938,5.4091722923353815,54.05575957699272,19,63.1578947368421,1,3.6568550415969376
29,Base5,0,290.19803323384247,5.669114826333283,54.05575957699272,19,63.1578947368421,1,3.901980332338425
30,Base5,0,320.59591584086,6.1176973170016336,54.05575957699272,18,61.111111111111114,1,4.2059591584086
31,Base5,0,320.59591584086,6.1176973170016336,54.05575957699272,18,61.111111111111114,1,4.2059591584086
32,Base5,0,345.57910980368354,6.307133104569043,54.05575957699272,18,61.111111111111114,1,4.455791098036835
33,Base5,0,345.57910980368354,6.307133104569043,54.05575957699272,18,61.111111111111114,1,4.455791098036835
34,Base5,0,345.57910980368354,6.307133104569043,54.05575957699272,18,61.111111111111114,1,4.455791098036835
35,Base5,0,345.57910980368354,6.307133104569043,54.05575957699272,18,61.111111111111114,1,4.455791098036835
36,Base5,0,345.57910980368354,6.307133104569043,54.05575957699272,18,61.111111111111114,1,4.455791098036835
37,Base5,0,345.57910980368354,6.307133104569043,54.05575957699272,18,61.111111111111114,1,4.455791098036835
38,Base5,0,345.57910980368354,6.307133104569043,54.05575957699272,18,61.111111111111114,1,4.455791098036835
39,Base5,0,345.57910980368354,6.307133104569043,54.05575957699272,18,61.111111111111114,1,4.455791098036835
40,Base5,0,345.57910980368354,6.307133104569043,54.05575957699272,18,61.111111111111114,1,4.455791098036835
41,Base5,0,345.57910980368354,6.307133104569043,54.05575957699272,18,61.111111111111114,1,4.455791098036835
42,Base5,0,379.81583847703166,6.606623602760949,50.525566040409274,18,61.111111111111114,1,4.798158384770317
43,Base5,0,379.81583847703166,6.606623602760949,50.525566040409274,18,61.111111111111114,1,4.798158384770317
44,Base5,0,379.81583847703166,6.606623602760949,50.525566040409274,18,61.111111111111114,1,4.798158384770317
45,Base5,0,401.98995573404363,6.696343035125924,50.525566040409274,18,61.111111111111114,1,5.019899557340437
46,Base5,0,429.99144305999397,6.9118792602202745,50.525566040409274,18,61.111111111111114,1,5.29991443059994
47,Base5,0,429.99144305999397,6.9118792602202745,50.525566040409274,18,61.111111111111114,1,5.29991443059994
48,Base5,0,429.99144305999397,6.9118792602202745,50.525566040409274,18,61.111111111111114,1,5.29991443059994
49,Base5,0,401.98995573404363,6.696343035125924,50.525566040409274,18,61.111111111111114,1,5.019899557340437
50,Base5,0,445.63290300837883,7.02339770591702,49.06544364148907,18,61.111111111111114,1,5.456329030083788
51,Base5,0,457.3389582763533,7.119606292707999,47.9726892850434,18,61.111111111111114,1,5.573389582763533
52,Base5,0,457.3389582763533,7.119606292707999,47.9726892850434,18,61.111111111111114,1,5.573389582763533
53,Base5,0,406.1041550759934,6.689439087728815,47.9726892850434,19,57.89473684210527,1,5.061041550759934
54,Base5,0,406.1041550759934,6.689439087728815,47.9726892850434,19,57.89473684210527,1,5.061041550759934
55,Base5,0,406.1041550759934,6.689439087728815,47.9726892850434,19,57.89473684210527,1,5.061041550759934
56,Base5,0,406.1041550759934,6.689439087728815,47.9726892850434,19,57.89473684210527,1,5.061041550759934
57,Base5,0,379.3647250917115,6.474317168833818,47.9726892850434,19,57.89473684210527,1,4.793647250917115
58,Base5,0,406.1041550759934,6.689439087728815,47.9726892850434,19,57.89473684210527,1,5.061041550759934
59,Base5,0,406.1041550759934,6.689439087728815,47.9726892850434,19,57.89473684210527,1,5.061041550759934
60,Base5,0,406.1041550759934,6.689439087728815,47.9726892850434,19,57.89473684210527,1,5.061041550759934
61,Base5,0,406.1041550759934,6.689439087728815,47.9726892850434,19,57.89473684210527,1,5.061041550759934
62,Base5,0,406.1041550759934,6.689439087728815,47.9726892850434,19,57.89473684210527,1,5.061041550759934
63,Base5,0,406.1041550759934,6.689439087728815,47.9726892850434,19,57.89473684210527,1,5.061041550759934
64,Base5,0,406.1041550759934,6.689439087728815,47.9726892850434,19,57.89473684210527,1,5.061041550759934
65,Base5,0,406.1041550759934,6.689439087728815,47.9726892850434,19,57.89473684210527,1,5.061041550759934
66,Base5,0,406.1041550759934,6.689439087728815,47.9726892850434,19,57.89473684210527,1,5.061041550759934
67,Base5,0,415.69016495771615,6.895088577918474,47.9726892850434,19,57.89473684210527,1,5.156901649577161
68,Base5,0,415.69016495771615,6.895088577918474,47.9726892850434,19,57.89473684210527,1,5.156901649577161
69,Base5,0,415.69016495771615,6.895088577918474,47.9726892850434,19,57.89473684210527,1,5.156901649577161
70,Base5,0,415.69016495771615,6.895088577918474,47.9726892850434,19,57.89473684210527,1,5.156901649577161
71,Base5,0,457.84258204634443,7.13812703562059,43.71998669290392,19,63.1578947368421,1,5.578425820463444
72,Base5,0,457.84258204634443,7.13812703562059,43.71998669290392,19,63.1578947368421,1,5.578425820463444
73,Base5,0,457.84258204634443,7.13812703562059,43.71998669290392,19,63.1578947368421,1,5.578425820463444
74,Base5,0,393.7997811122618,6.733162051401608,43.71998669290392,20,65,1,4.937997811122618
75,Base5,0,416.4181786204005,6.955340527003956,43.71998669290392,20,65,1,5.164181786204005
76,Base5,0,416.4181786204005,6.955340527003956,43.71998669290392,20,65,1,5.164181786204005
77,Base5,0,393.7997811122618,6.733162051401608,43.71998669290392,20,65,1,4.937997811122618
78,Base5,0,393.7997811122618,6.733162051401608,43.71998669290392,20,65,1,4.937997811122618
79,Base5,0,393.7997811122618,6.733162051401608,43.71998669290392,20,65,1,4.937997811122618
80,Base5,0,393.7997811122618,6.733162051401608,43.71998669290392,20,65,1,4.937997811122618
81,Base5,0,393.7997811122618,6.733162051401608,43.71998669290392,20,65,1,4.937997811122618
82,Base5,0,393.7997811122618,6.733162051401608,43.71998669290392,20,65,1,4.937997811122618
83,Base5,0,393.7997811122618,6.733162051401608,43.71998669290392,20,65,1,4.937997811122618
84,Base5,0,376.5014163562152,6.927437051024991,43.71998669290392,20,65,1,4.765014163562152
85,Base5,0,398.32746582116175,7.164615884996388,43.71998669290392,20,65,1,4.983274658211617
86,Base5,0,398.32746582116175,7.164615884996388,43.71998669290392,20,65,1,4.983274658211617
87,Base5,0,398.32746582116175,7.164615884996388,43.71998669290392,20,65,1,4.983274658211617
88,Base5,0,398.32746582116175,7.164615884996388,43.71998669290392,20,65,1,4.983274658211617
89,Base5,0,398.32746582116175,7.164615884996388,43.71998669290392,20,65,1,4.983274658211617
90,Base5,0,398.32746582116175,7.164615884996388,43.71998669290392,20,65,1,4.983274658211617
91,Base5,0,398.32746582116175,7.164615884996388,43.71998669290392,20,65,1,4.983274658211617
92,Base5,0,416.4181786204005,6.955340527003956,43.71998669290392,20,65,1,5.164181786204005
93,Base5,0,416.4181786204005,6.955340527003956,43.71998669290392,20,65,1,5.164181786204005
94,Base5,0,416.4181786204005,6.955340527003956,43.71998669290392,20,65,1,5.164181786204005
95,Base5,0,416.4181786204005,6.955340527003956,43.71998669290392,20,65,1,5.164181786204005
96,Base5,0,416.4181786204005,6.955340527003956,43.71998669290392,20,65,1,5.164181786204005
97,Base5,0,416.4181786204005,6.955340527003956,43.71998669290392,20,65,1,5.164181786204005
98,Base5,0,416.4181786204005,6.955340527003956,43.71998669290392,20,65,1,5.164181786204005
99,Base5,0,496.8122078854262,7.570025645033427,43.71998669290392,20,65,1,5.968122078854262
100,Base5,0,496.8122078854262,7.570025645033427,43.71998669290392,20,65,1,5.968122078854262
101,Base5,0,496.8122078854262,7.570025645033427,43.71998669290392,20,65,1,5.968122078854262
102,Base5,0,496.8122078854262,7.570025645033427,43.71998669290392,20,65,1,5.968122078854262
103,Base5,0,496.8122078854262,7.570025645033427,43.71998669290392,20,65,1,5.968122078854262
104,Base5,0,496.8122078854262,7.570025645033427,43.71998669290392,20,65,1,5.968122078854262
105,Base5,0,496.8122078854262,7.570025645033427,43.71998669290392,20,65,1,5.968122078854262
106,Base5,0,496.8122078854262,7.570025645033427,43.71998669290392,20,65,1,5.968122078854262
107,Base5,0,496.8122078854262,7.570025645033427,43.71998669290392,20,65,1,5.968122078854262
108,Base5,0,496.8122078854262,7.570025645033427,43.71998669290392,20,65,1,5.968122078854262
109,Base5,0,496.8122078854262,7.570025645033427,43.71998669290392,20,65,1,5.968122078854262
110,Base5,0,496.8122078854262,7.570025645033427,43.71998669290392,20,65,1,5.968122078854262
111,Base5,0,496.8122078854262,7.570025645033427,43.71998669290392,20,65,1,5.968122078854262
112,Base5,0,496.8122078854262,7.570025645033427,43.71998669290392,20,65,1,5.968122078854262
113,Base5,0,496.8122078854262,7.570025645033427,43.71998669290392,20,65,1,5.968122078854262
114,Base5,0,496.8122078854262,7.570025645033427,43.71998669290392,20,65,1,5.968122078854262
115,Base5,0,496.8122078854262,7.570025645033427,43.71998669290392,20,65,1,5.968122078854262
116,Base5,0,496.8122078854262,7.570025645033427,43.71998669290392,20,65,1,5.968122078854262
117,Base5,0,496.8122078854262,7.570025645033427,43.71998669290392,20,65,1,5.968122078854262
118,Base5,0,492.70569076755083,7.540055864541159,43.71998669290392,20,65,1,5.927056907675508
119,Base5,0,492.70569076755083,7.540055864541159,43.71998669290392,20,65,1,5.927056907675508
120,Base5,0,492.70569076755083,7.540055864541159,43.71998669290392,20,65,1,5.927056907675508
