rank,strategy,score,full_return_pct,full_trades,full_win_rate_pct,wf_passed,wf_total,wf_avg_return_pct,wf_avg_trades,resample_passed,resample_total,resample_avg_return_pct,resample_avg_trades,universe_first_place,universe_total,loo_first_place,loo_total,bootstrap_first_place,bootstrap_total
1,Turtle+Regime,0.956354,3171.6,398,53.02,4,4,655.9,72.0,15,15,916.7,96.0,9,9,6,6,59,64
2,Turtle20,0.497403,2735.3,446,50.00,4,4,555.5,80.8,14,15,791.4,107.3,0,9,0,6,2,64
3,MACD+Regime,0.473613,959.8,447,45.64,3,4,214.5,79.5,15,15,307.2,105.0,0,9,0,6,2,64
4,MaCross50,0.469772,1734.1,300,52.67,4,4,333.0,54.0,14,15,436.7,68.3,0,9,0,6,0,64
5,Turtle+MACD,0.457254,1591.7,173,52.60,3,4,376.3,29.8,15,15,453.3,40.0,0,9,0,6,0,64
6,MomentumBreakout,0.432364,2785.3,269,50.93,3,4,537.7,47.5,13,15,703.6,62.0,0,9,0,6,0,64
7,MACD,0.413935,729.2,688,45.78,2,4,127.7,124.5,13,15,190.9,162.0,0,9,0,6,1,64
8,Turtle+Regime+MACD,0.359565,1462.3,158,51.90,2,4,354.3,27.8,12,15,420.0,37.0,0,9,0,6,0,64
