universe,window,bar_idx,equity_HM12
,equity_HM17,equity_HM16,equity_HM18,equity_HM15,equity_HM23
Base5,0,0,1.000000,1.000000
Base5,0,251,1.000000,1.000000
Base5,1,0,1.000000,1.000000
Base5,1,251,1.000000,1.000000
Base5,2,0,1.000000,1.000000
Base5,2,251,1.000000,1.000000
Base5,3,0,1.000000,1.000000
Base5,3,251,1.000000,1.000000
Base5,4,0,1.000000,1.000000
Base5,4,251,1.000000,1.000000
Base5,5,0,1.000000,1.000000
Base5,5,251,1.000000,1.000000
Base5,6,0,1.000000,1.000000
Base5,6,251,1.000000,1.000000
NoDOGE,0,0,1.000000,1.000000
NoDOGE,0,251,1.000000,1.000000
NoDOGE,1,0,1.000000,1.000000
NoDOGE,1,251,1.000000,1.000000
NoDOGE,2,0,1.000000,1.000000
NoDOGE,2,251,1.000000,1.000000
NoDOGE,3,0,1.000000,1.000000
NoDOGE,3,251,1.000000,1.000000
NoDOGE,4,0,1.000000,1.000000
NoDOGE,4,251,1.000000,1.000000
NoDOGE,5,0,1.000000,1.000000
NoDOGE,5,251,1.000000,1.000000
NoDOGE,6,0,1.000000,1.000000
NoDOGE,6,251,1.000000,1.000000
Legacy4,0,0,1.000000,1.000000
Legacy4,0,251,1.000000,1.000000
Legacy4,1,0,1.000000,1.000000
Legacy4,1,251,1.000000,1.000000
Legacy4,2,0,1.000000,1.000000
Legacy4,2,251,1.000000,1.000000
Legacy4,3,0,1.000000,1.000000
Legacy4,3,251,1.000000,1.000000
Legacy4,4,0,1.000000,1.000000
Legacy4,4,251,1.000000,1.000000
Legacy4,5,0,1.000000,1.000000
Legacy4,5,251,1.000000,1.000000
Legacy4,6,0,1.000000,1.000000
Legacy4,6,251,1.000000,1.000000
