candidate,global_pass,global_total,pass_pct,avg_sharpe,avg_return,avg_max_dd,total_trades
17,44,54,81.48,4.3791,100.49,29.19,719
20,45,54,83.33,4.5051,100.55,28.24,709
28,44,54,81.48,4.4550,99.65,28.24,710
