universe,window,bar,equity
Base5,0,0,1
Base5,0,1,1
Base5,0,2,1.3071081111900196
Base5,0,3,1.3071081111900196
Base5,0,4,1.3071081111900196
Base5,0,5,1.3071081111900196
Base5,0,6,1.3071081111900196
Base5,0,7,1.3071081111900196
Base5,0,8,1.3071081111900196
Base5,0,9,1.3071081111900196
Base5,0,10,1.3071081111900196
Base5,0,11,1.3071081111900196
Base5,0,12,1.3071081111900196
Base5,0,13,1.3071081111900196
Base5,0,14,1.3071081111900196
Base5,0,15,1.3071081111900196
Base5,0,16,1.0351595416896686
Base5,0,17,1.0351595416896686
Base5,0,18,1.0351595416896686
Base5,0,19,1.0351595416896686
Base5,0,20,1.0351595416896686
Base5,0,21,1.0351595416896686
Base5,0,22,1.0351595416896686
Base5,0,23,1.0351595416896686
Base5,0,24,1.0351595416896686
Base5,0,25,1.0351595416896686
Base5,0,26,1.0351595416896686
Base5,0,27,1.0351595416896686
Base5,0,28,1.0351595416896686
Base5,0,29,1.0351595416896686
Base5,0,30,1.0351595416896686
Base5,0,31,1.0351595416896686
Base5,0,32,1.2236483142036267
Base5,0,33,1.2236483142036267
Base5,0,34,1.2236483142036267
Base5,0,35,1.2236483142036267
Base5,0,36,1.2236483142036267
Base5,0,37,1.2236483142036267
Base5,0,38,1.2236483142036267
Base5,0,39,1.2236483142036267
Base5,0,40,1.2236483142036267
Base5,0,41,1.2236483142036267
Base5,0,42,1.2236483142036267
Base5,0,43,1.2236483142036267
Base5,0,44,1.2236483142036267
Base5,0,45,1.2236483142036267
Base5,0,46,1.2236483142036267
Base5,0,47,1.2236483142036267
Base5,0,48,1.2236483142036267
Base5,0,49,1.2236483142036267
Base5,0,50,1.2236483142036267
Base5,0,51,1.2236483142036267
Base5,0,52,1.2236483142036267
Base5,0,53,1.2236483142036267
Base5,0,54,1.2236483142036267
Base5,0,55,1.2236483142036267
Base5,0,56,1.2236483142036267
Base5,0,57,1.2236483142036267
Base5,0,58,1.2236483142036267
Base5,0,59,1.2236483142036267
Base5,0,60,1.2236483142036267
Base5,0,61,1.2236483142036267
Base5,0,62,1.2236483142036267
Base5,0,63,1.2236483142036267
Base5,0,64,1.2236483142036267
Base5,0,65,1.2236483142036267
Base5,0,66,1.2236483142036267
Base5,0,67,1.2236483142036267
Base5,0,68,1.3664512995558191
Base5,0,69,2.031984454733102
