atr_period,universe,pass,total,pass_pct,avg_sharpe,avg_ret,avg_dd,avg_trades,win_rate,universe_pass
13,OldGuard4,0,13,0.0,0.000,-101.4,101.4,4,40.4,false
14,Base5,0,13,0.0,0.000,-104.1,104.1,4,42.3,false
14,NoDOGE,0,13,0.0,0.000,-104.1,104.1,4,38.6,false
14,Legacy4,0,13,0.0,0.000,-102.0,102.0,7,43.6,false
14,Legacy5BNB,0,13,0.0,0.000,-104.1,104.1,5,44.3,false
14,OldGuardNoBNB,0,13,0.0,0.000,-102.0,102.0,6,47.1,false
14,LargeCaps5,0,13,0.0,0.000,-106.2,106.2,4,37.2,false
14,Legacy3,0,13,0.0,0.000,-104.5,104.6,3,20.1,false
14,LowVolume5,0,13,0.0,0.000,-105.5,105.9,3,34.1,false
14,OldGuard4,0,13,0.0,0.000,-101.4,101.4,4,40.4,false
15,Base5,0,13,0.0,0.000,-105.6,105.6,4,42.3,false
15,NoDOGE,0,13,0.0,0.000,-105.7,105.7,4,38.6,false
15,Legacy4,0,13,0.0,0.000,-100.4,100.4,8,52.8,false
15,Legacy5BNB,0,13,0.0,0.000,-102.5,102.5,6,52.8,false
15,OldGuardNoBNB,0,13,0.0,0.000,-100.4,100.4,8,56.4,false
15,LargeCaps5,0,13,0.0,0.000,-107.7,107.8,4,37.2,false
15,Legacy3,0,13,0.0,0.000,-104.5,104.6,3,20.1,false
15,LowVolume5,0,13,0.0,0.000,-105.5,105.9,3,34.1,false
15,OldGuard4,0,13,0.0,0.000,-101.4,101.4,4,40.4,false
16,Base5,0,13,0.0,0.000,-105.4,105.4,4,42.3,false
16,NoDOGE,0,13,0.0,0.000,-105.4,105.4,4,38.6,false
16,Legacy4,0,13,0.0,0.000,-100.2,100.2,8,51.6,false
16,Legacy5BNB,0,13,0.0,0.000,-101.8,101.8,6,52.7,false
16,OldGuardNoBNB,0,13,0.0,0.000,-100.2,100.2,8,56.1,false
16,LargeCaps5,0,13,0.0,0.000,-107.0,107.0,4,37.2,false
16,Legacy3,0,13,0.0,0.000,-104.5,104.6,3,20.1,false
16,LowVolume5,0,13,0.0,0.000,-105.5,105.9,3,34.1,false
16,OldGuard4,0,13,0.0,0.000,-101.4,101.4,4,40.4,false
17,Base5,0,13,0.0,0.000,-105.4,105.4,4,42.3,false
17,NoDOGE,0,13,0.0,0.000,-105.4,105.4,4,38.6,false
17,Legacy4,0,13,0.0,0.000,-100.2,100.2,8,50.3,false
17,Legacy5BNB,0,13,0.0,0.000,-102.0,102.0,6,49.4,false
17,OldGuardNoBNB,0,13,0.0,0.000,-100.2,100.2,8,54.8,false
17,LargeCaps5,0,13,0.0,0.000,-107.0,107.0,4,37.2,false
17,Legacy3,0,13,0.0,0.000,-104.5,104.6,3,20.1,false
17,LowVolume5,0,13,0.0,0.000,-105.1,105.4,3,36.9,false
17,OldGuard4,0,13,0.0,0.000,-101.4,101.4,4,40.4,false
18,Base5,0,13,0.0,0.000,-105.3,105.3,3,42.3,false
18,NoDOGE,0,13,0.0,0.000,-105.4,105.4,4,38.6,false
18,Legacy4,0,13,0.0,0.000,-100.1,100.1,7,45.6,false
18,Legacy5BNB,0,13,0.0,0.000,-101.0,101.0,5,44.7,false
18,OldGuardNoBNB,0,13,0.0,0.000,-100.1,100.1,7,51.1,false
18,LargeCaps5,0,13,0.0,0.000,-105.9,106.0,4,37.2,false
18,Legacy3,0,13,0.0,0.000,-104.5,104.6,3,20.1,false
18,LowVolume5,0,13,0.0,0.000,-105.1,105.4,3,36.9,false
18,OldGuard4,0,13,0.0,0.000,-101.4,101.4,4,39.6,false
19,Base5,0,13,0.0,0.000,-105.3,105.3,3,42.3,false
19,NoDOGE,0,13,0.0,0.000,-105.4,105.4,4,38.6,false
19,Legacy4,0,13,0.0,0.000,-100.1,100.1,6,46.0,false
19,Legacy5BNB,0,13,0.0,0.000,-101.3,101.3,4,46.3,false
19,OldGuardNoBNB,0,13,0.0,0.000,-100.1,100.1,7,51.6,false
19,LargeCaps5,0,13,0.0,0.000,-106.5,106.6,4,37.2,false
19,Legacy3,0,13,0.0,0.000,-104.5,104.6,3,20.1,false
19,LowVolume5,0,13,0.0,0.000,-104.4,104.8,3,36.9,false
19,OldGuard4,0,13,0.0,0.000,-101.4,101.4,4,39.6,false
20,Base5,0,13,0.0,0.000,-102.6,102.7,4,53.4,false
20,NoDOGE,0,13,0.0,0.000,-102.7,102.7,4,49.7,false
20,Legacy4,0,13,0.0,0.000,-100.3,100.3,5,47.3,false
20,Legacy5BNB,0,13,0.0,0.000,-100.4,100.4,5,47.3,false
20,OldGuardNoBNB,0,13,0.0,0.000,-100.3,100.3,6,51.7,false
20,LargeCaps5,0,13,0.0,0.000,-102.5,102.5,4,48.3,false
20,Legacy3,0,13,0.0,0.000,-104.6,104.6,3,20.1,false
20,LowVolume5,0,13,0.0,0.000,-101.5,101.9,4,49.4,false
