universe,window,bar_idx,equity_HM12
,equity_HM17,equity_HM16,equity_HM18,equity_HM15,equity_HM23
OldGuardNoBNB,4,0,0.829855
OldGuardNoBNB,4,0,0.830951
OldGuardNoBNB,4,0,0.828806
OldGuardNoBNB,4,0,0.813084
OldGuardNoBNB,5,0,0.738585
OldGuardNoBNB,5,0,0.732610
OldGuardNoBNB,5,0,0.732610
OldGuardNoBNB,5,0,0.732610
OldGuardNoBNB,5,0,0.732610
OldGuardNoBNB,5,0,0.732610
OldGuardNoBNB,6,0,0.789544
OldGuardNoBNB,6,0,0.794516
OldGuardNoBNB,6,0,0.800502
OldGuardNoBNB,6,0,0.792794
OldGuardNoBNB,6,0,0.800339
OldGuardNoBNB,6,0,0.819542
LargeCaps5,0,0,0.604655
LargeCaps5,0,0,0.604655
LargeCaps5,0,0,0.604655
LargeCaps5,0,0,0.604655
LargeCaps5,0,0,0.604655
LargeCaps5,0,0,0.604655
LargeCaps5,1,0,0.813644
LargeCaps5,1,0,0.819802
LargeCaps5,1,0,0.819802
LargeCaps5,1,0,0.819802
LargeCaps5,1,0,0.819802
LargeCaps5,1,0,0.819802
LargeCaps5,2,0,0.260597
LargeCaps5,2,0,0.260597
LargeCaps5,2,0,0.260597
LargeCaps5,2,0,0.260597
LargeCaps5,2,0,0.260597
LargeCaps5,2,0,0.260597
LargeCaps5,3,0,0.856877
LargeCaps5,3,0,0.876225
LargeCaps5,3,0,0.842966
LargeCaps5,3,0,0.919347
LargeCaps5,3,0,0.845832
LargeCaps5,3,0,0.851799
LargeCaps5,4,0,0.936205
LargeCaps5,4,0,0.964498
LargeCaps5,4,0,0.963490
LargeCaps5,4,0,0.964764
LargeCaps5,4,0,0.964862
LargeCaps5,4,0,0.944019
LargeCaps5,5,0,0.813520
LargeCaps5,5,0,0.792205
LargeCaps5,5,0,0.792205
LargeCaps5,5,0,0.792205
LargeCaps5,5,0,0.792205
LargeCaps5,5,0,0.792205
LargeCaps5,6,0,0.785325
LargeCaps5,6,0,0.818208
LargeCaps5,6,0,0.811882
LargeCaps5,6,0,0.821708
LargeCaps5,6,0,0.776593
LargeCaps5,6,0,0.870124
Legacy3,0,0,0.611285
Legacy3,0,0,0.679812
Legacy3,0,0,0.679197
Legacy3,0,0,0.679401
Legacy3,0,0,0.679743
Legacy3,0,0,0.616437
Legacy3,1,0,0.860112
Legacy3,1,0,0.890193
Legacy3,1,0,0.888917
Legacy3,1,0,0.889920
Legacy3,1,0,0.880795
Legacy3,1,0,0.871205
Legacy3,2,0,0.200666
Legacy3,2,0,0.200666
Legacy3,2,0,0.200666
Legacy3,2,0,0.200666
Legacy3,2,0,0.200666
Legacy3,2,0,0.200666
Legacy3,3,0,0.764482
Legacy3,3,0,0.755067
Legacy3,3,0,0.755067
Legacy3,3,0,0.755067
Legacy3,3,0,0.755067
Legacy3,3,0,0.755067
Legacy3,4,0,0.787187
Legacy3,4,0,0.787187
Legacy3,4,0,0.787187
Legacy3,4,0,0.787187
Legacy3,4,0,0.787187
Legacy3,4,0,0.787187
Legacy3,5,0,0.688702
Legacy3,5,0,0.683130
Legacy3,5,0,0.683130
Legacy3,5,0,0.683130
Legacy3,5,0,0.683130
Legacy3,5,0,0.683130
Legacy3,6,0,0.748920
Legacy3,6,0,0.749710
Legacy3,6,0,0.748718
Legacy3,6,0,0.752126
Legacy3,6,0,0.748565
Legacy3,6,0,0.777375
LowVolume5,0,0,0.542467
LowVolume5,0,0,0.722305
LowVolume5,0,0,0.721652
LowVolume5,0,0,0.721868
LowVolume5,0,0,0.722232
LowVolume5,0,0,0.692091
LowVolume5,1,0,0.806779
LowVolume5,1,0,0.835978
LowVolume5,1,0,0.831224
LowVolume5,1,0,0.837118
LowVolume5,1,0,0.819875
LowVolume5,1,0,0.831808
LowVolume5,2,0,0.171587
LowVolume5,2,0,0.159708
LowVolume5,2,0,0.159708
LowVolume5,2,0,0.159708
LowVolume5,2,0,0.159708
LowVolume5,2,0,0.159708
LowVolume5,3,0,0.435430
LowVolume5,3,0,0.441641
LowVolume5,3,0,0.441641
LowVolume5,3,0,0.441641
LowVolume5,3,0,0.441641
LowVolume5,3,0,0.441641
LowVolume5,4,0,0.529126
LowVolume5,4,0,0.611140
LowVolume5,4,0,0.530287
LowVolume5,4,0,0.591101
LowVolume5,4,0,0.638783
LowVolume5,4,0,0.555356
LowVolume5,5,0,0.589249
LowVolume5,5,0,0.727157
LowVolume5,5,0,0.714374
LowVolume5,5,0,0.727714
LowVolume5,5,0,0.677393
LowVolume5,5,0,0.707537
LowVolume5,6,0,0.467383
LowVolume5,6,0,0.467383
LowVolume5,6,0,0.467383
LowVolume5,6,0,0.467383
LowVolume5,6,0,0.467383
LowVolume5,6,0,0.467383
OldGuard4,0,0,0.670710
