step,Base5_W0_asym_hard,Base5_W0_asym_soft,Base5_W0_baseline,Base5_W1_asym_hard,Base5_W1_asym_soft,Base5_W1_baseline,Base5_W2_asym_hard,Base5_W2_asym_soft,Base5_W2_baseline,Base5_W3_asym_hard,Base5_W3_asym_soft,Base5_W3_baseline,Base5_W4_asym_hard,Base5_W4_asym_soft,Base5_W4_baseline,Base5_W5_asym_hard,Base5_W5_asym_soft,Base5_W5_baseline,LargeCaps5_W0_asym_hard,LargeCaps5_W0_asym_soft,LargeCaps5_W0_baseline,LargeCaps5_W1_asym_hard,LargeCaps5_W1_asym_soft,LargeCaps5_W1_baseline,LargeCaps5_W2_asym_hard,LargeCaps5_W2_asym_soft,LargeCaps5_W2_baseline,LargeCaps5_W3_asym_hard,LargeCaps5_W3_asym_soft,LargeCaps5_W3_baseline,LargeCaps5_W4_asym_hard,LargeCaps5_W4_asym_soft,LargeCaps5_W4_baseline,LargeCaps5_W5_asym_hard,LargeCaps5_W5_asym_soft,LargeCaps5_W5_baseline,Legacy3_W0_asym_hard,Legacy3_W0_asym_soft,Legacy3_W0_baseline,Legacy3_W1_asym_hard,Legacy3_W1_asym_soft,Legacy3_W1_baseline,Legacy3_W2_asym_hard,Legacy3_W2_asym_soft,Legacy3_W2_baseline,Legacy3_W3_asym_hard,Legacy3_W3_asym_soft,Legacy3_W3_baseline,Legacy3_W4_asym_hard,Legacy3_W4_asym_soft,Legacy3_W4_baseline,Legacy3_W5_asym_hard,Legacy3_W5_asym_soft,Legacy3_W5_baseline,Legacy4_W0_asym_hard,Legacy4_W0_asym_soft,Legacy4_W0_baseline,Legacy4_W1_asym_hard,Legacy4_W1_asym_soft,Legacy4_W1_baseline,Legacy4_W2_asym_hard,Legacy4_W2_asym_soft,Legacy4_W2_baseline,Legacy4_W3_asym_hard,Legacy4_W3_asym_soft,Legacy4_W3_baseline,Legacy4_W4_asym_hard,Legacy4_W4_asym_soft,Legacy4_W4_baseline,Legacy4_W5_asym_hard,Legacy4_W5_asym_soft,Legacy4_W5_baseline,Legacy5BNB_W0_asym_hard,Legacy5BNB_W0_asym_soft,Legacy5BNB_W0_baseline,Legacy5BNB_W1_asym_hard,Legacy5BNB_W1_asym_soft,Legacy5BNB_W1_baseline,Legacy5BNB_W2_asym_hard,Legacy5BNB_W2_asym_soft,Legacy5BNB_W2_baseline,Legacy5BNB_W3_asym_hard,Legacy5BNB_W3_asym_soft,Legacy5BNB_W3_baseline,Legacy5BNB_W4_asym_hard,Legacy5BNB_W4_asym_soft,Legacy5BNB_W4_baseline,Legacy5BNB_W5_asym_hard,Legacy5BNB_W5_asym_soft,Legacy5BNB_W5_baseline,LowVolume5_W0_asym_hard,LowVolume5_W0_asym_soft,LowVolume5_W0_baseline,LowVolume5_W1_asym_hard,LowVolume5_W1_asym_soft,LowVolume5_W1_baseline,LowVolume5_W2_asym_hard,LowVolume5_W2_asym_soft,LowVolume5_W2_baseline,LowVolume5_W3_asym_hard,LowVolume5_W3_asym_soft,LowVolume5_W3_baseline,LowVolume5_W4_asym_hard,LowVolume5_W4_asym_soft,LowVolume5_W4_baseline,LowVolume5_W5_asym_hard,LowVolume5_W5_asym_soft,LowVolume5_W5_baseline,NoDOGE_W0_asym_hard,NoDOGE_W0_asym_soft,NoDOGE_W0_baseline,NoDOGE_W1_asym_hard,NoDOGE_W1_asym_soft,NoDOGE_W1_baseline,NoDOGE_W2_asym_hard,NoDOGE_W2_asym_soft,NoDOGE_W2_baseline,NoDOGE_W3_asym_hard,NoDOGE_W3_asym_soft,NoDOGE_W3_baseline,NoDOGE_W4_asym_hard,NoDOGE_W4_asym_soft,NoDOGE_W4_baseline,NoDOGE_W5_asym_hard,NoDOGE_W5_asym_soft,NoDOGE_W5_baseline,OldGuard4_W0_asym_hard,OldGuard4_W0_asym_soft,OldGuard4_W0_baseline,OldGuard4_W1_asym_hard,OldGuard4_W1_asym_soft,OldGuard4_W1_baseline,OldGuard4_W2_asym_hard,OldGuard4_W2_asym_soft,OldGuard4_W2_baseline,OldGuard4_W3_asym_hard,OldGuard4_W3_asym_soft,OldGuard4_W3_baseline,OldGuard4_W4_asym_hard,OldGuard4_W4_asym_soft,OldGuard4_W4_baseline,OldGuard4_W5_asym_hard,OldGuard4_W5_asym_soft,OldGuard4_W5_baseline,OldGuardNoBNB_W0_asym_hard,OldGuardNoBNB_W0_asym_soft,OldGuardNoBNB_W0_baseline,OldGuardNoBNB_W1_asym_hard,OldGuardNoBNB_W1_asym_soft,OldGuardNoBNB_W1_baseline,OldGuardNoBNB_W2_asym_hard,OldGuardNoBNB_W2_asym_soft,OldGuardNoBNB_W2_baseline,OldGuardNoBNB_W3_asym_hard,OldGuardNoBNB_W3_asym_soft,OldGuardNoBNB_W3_baseline,OldGuardNoBNB_W4_asym_hard,OldGuardNoBNB_W4_asym_soft,OldGuardNoBNB_W4_baseline,OldGuardNoBNB_W5_asym_hard,OldGuardNoBNB_W5_asym_soft,OldGuardNoBNB_W5_baseline
33,0.789150,0.789150,0.789150,1.000000,1.000000,1.000000,1.054656,1.054656,1.054656,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,0.789150,0.789150,0.789150,1.000000,1.000000,1.000000,0.785872,0.785872,0.785872,2.703924,2.703924,2.703924,1.893237,1.893237,1.893237,1.041525,1.041525,1.041525,1.029561,1.029561,1.017701,0.899963,0.899963,0.975390,1.050973,1.050973,1.050973,1.489535,1.489535,1.489535,0.688768,0.688768,0.688768,0.896095,0.862732,0.872835,0.876895,0.876895,0.866794,0.901085,0.901085,0.901085,0.936232,0.936232,0.936232,1.580451,1.580451,1.580451,1.054519,1.054519,1.054519,0.860902,0.828850,0.838556,0.876895,0.876895,0.866794,1.000000,1.000000,1.000000,0.936232,0.936232,0.936232,1.580451,1.580451,1.580451,1.058351,1.058351,1.058351,1.013709,1.013709,1.013709,1.164667,1.164667,1.017701,0.816053,0.816053,0.816053,0.941446,0.941446,0.941446,1.423492,1.423492,1.423492,0.837789,0.837789,0.837789,0.755829,0.727688,0.635364,0.789150,0.789150,0.789150,1.000000,1.000000,1.000000,0.825204,0.825204,0.825204,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,0.876895,0.876895,0.866794,0.562869,0.562869,0.610044,0.937655,0.937655,0.937655,1.489535,1.489535,1.489535,1.020096,1.020096,0.986843,0.896095,0.862732,0.819535,0.876895,0.876895,0.866794,0.603756,0.603756,0.654358,0.936232,0.936232,0.936232,1.580451,1.580451,1.580451,1.054519,1.054519,1.054519,0.860902,0.828850,0.787349
34,0.789150,0.789150,0.789150,1.000000,1.000000,1.000000,1.054656,1.054656,1.054656,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,0.789150,0.789150,0.789150,1.000000,1.000000,1.000000,0.974477,0.974477,0.974477,2.602458,2.602458,2.602458,1.893237,1.893237,1.893237,1.041525,1.041525,1.041525,1.029561,1.029561,1.017701,0.899963,0.899963,0.975390,1.050973,1.050973,1.050973,1.441089,1.441089,1.441089,0.688768,0.688768,0.688768,0.896095,0.862732,0.872835,0.876895,0.876895,0.866794,0.901085,0.901085,0.901085,0.936232,0.936232,0.936232,1.859960,1.859960,1.859960,1.054519,1.054519,1.054519,0.860902,0.828850,0.838556,0.876895,0.876895,0.866794,1.000000,1.000000,1.000000,0.891607,0.891607,0.891607,1.859960,1.859960,1.859960,1.058351,1.058351,1.058351,1.013709,1.013709,1.013709,1.130508,1.130508,1.151251,0.816053,0.816053,0.816053,0.913448,0.913448,0.913448,1.423492,1.423492,1.423492,0.837789,0.837789,0.837789,0.755829,0.727688,0.635364,0.789150,0.789150,0.789150,1.000000,1.000000,1.000000,0.825204,0.825204,0.825204,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,0.876895,0.876895,0.866794,0.562869,0.562869,0.610044,0.937655,0.937655,0.937655,1.441089,1.441089,1.441089,1.020096,1.020096,0.960091,0.896095,0.862732,0.819535,0.876895,0.876895,0.866794,0.603756,0.603756,0.654358,0.936232,0.936232,0.936232,1.859960,1.859960,1.859960,1.054519,1.054519,1.054519,0.860902,0.828850,0.787349
35,0.789150,0.789150,0.789150,1.000000,1.000000,1.000000,1.054656,1.054656,1.054656,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,0.789150,0.789150,0.789150,1.000000,1.000000,1.000000,0.974477,0.974477,0.974477,2.602458,2.602458,2.602458,1.893237,1.893237,1.893237,1.041525,1.041525,1.041525,1.029561,1.029561,1.017701,0.899963,0.899963,0.975390,1.008053,1.008053,1.008053,1.441089,1.441089,1.441089,0.631538,0.631538,0.631538,0.896095,0.862732,0.872835,0.876895,0.876895,0.866794,0.901085,0.901085,0.901085,0.936232,0.936232,0.936232,1.781988,1.781988,1.781988,1.054519,1.054519,1.054519,0.860902,0.828850,0.838556,0.876895,0.876895,0.866794,1.000000,1.000000,1.000000,1.105588,1.105588,1.105588,1.781988,1.781988,1.781988,1.058351,1.058351,1.058351,1.013709,1.013709,1.013709,1.130508,1.130508,1.117485,0.816053,0.816053,0.816053,0.913448,0.913448,0.913448,1.081709,1.081709,1.081709,0.837789,0.837789,0.837789,0.644661,0.727688,0.635364,0.789150,0.789150,0.789150,1.000000,1.000000,1.000000,1.008338,1.008338,1.008338,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,0.876895,0.876895,0.866794,0.562869,0.562869,0.610044,0.937655,0.937655,0.937655,1.441089,1.441089,1.441089,1.020096,1.020096,0.960091,0.896095,0.862732,0.819535,0.876895,0.876895,0.866794,0.603756,0.603756,0.654358,0.936232,0.936232,0.936232,1.781988,1.781988,1.781988,1.054519,1.054519,1.054519,0.860902,0.828850,0.787349
36,0.789150,0.789150,0.789150,1.000000,1.000000,1.000000,1.054656,1.054656,1.054656,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,0.789150,0.789150,0.789150,1.000000,1.000000,1.000000,0.974477,0.974477,0.974477,2.602458,2.602458,2.602458,1.893237,1.893237,1.893237,1.041525,1.041525,1.041525,1.029561,1.029561,1.017701,0.899963,0.899963,0.975390,1.008053,1.008053,1.008053,1.441089,1.441089,1.441089,0.631538,0.631538,0.631538,0.896095,0.862732,0.872835,0.876895,0.876895,0.866794,0.828626,0.828626,0.898074,1.144005,1.144005,1.144005,1.781988,1.781988,1.781988,1.054519,1.054519,1.054519,0.808588,0.828850,0.838556,0.876895,0.876895,0.866794,1.000000,1.000000,1.000000,1.074291,1.074291,1.074291,1.781988,1.781988,1.781988,1.322877,1.322877,1.322877,1.013709,1.013709,1.013709,1.103411,1.103411,1.117485,0.816053,0.816053,0.816053,0.913448,0.913448,0.913448,1.081709,1.081709,1.081709,0.768177,0.768177,0.768177,0.644661,0.620659,0.616457,0.789150,0.789150,0.789150,1.000000,1.000000,1.000000,0.963204,0.963204,0.963204,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,0.876895,0.876895,0.866794,0.562869,0.562869,0.610044,1.145744,1.145744,1.145744,1.441089,1.441089,1.441089,1.020096,1.020096,0.960091,0.896095,0.862732,0.819535,0.876895,0.876895,0.866794,0.603756,0.603756,0.654358,1.144005,1.144005,1.144005,1.781988,1.781988,1.781988,1.054519,1.054519,1.054519,0.808588,0.828850,0.787349
37,0.789150,0.789150,0.789150,1.000000,1.000000,1.000000,1.054656,1.054656,1.054656,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,0.789150,0.789150,0.789150,1.000000,1.000000,1.000000,0.974477,0.974477,0.974477,2.602458,2.602458,2.602458,1.893237,1.893237,1.893237,1.041525,1.041525,1.041525,1.029561,1.029561,1.017701,0.899963,0.899963,0.975390,1.008053,1.008053,1.008053,1.441089,1.441089,1.441089,0.631538,0.631538,0.631538,0.841642,0.862732,0.872835,0.876895,0.876895,0.866794,0.828626,0.828626,0.898074,1.092798,1.092798,1.092798,1.781988,1.781988,1.781988,0.966899,0.966899,0.966899,0.808588,0.778483,0.838556,0.876895,0.876895,0.866794,1.000000,1.000000,1.000000,1.074291,1.074291,1.074291,1.781988,1.781988,1.781988,1.287015,1.287015,1.287015,1.013709,1.013709,1.013709,1.103411,1.103411,1.090700,0.816053,0.816053,0.816053,0.913448,0.913448,0.913448,1.081709,1.081709,1.081709,0.768177,0.768177,0.768177,0.644661,0.620659,0.588209,0.789150,0.789150,0.789150,1.000000,1.000000,1.000000,0.963204,0.963204,0.963204,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,1.138527,1.138527,0.866794,0.562869,0.562869,0.610044,1.094459,1.094459,1.094459,1.441089,1.441089,1.441089,1.020096,1.020096,0.960091,0.841642,0.862732,0.819535,0.876895,0.876895,0.866794,0.603756,0.603756,0.654358,1.092798,1.092798,1.092798,1.781988,1.781988,1.781988,0.966899,0.966899,0.966899,0.808588,0.778483,0.787349
38,0.789150,0.789150,0.789150,1.000000,1.000000,1.000000,1.003331,1.003331,1.003331,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,0.789150,0.789150,0.789150,1.000000,1.000000,1.000000,0.974477,0.974477,0.974477,2.602458,2.602458,2.602458,1.893237,1.893237,1.893237,1.041525,1.041525,1.041525,1.029561,1.029561,1.017701,0.899963,0.899963,0.975390,1.008053,1.008053,1.008053,1.441089,1.441089,1.441089,0.631538,0.631538,0.631538,0.841642,0.810306,0.872835,0.876895,0.876895,0.866794,0.828626,0.828626,0.898074,1.061863,1.061863,1.061863,1.781988,1.781988,1.781988,0.966899,0.966899,0.966899,0.808588,0.778483,0.838556,0.876895,0.876895,0.866794,1.000000,1.000000,1.000000,1.074291,1.074291,1.074291,1.781988,1.781988,1.781988,1.287015,1.287015,1.287015,1.013709,1.013709,1.013709,1.103411,1.103411,1.090700,0.816053,0.816053,0.816053,0.913448,0.913448,0.913448,1.081709,1.081709,1.081709,0.768177,0.768177,0.768177,0.644661,0.620659,0.588209,0.789150,0.789150,0.789150,1.000000,1.000000,1.000000,0.963204,0.963204,0.963204,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,1.028625,1.028625,1.125412,0.562869,0.562869,0.610044,1.063478,1.063478,1.063478,1.441089,1.441089,1.441089,1.020096,1.020096,0.960091,0.841642,0.810306,0.819535,0.876895,0.876895,0.866794,0.603756,0.603756,0.654358,1.061863,1.061863,1.061863,1.781988,1.781988,1.781988,0.966899,0.966899,0.966899,0.808588,0.778483,0.787349
39,0.789150,0.789150,0.789150,0.919586,0.919586,0.996659,1.128946,1.128946,1.128946,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,0.789150,0.789150,0.789150,0.919586,0.919586,0.996659,0.974477,0.974477,0.974477,2.602458,2.602458,2.602458,1.893237,1.893237,1.893237,1.041525,1.041525,1.041525,1.029561,1.029561,1.017701,0.899963,0.899963,0.975390,1.008053,1.008053,1.008053,1.441089,1.441089,1.441089,0.789386,0.789386,0.789386,0.841642,0.810306,0.872835,0.845953,0.845953,0.866794,0.828626,0.828626,0.898074,1.061863,1.061863,1.061863,1.781988,1.781988,1.781988,0.966899,0.966899,0.966899,0.808588,0.778483,0.838556,0.845953,0.845953,0.866794,0.919586,0.919586,0.996659,1.074291,1.074291,1.074291,1.781988,1.781988,1.781988,1.389940,1.389940,1.389940,1.013709,1.013709,1.013709,1.103411,1.103411,1.090700,0.816053,0.816053,0.816053,0.913448,0.913448,0.913448,1.081709,1.081709,1.081709,0.768177,0.768177,0.768177,0.600936,0.620659,0.588209,0.789150,0.789150,0.789150,0.919586,0.919586,0.996659,0.963204,0.963204,0.963204,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,1.163609,1.163609,1.016776,0.562869,0.562869,0.610044,1.063478,1.063478,1.063478,1.441089,1.441089,1.441089,1.020096,1.020096,0.960091,0.841642,0.810306,0.819535,0.845953,0.845953,0.866794,0.603756,0.603756,0.654358,1.061863,1.061863,1.061863,1.781988,1.781988,1.781988,0.966899,0.966899,0.966899,0.808588,0.778483,0.739504
40,0.789150,0.789150,0.789150,0.919586,0.919586,0.996659,1.128946,1.128946,1.128946,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,0.789150,0.789150,0.789150,0.919586,0.919586,0.996659,0.974477,0.974477,0.974477,2.602458,2.602458,2.602458,1.893237,1.893237,1.893237,1.041525,1.041525,1.041525,1.029561,1.029561,1.017701,0.899963,0.899963,0.975390,1.008053,1.008053,1.008053,1.441089,1.441089,1.441089,0.767986,0.767986,0.767986,0.841642,0.810306,0.872835,0.845953,0.845953,0.836209,0.828626,0.828626,0.898074,1.061863,1.061863,1.061863,1.781988,1.781988,1.781988,0.966899,0.966899,0.966899,0.808588,0.778483,0.787599,0.845953,0.845953,0.836209,0.919586,0.919586,0.996659,1.074291,1.074291,1.074291,1.781988,1.781988,1.781988,1.338501,1.338501,1.338501,1.013709,1.013709,1.013709,1.103411,1.103411,1.090700,0.816053,0.816053,0.816053,0.913448,0.913448,0.913448,1.081709,1.081709,1.081709,0.768177,0.768177,0.768177,0.600936,0.578563,0.548314,0.789150,0.789150,0.789150,0.919586,0.919586,0.996659,0.963204,0.963204,0.963204,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,1.163609,1.163609,1.150205,0.562869,0.562869,0.610044,1.063478,1.063478,1.063478,1.441089,1.441089,1.441089,1.020096,1.020096,0.960091,0.841642,0.810306,0.769734,0.845953,0.845953,0.836209,0.603756,0.603756,0.654358,1.061863,1.061863,1.061863,1.781988,1.781988,1.781988,0.966899,0.966899,0.966899,1.156626,0.778483,0.739504
41,0.789150,0.789150,0.789150,0.919586,0.919586,0.996659,1.128946,1.128946,1.128946,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,0.789150,0.789150,0.789150,0.919586,0.919586,0.996659,0.974477,0.974477,0.974477,2.602458,2.602458,2.602458,1.893237,1.893237,1.893237,1.041525,1.041525,1.041525,1.029561,1.029561,1.017701,0.899963,0.899963,0.975390,1.008053,1.008053,1.008053,1.441089,1.441089,1.441089,0.767986,0.767986,0.767986,0.841642,0.810306,0.819795,0.845953,0.845953,0.836209,0.828626,0.828626,0.898074,1.061863,1.061863,1.061863,1.781988,1.781988,1.781988,1.208568,1.208568,1.208568,0.808588,0.778483,0.787599,0.845953,0.845953,0.836209,0.919586,0.919586,0.996659,1.074291,1.074291,1.074291,1.781988,1.781988,1.781988,1.338501,1.338501,1.338501,1.013709,1.013709,1.013709,1.103411,1.103411,1.090700,0.816053,0.816053,0.816053,0.913448,0.913448,0.913448,1.081709,1.081709,1.081709,0.768177,0.768177,0.768177,0.600936,0.578563,0.548314,0.789150,0.789150,0.789150,0.919586,0.919586,0.996659,0.963204,0.963204,0.963204,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,1.163609,1.163609,1.150205,0.562869,0.562869,0.610044,1.063478,1.063478,1.063478,1.441089,1.441089,1.441089,1.020096,1.020096,0.960091,1.203907,0.810306,0.769734,0.845953,0.845953,0.836209,0.603756,0.603756,0.654358,1.061863,1.061863,1.061863,1.781988,1.781988,1.781988,1.208568,1.208568,1.208568,1.156626,1.113563,0.739504
42,0.789150,0.789150,0.789150,0.919586,0.919586,0.996659,1.128946,1.128946,1.128946,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,0.789150,0.789150,0.789150,0.919586,0.919586,0.996659,0.974477,0.974477,0.974477,2.602458,2.602458,2.602458,1.893237,1.893237,1.893237,1.041525,1.041525,1.041525,1.029561,1.029561,1.017701,0.899963,0.899963,0.975390,0.940585,0.940585,0.940585,1.441089,1.441089,1.441089,0.767986,0.767986,0.767986,0.841642,0.810306,0.819795,0.896510,0.896510,0.836209,0.828626,0.828626,0.898074,1.061863,1.061863,1.061863,1.781988,1.781988,1.781988,1.175805,1.175805,1.175805,0.808588,0.778483,0.787599,0.896510,0.896510,0.836209,0.919586,0.919586,0.996659,1.074291,1.074291,1.074291,1.781988,1.781988,1.781988,1.338501,1.338501,1.338501,1.013709,1.013709,1.013709,1.103411,1.103411,1.090700,0.816053,0.816053,0.816053,0.913448,0.913448,0.913448,1.081709,1.081709,1.081709,0.768177,0.768177,0.768177,0.600936,0.578563,0.548314,0.789150,0.789150,0.789150,0.919586,0.919586,0.996659,0.963204,0.963204,0.963204,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,1.163609,1.163609,1.150205,0.562869,0.562869,0.610044,1.063478,1.063478,1.063478,1.441089,1.441089,1.441089,1.020096,1.020096,0.960091,1.112895,1.159084,0.769734,0.896510,0.896510,0.836209,0.603756,0.603756,0.654358,1.061863,1.061863,1.061863,1.781988,1.781988,1.781988,1.175805,1.175805,1.175805,1.156626,1.113563,0.739504
43,0.789150,0.789150,0.789150,0.919586,0.919586,0.996659,1.128946,1.128946,1.128946,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,0.789150,0.789150,0.789150,0.919586,0.919586,0.996659,0.974477,0.974477,0.974477,2.602458,2.602458,2.602458,1.893237,1.893237,1.893237,1.041525,1.041525,1.041525,1.029561,1.029561,1.017701,0.899963,0.899963,0.975390,0.940585,0.940585,0.940585,1.441089,1.441089,1.441089,0.767986,0.767986,0.767986,0.841642,0.810306,0.819795,0.896510,0.896510,0.886183,0.828626,0.828626,0.898074,1.061863,1.061863,1.061863,1.781988,1.781988,1.781988,1.175805,1.175805,1.175805,0.808588,0.778483,0.787599,0.896510,0.896510,0.886183,0.919586,0.919586,0.996659,1.074291,1.074291,1.074291,1.781988,1.781988,1.781988,1.338501,1.338501,1.338501,1.013709,1.013709,1.013709,1.103411,1.103411,1.090700,0.816053,0.816053,0.816053,0.913448,0.913448,0.913448,1.081709,1.081709,1.081709,0.768177,0.768177,0.768177,0.571225,0.578563,0.548314,0.789150,0.789150,0.789150,0.919586,0.919586,0.996659,0.963204,0.963204,0.963204,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,1.135719,1.135719,1.150205,0.562869,0.562869,0.610044,1.063478,1.063478,1.063478,1.441089,1.441089,1.441089,1.020096,1.020096,0.960091,1.112895,1.071460,0.769734,0.896510,0.896510,0.886183,0.603756,0.603756,0.654358,1.061863,1.061863,1.061863,1.781988,1.781988,1.781988,1.175805,1.175805,1.175805,1.156626,1.113563,1.057807
44,0.789150,0.789150,0.789150,0.919586,0.919586,0.996659,1.128946,1.128946,1.128946,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,0.789150,0.789150,0.789150,0.919586,0.919586,0.996659,0.974477,0.974477,0.974477,2.602458,2.602458,2.602458,1.893237,1.893237,1.893237,1.041525,1.041525,1.041525,1.029561,1.029561,1.017701,0.899963,0.899963,0.975390,0.940585,0.940585,0.940585,1.441089,1.441089,1.441089,0.767986,0.767986,0.767986,0.841642,0.810306,0.819795,0.896510,0.896510,0.886183,0.828626,0.828626,0.898074,1.061863,1.061863,1.061863,1.781988,1.781988,1.781988,1.269836,1.269836,1.269836,0.808588,0.778483,0.787599,0.896510,0.896510,0.886183,0.919586,0.919586,0.996659,1.074291,1.074291,1.074291,1.781988,1.781988,1.781988,1.338501,1.338501,1.338501,1.013709,1.013709,1.013709,1.103411,1.103411,1.090700,0.816053,0.816053,0.816053,0.913448,0.913448,0.913448,1.081709,1.081709,1.081709,0.768177,0.768177,0.768177,0.665786,0.549958,0.521204,0.789150,0.789150,0.789150,0.919586,0.919586,0.996659,0.963204,0.963204,0.963204,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,1.135719,1.135719,1.122636,0.562869,0.562869,0.610044,1.063478,1.063478,1.063478,1.441089,1.441089,1.441089,0.980163,0.980163,0.960091,1.112895,1.071460,1.101048,0.896510,0.896510,0.886183,0.603756,0.603756,0.654358,1.061863,1.061863,1.061863,1.781988,1.781988,1.781988,1.269836,1.269836,1.269836,1.156626,1.113563,1.057807
45,0.789150,0.789150,0.789150,0.919586,0.919586,0.996659,1.128946,1.128946,1.128946,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,0.789150,0.789150,0.789150,0.919586,0.919586,0.996659,0.974477,0.974477,0.974477,2.602458,2.602458,2.602458,1.893237,1.893237,1.893237,1.041525,1.041525,1.041525,1.029561,1.029561,1.017701,0.899963,0.899963,0.975390,0.940585,0.940585,0.940585,1.441089,1.441089,1.441089,0.767986,0.767986,0.767986,0.841642,0.810306,0.819795,0.896510,0.896510,0.886183,0.828626,0.828626,0.898074,1.061863,1.061863,1.061863,1.781988,1.781988,1.781988,1.269836,1.269836,1.269836,0.808588,0.778483,0.787599,0.896510,0.896510,0.886183,0.919586,0.919586,0.996659,1.074291,1.074291,1.074291,1.781988,1.781988,1.781988,1.338501,1.338501,1.338501,1.013709,1.013709,1.013709,1.287261,1.287261,1.090700,0.816053,0.816053,0.816053,0.913448,0.913448,0.913448,1.081709,1.081709,1.081709,0.768177,0.768177,0.768177,0.665786,0.640998,0.607485,0.789150,0.789150,0.789150,0.919586,0.919586,0.996659,0.963204,0.963204,0.963204,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,1.135719,1.135719,1.122636,0.562869,0.562869,0.610044,1.063478,1.063478,1.063478,1.441089,1.441089,1.441089,0.980163,0.980163,0.960091,1.112895,1.071460,1.017812,0.896510,0.896510,0.886183,0.603756,0.603756,0.654358,1.061863,1.061863,1.061863,1.781988,1.781988,1.781988,1.269836,1.269836,1.269836,1.156626,1.113563,1.057807
46,0.789150,0.789150,0.789150,0.919586,0.919586,0.996659,1.128946,1.128946,1.128946,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,0.789150,0.789150,0.789150,0.919586,0.919586,0.996659,0.974477,0.974477,0.974477,2.602458,2.602458,2.602458,1.893237,1.893237,1.893237,1.041525,1.041525,1.041525,1.029561,1.029561,1.017701,0.899963,0.899963,0.975390,0.940585,0.940585,0.940585,1.441089,1.441089,1.441089,0.767986,0.767986,0.767986,0.841642,0.810306,0.819795,0.896510,0.896510,0.886183,0.828626,0.828626,0.898074,1.061863,1.061863,1.061863,1.781988,1.781988,1.781988,1.269836,1.269836,1.269836,0.808588,0.778483,0.787599,0.896510,0.896510,0.886183,0.919586,0.919586,0.996659,1.074291,1.074291,1.074291,1.781988,1.781988,1.781988,1.338501,1.338501,1.338501,1.013709,1.013709,1.013709,1.287261,1.287261,1.272433,0.816053,0.816053,0.816053,0.913448,0.913448,0.913448,1.081709,1.081709,1.081709,0.768177,0.768177,0.768177,0.665786,0.640998,0.607485,0.789150,0.789150,0.789150,0.919586,0.919586,0.996659,0.963204,0.963204,0.963204,2.120280,2.120280,2.120280,2.205249,2.205249,2.205249,1.041525,1.041525,1.041525,1.135719,1.135719,1.122636,0.562869,0.562869,0.610044,1.063478,1.063478,1.063478,1.441089,1.441089,1.441089,0.980163,0.980163,0.960091,1.057871,1.071460,1.017812,0.896510,0.896510,0.886183,0.603756,0.603756,0.654358,1.061863,1.061863,1.061863,1.781988,1.781988,1.781988,1.269836,1.269836,1.269836,1.156626,1.113563,1.057807
