bar,equity,btc_buyhold,drawdown,bh_drawdown
0,10000,10000,0,0
1,10000,9947.025618758142,0,0.5297438124185828
2,10000,9306.539296569692,0,6.934607034303081
3,8597.564005665427,8606.16587060356,14.024359943345734,13.938341293964404
4,8597.564005665427,8051.793313069908,14.024359943345734,19.482066869300915
5,8597.564005665427,8013.026487190621,14.024359943345734,19.869735128093787
6,8597.564005665427,7616.343899261831,14.024359943345734,23.836561007381686
7,8597.564005665427,8279.26183239253,14.024359943345734,17.207381676074693
8,8597.564005665427,7929.952236213634,14.024359943345734,20.70047763786366
9,8597.564005665427,7946.157186278767,14.024359943345734,20.538428137212332
10,8597.564005665427,7095.093356491533,14.024359943345734,29.04906643508467
11,8597.564005665427,7156.734693877551,14.024359943345734,28.43265306122449
12,8597.564005665427,7173.252279635259,14.024359943345734,28.267477203647413
13,8597.564005665427,6795.310464611377,14.024359943345734,32.04689535388623
14,8597.564005665427,7112.453321754233,14.024359943345734,28.87546678245767
15,8597.564005665427,7468.519322622667,14.024359943345734,25.314806773773334
16,8597.564005665427,7737.716022579244,14.024359943345734,22.62283977420756
17,8597.564005665427,7716.0225792444635,14.024359943345734,22.839774207555365
18,8597.564005665427,7575.24967433782,14.024359943345734,24.2475032566218
19,8597.564005665427,7727.338254450718,14.024359943345734,22.72661745549282
20,8597.564005665427,7422.370820668693,14.024359943345734,25.776291793313067
21,8597.564005665427,7355.753365175858,14.024359943345734,26.44246634824142
22,8597.564005665427,7064.029526704298,14.024359943345734,29.359704732957013
23,8597.564005665427,6769.874077290491,14.024359943345734,32.30125922709509
24,8597.564005665427,6903.43030829353,14.024359943345734,30.965696917064694
25,8597.564005665427,6157.307859313939,14.024359943345734,38.42692140686061
26,8597.564005665427,5940.2778983933995,14.024359943345734,40.597221016066
27,8597.564005665427,6012.948328267476,14.024359943345734,39.87051671732524
28,8597.564005665427,5916.63916630482,14.024359943345734,40.833608336951805
29,8597.564005665427,6127.659574468085,14.024359943345734,38.72340425531915
