hold_max,universe,window,final_equity,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
45,LowVolume5,1,1.38721849,38.7218,2.197204,14.9645,65,50.7692,true
45,LowVolume5,2,1.34533407,34.5334,1.780409,8.3837,47,44.6809,true
45,LowVolume5,3,1.04186539,4.1865,0.353558,21.2205,45,42.2222,true
45,LowVolume5,4,0.78807001,-21.1930,-1.407291,31.5013,48,37.5000,false
45,LowVolume5,5,1.23598209,23.5982,1.759388,14.2331,44,40.9091,true
45,LowVolume5,6,0.86598975,-13.4010,-1.537828,15.5147,45,35.5556,false
45,OldGuard4,0,1.21871149,21.8711,1.490238,8.4533,34,47.0588,true
45,OldGuard4,1,1.42354020,42.3540,2.835162,9.4958,58,56.8966,true
45,OldGuard4,2,1.48266930,48.2669,2.282858,10.3056,44,47.7273,true
45,OldGuard4,3,1.22119047,22.1190,1.223869,10.1992,40,47.5000,true
45,OldGuard4,4,0.81684622,-18.3154,-1.203755,32.3738,51,35.2941,false
45,OldGuard4,5,1.00464406,0.4644,0.120108,14.1349,39,35.8974,true
45,OldGuard4,6,0.96609643,-3.3904,-0.304969,14.4625,52,40.3846,false
50,Base5,0,1.69420791,69.4208,2.234131,10.5994,53,47.1698,true
50,Base5,1,1.38090209,38.0902,1.936775,18.8945,77,48.0519,true
50,Base5,2,2.35453873,135.4539,3.965125,8.2277,65,64.6154,true
50,Base5,3,1.14942983,14.9430,1.144174,13.9419,36,55.5556,true
50,Base5,4,0.92183807,-7.8162,-0.198369,23.0275,60,46.6667,false
50,Base5,5,1.29337816,29.3378,2.079003,8.0043,51,49.0196,true
50,NoDOGE,0,1.35167148,35.1671,1.952981,10.3272,42,47.6190,true
50,NoDOGE,1,1.37947364,37.9474,1.969277,16.7456,71,49.2958,true
50,NoDOGE,2,1.98763413,98.7634,3.383097,7.8243,58,62.0690,true
50,NoDOGE,3,1.08375311,8.3753,0.724451,15.7244,31,54.8387,true
50,NoDOGE,4,0.86241238,-13.7588,-0.596594,26.8726,49,44.8980,false
50,NoDOGE,5,1.21197727,21.1977,1.760507,7.4288,38,47.3684,true
50,Legacy4,0,1.50113670,50.1137,2.549133,6.8028,38,52.6316,true
50,Legacy4,1,1.66825869,66.8259,3.528556,9.4180,64,59.3750,true
50,Legacy4,2,1.82831546,82.8315,2.903919,9.7315,41,56.0976,true
50,Legacy4,3,1.07742438,7.7424,0.646077,8.1814,30,56.6667,true
50,Legacy4,4,0.75853221,-24.1468,-1.381757,33.7466,55,36.3636,false
50,Legacy4,5,0.99656782,-0.3432,0.037433,12.1430,35,34.2857,false
50,Legacy4,6,1.12363744,12.3637,1.149297,11.7909,54,48.1481,true
50,Legacy5BNB,0,1.72025027,72.0250,2.946702,6.8028,44,56.8182,true
50,Legacy5BNB,1,1.51113866,51.1139,2.749099,9.4180,74,52.7027,true
50,Legacy5BNB,2,1.85553342,85.5533,2.752704,11.4274,53,52.8302,true
50,Legacy5BNB,3,1.02445757,2.4458,0.271263,13.3995,37,54.0541,true
50,Legacy5BNB,4,0.87138311,-12.8617,-0.570370,31.4352,57,40.3509,false
50,Legacy5BNB,5,1.00702188,0.7022,0.148031,10.8919,38,34.2105,true
