window,lb_5,lb_10,lb_15,lb_20,lb_25,lb_30,lb_35,lb_40,lb_41,lb_42,lb_45,lb_50,lb_55,lb_60,lb_65,lb_70,lb_75,lb_80,lb_85,lb_90,lb_95,lb_100,lb_105,lb_110,lb_115,lb_120,lb_125,lb_130,lb_135,lb_140,lb_145,lb_150,lb_155,lb_160,lb_165,lb_170,lb_175,lb_180,lb_185,lb_190,lb_195,lb_200
0,2.780081,2.780081,3.221857,3.221857,3.258834,3.258834,3.258834,3.258834,3.275765,3.275765,3.325093,3.325093,3.325093,3.325093,2.798613,2.798613,2.798613,2.798613,4.286976,5.973989,5.973989,5.973989,3.509223,3.509223,3.509223,3.509223,3.509223,3.509223,3.509223,3.509223,4.141433,4.141433,4.141433,4.141433,4.141433,4.141433,4.141433,4.141433,5.829257,5.829257,5.829257,5.829257
1,5.855239,5.613460,5.613460,5.613460,1.412751,1.425487,1.425487,1.425487,1.348449,1.348449,1.348449,1.348449,1.348449,1.348449,1.313124,1.313124,1.313124,1.313124,1.313124,1.313124,1.313124,1.313124,1.313124,1.313124,1.313124,1.313124,1.477717,1.477717,1.477717,1.716262,1.716262,1.716262,1.716262,1.716262,1.716262,1.525098,1.525098,1.525098,1.525098,1.525098,1.525098,1.525098
2,1.553506,1.553506,2.067198,2.067198,2.203202,2.067198,2.067198,2.067198,1.992966,1.992966,1.992966,1.992966,1.992966,1.992966,2.038807,2.038807,2.038807,2.022036,2.022036,2.022036,2.022036,2.022036,2.037304,2.037304,2.037304,2.037304,2.037304,2.037304,2.037304,2.037304,2.037304,2.037304,2.037304,2.037304,1.821983,1.821983,1.821983,1.821983,1.821983,1.821983,1.821983,1.821983
3,2.485761,2.495562,2.495562,2.495562,4.171459,4.171459,4.171459,4.171459,3.931933,2.790382,2.790382,2.375557,2.520271,2.955739,2.759343,2.759343,2.759343,2.759343,2.759343,2.759343,2.759343,2.759343,3.385619,3.385619,3.385619,3.385619,3.385619,3.385619,3.385619,3.385619,3.385619,3.385619,3.385619,3.385619,3.385619,3.385619,3.385619,3.385619,3.385619,3.385619,3.385619,3.385619
4,1.125472,1.108613,1.108613,1.108613,1.256862,1.256862,1.326510,1.326510,1.326510,1.326510,1.326510,1.326510,1.326510,1.326510,1.326510,1.326510,1.326510,1.326510,1.326510,1.326510,1.326510,1.326510,1.326510,1.326510,1.326510,1.326510,1.326510,1.326510,1.326510,1.326510,1.326510,1.326510,1.326510,1.326510,1.130657,1.130657,1.130657,1.130657,1.184432,1.184432,1.184432,1.184432
5,1.145804,1.116781,1.116781,1.147680,1.157472,1.369097,1.369097,1.369097,1.344980,1.344980,1.344980,1.344980,1.344980,1.344980,1.344980,1.344980,1.344980,1.344980,0.984595,0.984595,0.984595,0.984595,0.984595,0.984595,0.984595,0.984595,1.180510,1.180510,1.180510,1.180510,1.364574,1.364574,1.364574,1.364574,1.151061,1.151061,1.151061,1.151061,1.151061,1.151061,1.151061,1.151061
6,1.018201,1.018201,1.018201,0.994058,1.028683,1.028683,1.071278,1.071278,1.071278,1.071278,1.071278,1.071278,1.071278,1.071278,1.071278,1.071278,1.071278,1.071278,1.071278,1.071278,1.071278,1.071278,1.071278,1.071278,1.071278,1.071278,1.071278,1.035219,1.035219,1.035219,1.035219,1.035219,1.035219,1.035219,1.035219,1.035219,1.035219,1.035219,1.035219,0.905074,0.911292,0.911292
