ap,total_pass,total_tests,pass_pct,avg_equity_product,avg_sharpe,avg_dd,total_trades
7,3,4,0.7500,1.523,3.1,28.654072075990065,51
12,2,4,0.5000,1.365,3.8,28.046484424173173,50
17,4,4,1.0000,1.948,7.7,21.254961572411535,47
37,3,4,0.7500,1.407,4.4,27.71137731001791,48
63,4,4,1.0000,1.398,5.7,26.602935269968505,42
