window,ap6,ap12,ap16,ap18
0,5.730039,5.918847,3.578884,4.122885
1,2.877082,3.781693,2.163631,4.157491
2,2.317899,2.026307,1.393734,1.353761
3,5.206053,2.349222,2.462264,2.358131
4,1.299499,1.450536,1.488769,1.127768
5,1.013976,1.291022,0.982664,1.111331
6,1.040648,1.261789,1.261789,1.261789
