universe,window,atr_mult,vol_label,bar_idx,equity
Base5,W0,0.10,none,70,0.696371
Base5,W0,0.10,none,80,0.696371
Base5,W0,0.10,none,90,0.598416
Base5,W0,0.10,none,100,0.598416
Base5,W0,0.10,none,110,0.718808
Base5,W0,0.10,none,120,1.016207
Base5,W0,0.10,none,130,0.866510
Base5,W0,0.10,none,140,0.903611
Base5,W0,0.10,none,150,0.903611
Base5,W0,0.10,none,160,0.886489
Base5,W0,0.10,none,170,0.886489
Base5,W0,0.10,none,180,0.998696
Base5,W0,0.10,none,190,0.974076
Base5,W0,0.10,none,200,0.863360
Base5,W0,0.10,none,210,0.916874
Base5,W0,0.10,none,220,0.916874
Base5,W0,0.10,none,230,0.877054
Base5,W0,0.10,none,240,0.877054
Base5,W0,0.10,none,250,1.012539
Base5,W0,0.10,SMA20_1.00,0,1.000000
Base5,W0,0.10,SMA20_1.00,10,0.865013
Base5,W0,0.10,SMA20_1.00,20,0.865013
Base5,W0,0.10,SMA20_1.00,30,0.865013
Base5,W0,0.10,SMA20_1.00,40,0.865013
Base5,W0,0.10,SMA20_1.00,50,0.832210
Base5,W0,0.10,SMA20_1.00,60,0.832210
Base5,W0,0.10,SMA20_1.00,70,0.832210
Base5,W0,0.10,SMA20_1.00,80,0.832210
Base5,W0,0.10,SMA20_1.00,90,0.715147
Base5,W0,0.10,SMA20_1.00,100,0.715147
Base5,W0,0.10,SMA20_1.00,110,0.859024
Base5,W0,0.10,SMA20_1.00,120,0.859024
Base5,W0,0.10,SMA20_1.00,130,0.714038
Base5,W0,0.10,SMA20_1.00,140,0.744611
Base5,W0,0.10,SMA20_1.00,150,0.744611
Base5,W0,0.10,SMA20_1.00,160,0.744611
Base5,W0,0.10,SMA20_1.00,170,0.744611
Base5,W0,0.10,SMA20_1.00,180,0.857549
Base5,W0,0.10,SMA20_1.00,190,0.850056
Base5,W0,0.10,SMA20_1.00,200,0.806350
Base5,W0,0.10,SMA20_1.00,210,0.963823
Base5,W0,0.10,SMA20_1.00,220,0.963823
Base5,W0,0.10,SMA20_1.00,230,0.963823
Base5,W0,0.10,SMA20_1.00,240,0.963823
Base5,W0,0.10,SMA20_1.00,250,1.027197
Base5,W0,0.10,SMA20_1.25,0,1.000000
Base5,W0,0.10,SMA20_1.25,10,0.865013
Base5,W0,0.10,SMA20_1.25,20,0.865013
Base5,W0,0.10,SMA20_1.25,30,0.865013
Base5,W0,0.10,SMA20_1.25,40,0.865013
Base5,W0,0.10,SMA20_1.25,50,0.832210
Base5,W0,0.10,SMA20_1.25,60,0.832210
Base5,W0,0.10,SMA20_1.25,70,0.832210
Base5,W0,0.10,SMA20_1.25,80,0.832210
Base5,W0,0.10,SMA20_1.25,90,0.715147
Base5,W0,0.10,SMA20_1.25,100,0.715147
Base5,W0,0.10,SMA20_1.25,110,0.694320
Base5,W0,0.10,SMA20_1.25,120,0.694320
Base5,W0,0.10,SMA20_1.25,130,0.658553
Base5,W0,0.10,SMA20_1.25,140,0.686750
Base5,W0,0.10,SMA20_1.25,150,0.686750
Base5,W0,0.10,SMA20_1.25,160,0.686750
Base5,W0,0.10,SMA20_1.25,170,0.686750
Base5,W0,0.10,SMA20_1.25,180,0.686750
Base5,W0,0.10,SMA20_1.25,190,0.680750
Base5,W0,0.10,SMA20_1.25,200,0.645749
Base5,W0,0.10,SMA20_1.25,210,0.771858
Base5,W0,0.10,SMA20_1.25,220,0.771858
Base5,W0,0.10,SMA20_1.25,230,0.771858
Base5,W0,0.10,SMA20_1.25,240,0.771858
Base5,W0,0.10,SMA20_1.25,250,0.822610
Base5,W0,0.10,SMA10_1.00,0,1.000000
Base5,W0,0.10,SMA10_1.00,10,0.865013
Base5,W0,0.10,SMA10_1.00,20,0.865013
Base5,W0,0.10,SMA10_1.00,30,0.865013
Base5,W0,0.10,SMA10_1.00,40,0.865013
Base5,W0,0.10,SMA10_1.00,50,0.832210
Base5,W0,0.10,SMA10_1.00,60,0.832210
Base5,W0,0.10,SMA10_1.00,70,0.832210
Base5,W0,0.10,SMA10_1.00,80,0.832210
Base5,W0,0.10,SMA10_1.00,90,0.715147
Base5,W0,0.10,SMA10_1.00,100,0.715147
Base5,W0,0.10,SMA10_1.00,110,0.859024
Base5,W0,0.10,SMA10_1.00,120,0.859024
Base5,W0,0.10,SMA10_1.00,130,0.814773
Base5,W0,0.10,SMA10_1.00,140,0.849659
Base5,W0,0.10,SMA10_1.00,150,0.849659
Base5,W0,0.10,SMA10_1.00,160,0.849659
Base5,W0,0.10,SMA10_1.00,170,0.849659
Base5,W0,0.10,SMA10_1.00,180,0.975879
Base5,W0,0.10,SMA10_1.00,190,0.967352
Base5,W0,0.10,SMA10_1.00,200,0.917615
Base5,W0,0.10,SMA10_1.00,210,1.096818
Base5,W0,0.10,SMA10_1.00,220,1.096818
Base5,W0,0.10,SMA10_1.00,230,1.096818
Base5,W0,0.10,SMA10_1.00,240,1.096818
Base5,W0,0.10,SMA10_1.00,250,1.168936
Base5,W0,0.20,none,0,1.000000
Base5,W0,0.20,none,10,0.865013
Base5,W0,0.20,none,20,0.723819
Base5,W0,0.20,none,30,0.723819
Base5,W0,0.20,none,40,0.723819
Base5,W0,0.20,none,50,0.696371
Base5,W0,0.20,none,60,0.696371
Base5,W0,0.20,none,70,0.696371
Base5,W0,0.20,none,80,0.696371
Base5,W0,0.20,none,90,0.598416
Base5,W0,0.20,none,100,0.598416
Base5,W0,0.20,none,110,0.718808
Base5,W0,0.20,none,120,1.016207
Base5,W0,0.20,none,130,0.844692
Base5,W0,0.20,none,140,0.880859
Base5,W0,0.20,none,150,0.880859
Base5,W0,0.20,none,160,0.864167
Base5,W0,0.20,none,170,0.864167
Base5,W0,0.20,none,180,0.973549
Base5,W0,0.20,none,190,0.965043
Base5,W0,0.20,none,200,0.855354
Base5,W0,0.20,none,210,0.908372
Base5,W0,0.20,none,220,0.908372
Base5,W0,0.20,none,230,0.868921
Base5,W0,0.20,none,240,0.868921
Base5,W0,0.20,none,250,0.926055
Base5,W0,0.20,SMA20_1.00,0,1.000000
Base5,W0,0.20,SMA20_1.00,10,0.865013
Base5,W0,0.20,SMA20_1.00,20,0.865013
Base5,W0,0.20,SMA20_1.00,30,0.865013
Base5,W0,0.20,SMA20_1.00,40,0.865013
Base5,W0,0.20,SMA20_1.00,50,0.832210
Base5,W0,0.20,SMA20_1.00,60,0.832210
Base5,W0,0.20,SMA20_1.00,70,0.832210
Base5,W0,0.20,SMA20_1.00,80,0.832210
Base5,W0,0.20,SMA20_1.00,90,0.715147
Base5,W0,0.20,SMA20_1.00,100,0.715147
Base5,W0,0.20,SMA20_1.00,110,0.859024
Base5,W0,0.20,SMA20_1.00,120,0.859024
Base5,W0,0.20,SMA20_1.00,130,0.714038
Base5,W0,0.20,SMA20_1.00,140,0.744611
Base5,W0,0.20,SMA20_1.00,150,0.744611
Base5,W0,0.20,SMA20_1.00,160,0.744611
Base5,W0,0.20,SMA20_1.00,170,0.744611
Base5,W0,0.20,SMA20_1.00,180,0.857549
Base5,W0,0.20,SMA20_1.00,190,0.850056
Base5,W0,0.20,SMA20_1.00,200,0.806350
Base5,W0,0.20,SMA20_1.00,210,0.963823
Base5,W0,0.20,SMA20_1.00,220,0.963823
Base5,W0,0.20,SMA20_1.00,230,0.963823
Base5,W0,0.20,SMA20_1.00,240,0.963823
Base5,W0,0.20,SMA20_1.00,250,1.027197
Base5,W0,0.20,SMA20_1.25,0,1.000000
Base5,W0,0.20,SMA20_1.25,10,0.865013
Base5,W0,0.20,SMA20_1.25,20,0.865013
Base5,W0,0.20,SMA20_1.25,30,0.865013
Base5,W0,0.20,SMA20_1.25,40,0.865013
Base5,W0,0.20,SMA20_1.25,50,0.832210
Base5,W0,0.20,SMA20_1.25,60,0.832210
Base5,W0,0.20,SMA20_1.25,70,0.832210
Base5,W0,0.20,SMA20_1.25,80,0.832210
Base5,W0,0.20,SMA20_1.25,90,0.715147
Base5,W0,0.20,SMA20_1.25,100,0.715147
Base5,W0,0.20,SMA20_1.25,110,0.694320
Base5,W0,0.20,SMA20_1.25,120,0.694320
Base5,W0,0.20,SMA20_1.25,130,0.658553
Base5,W0,0.20,SMA20_1.25,140,0.686750
Base5,W0,0.20,SMA20_1.25,150,0.686750
Base5,W0,0.20,SMA20_1.25,160,0.686750
Base5,W0,0.20,SMA20_1.25,170,0.686750
Base5,W0,0.20,SMA20_1.25,180,0.686750
Base5,W0,0.20,SMA20_1.25,190,0.680750
Base5,W0,0.20,SMA20_1.25,200,0.645749
Base5,W0,0.20,SMA20_1.25,210,0.771858
Base5,W0,0.20,SMA20_1.25,220,0.771858
Base5,W0,0.20,SMA20_1.25,230,0.771858
Base5,W0,0.20,SMA20_1.25,240,0.771858
Base5,W0,0.20,SMA20_1.25,250,0.822610
Base5,W0,0.20,SMA10_1.00,0,1.000000
Base5,W0,0.20,SMA10_1.00,10,0.865013
Base5,W0,0.20,SMA10_1.00,20,0.865013
Base5,W0,0.20,SMA10_1.00,30,0.865013
Base5,W0,0.20,SMA10_1.00,40,0.865013
Base5,W0,0.20,SMA10_1.00,50,0.832210
Base5,W0,0.20,SMA10_1.00,60,0.832210
Base5,W0,0.20,SMA10_1.00,70,0.832210
Base5,W0,0.20,SMA10_1.00,80,0.832210
Base5,W0,0.20,SMA10_1.00,90,0.715147
Base5,W0,0.20,SMA10_1.00,100,0.715147
Base5,W0,0.20,SMA10_1.00,110,0.859024
Base5,W0,0.20,SMA10_1.00,120,0.859024
Base5,W0,0.20,SMA10_1.00,130,0.814773
Base5,W0,0.20,SMA10_1.00,140,0.849659
Base5,W0,0.20,SMA10_1.00,150,0.849659
Base5,W0,0.20,SMA10_1.00,160,0.849659
Base5,W0,0.20,SMA10_1.00,170,0.849659
Base5,W0,0.20,SMA10_1.00,180,0.975879
Base5,W0,0.20,SMA10_1.00,190,0.967352
Base5,W0,0.20,SMA10_1.00,200,0.917615
Base5,W0,0.20,SMA10_1.00,210,1.096818
Base5,W0,0.20,SMA10_1.00,220,1.096818
Base5,W0,0.20,SMA10_1.00,230,1.096818
Base5,W0,0.20,SMA10_1.00,240,1.096818
Base5,W0,0.20,SMA10_1.00,250,1.168936
Base5,W0,0.30,none,0,1.000000
Base5,W0,0.30,none,10,0.892262
Base5,W0,0.30,none,20,0.746620
Base5,W0,0.30,none,30,0.746620
Base5,W0,0.30,none,40,0.746620
Base5,W0,0.30,none,50,0.718307
Base5,W0,0.30,none,60,0.718307
Base5,W0,0.30,none,70,0.718307
Base5,W0,0.30,none,80,0.718307
Base5,W0,0.30,none,90,0.617267
Base5,W0,0.30,none,100,0.617267
Base5,W0,0.30,none,110,0.741452
Base5,W0,0.30,none,120,1.048219
Base5,W0,0.30,none,130,0.871301
Base5,W0,0.30,none,140,0.908607
Base5,W0,0.30,none,150,0.908607
Base5,W0,0.30,none,160,0.891390
Base5,W0,0.30,none,170,0.891390
Base5,W0,0.30,none,180,1.001497
Base5,W0,0.30,none,190,0.992746
Base5,W0,0.30,none,200,0.941704
Base5,W0,0.30,none,210,0.836679
Base5,W0,0.30,none,220,0.836679
Base5,W0,0.30,none,230,0.800341
Base5,W0,0.30,none,240,0.800341
Base5,W0,0.30,none,250,0.852966
Base5,W0,0.30,SMA20_1.00,0,1.000000
Base5,W0,0.30,SMA20_1.00,10,0.892262
Base5,W0,0.30,SMA20_1.00,20,0.892262
Base5,W0,0.30,SMA20_1.00,30,0.892262
Base5,W0,0.30,SMA20_1.00,40,0.892262
Base5,W0,0.30,SMA20_1.00,50,0.858426
Base5,W0,0.30,SMA20_1.00,60,0.858426
Base5,W0,0.30,SMA20_1.00,70,0.858426
Base5,W0,0.30,SMA20_1.00,80,0.858426
Base5,W0,0.30,SMA20_1.00,90,0.737675
Base5,W0,0.30,SMA20_1.00,100,0.737675
Base5,W0,0.30,SMA20_1.00,110,0.886085
Base5,W0,0.30,SMA20_1.00,120,0.886085
Base5,W0,0.30,SMA20_1.00,130,0.736531
Base5,W0,0.30,SMA20_1.00,140,0.768067
Base5,W0,0.30,SMA20_1.00,150,0.768067
Base5,W0,0.30,SMA20_1.00,160,0.768067
Base5,W0,0.30,SMA20_1.00,170,0.768067
Base5,W0,0.30,SMA20_1.00,180,0.882166
Base5,W0,0.30,SMA20_1.00,190,0.874458
Base5,W0,0.30,SMA20_1.00,200,0.829498
Base5,W0,0.30,SMA20_1.00,210,0.829498
Base5,W0,0.30,SMA20_1.00,220,0.829498
Base5,W0,0.30,SMA20_1.00,230,0.829498
Base5,W0,0.30,SMA20_1.00,240,0.829498
Base5,W0,0.30,SMA20_1.00,250,0.884039
Base5,W0,0.30,SMA20_1.25,0,1.000000
Base5,W0,0.30,SMA20_1.25,10,0.892262
Base5,W0,0.30,SMA20_1.25,20,0.892262
Base5,W0,0.30,SMA20_1.25,30,0.892262
Base5,W0,0.30,SMA20_1.25,40,0.892262
Base5,W0,0.30,SMA20_1.25,50,0.858426
Base5,W0,0.30,SMA20_1.25,60,0.858426
Base5,W0,0.30,SMA20_1.25,70,0.858426
Base5,W0,0.30,SMA20_1.25,80,0.858426
Base5,W0,0.30,SMA20_1.25,90,0.737675
Base5,W0,0.30,SMA20_1.25,100,0.737675
Base5,W0,0.30,SMA20_1.25,110,0.716192
Base5,W0,0.30,SMA20_1.25,120,0.716192
Base5,W0,0.30,SMA20_1.25,130,0.679299
Base5,W0,0.30,SMA20_1.25,140,0.708384
Base5,W0,0.30,SMA20_1.25,150,0.708384
Base5,W0,0.30,SMA20_1.25,160,0.708384
Base5,W0,0.30,SMA20_1.25,170,0.708384
Base5,W0,0.30,SMA20_1.25,180,0.708384
Base5,W0,0.30,SMA20_1.25,190,0.702195
Base5,W0,0.30,SMA20_1.25,200,0.666091
Base5,W0,0.30,SMA20_1.25,210,0.666091
Base5,W0,0.30,SMA20_1.25,220,0.666091
Base5,W0,0.30,SMA20_1.25,230,0.666091
Base5,W0,0.30,SMA20_1.25,240,0.666091
Base5,W0,0.30,SMA20_1.25,250,0.709889
Base5,W0,0.30,SMA10_1.00,0,1.000000
Base5,W0,0.30,SMA10_1.00,10,0.892262
Base5,W0,0.30,SMA10_1.00,20,0.892262
Base5,W0,0.30,SMA10_1.00,30,0.892262
Base5,W0,0.30,SMA10_1.00,40,0.892262
Base5,W0,0.30,SMA10_1.00,50,0.858426
Base5,W0,0.30,SMA10_1.00,60,0.858426
Base5,W0,0.30,SMA10_1.00,70,0.858426
Base5,W0,0.30,SMA10_1.00,80,0.858426
Base5,W0,0.30,SMA10_1.00,90,0.737675
Base5,W0,0.30,SMA10_1.00,100,0.737675
Base5,W0,0.30,SMA10_1.00,110,0.886085
Base5,W0,0.30,SMA10_1.00,120,0.886085
Base5,W0,0.30,SMA10_1.00,130,0.840440
Base5,W0,0.30,SMA10_1.00,140,0.876425
