atr_ema,avg_ret_pct,avg_sharpe,pass_count,total_count,pass_pct,worst_dd_pct,total_trades
3,143.0260809646253,8.441792294168051,48,54,88.88888888888889,49.849549797978334,576
4,142.80934130723205,8.421421422090484,48,54,88.88888888888889,49.849549797978334,576
5,142.80934130723205,8.421421422090484,48,54,88.88888888888889,49.849549797978334,576
2,142.9786331912244,8.415439624545831,48,54,88.88888888888889,49.849549797978334,576
1,142.9786331912244,8.415439624545831,48,54,88.88888888888889,49.849549797978334,576
6,141.48387317091104,8.202920001852313,48,54,88.88888888888889,49.849549797978334,579
7,142.0437468505808,8.17664929385235,48,54,88.88888888888889,49.849549797978334,579
10,140.08377774648545,8.15766320101051,48,54,88.88888888888889,49.849549797978334,587
8,137.1612550010996,8.1038153333643,48,54,88.88888888888889,49.849549797978334,583
9,138.41076495286538,8.066305130496938,48,54,88.88888888888889,49.849549797978334,583
12,137.2595061755015,7.946290110173662,48,54,88.88888888888889,49.849549797978334,591
11,137.2595061755015,7.946290110173662,48,54,88.88888888888889,49.849549797978334,591
13,139.43741170556794,7.903336871881122,48,54,88.88888888888889,49.849549797978334,591
26,108.79655267545412,6.006264959927905,48,54,88.88888888888889,49.849549797978334,633
17,107.19198975650997,5.9862048114736774,47,54,87.03703703703704,49.849549797978334,619
22,108.83936753803152,5.975286077988508,48,54,88.88888888888889,49.849549797978334,629
14,101.54418880038038,5.9437124785902675,47,54,87.03703703703704,49.849549797978334,615
16,102.91962557520854,5.938392567927978,47,54,87.03703703703704,49.849549797978334,616
25,106.38819330734916,5.936092850659202,48,54,88.88888888888889,49.849549797978334,633
24,106.38819330734916,5.936092850659202,48,54,88.88888888888889,49.849549797978334,633
23,106.04098704474005,5.927940146887685,48,54,88.88888888888889,49.849549797978334,633
20,106.97501849892694,5.9125327922300315,47,54,87.03703703703704,49.849549797978334,623
21,106.97501849892694,5.9125327922300315,47,54,87.03703703703704,49.849549797978334,623
15,101.14212612798048,5.907752654411974,47,54,87.03703703703704,49.849549797978334,616
19,102.58141812847367,5.895653256385567,47,54,87.03703703703704,49.849549797978334,623
18,102.58141812847367,5.895653256385567,47,54,87.03703703703704,49.849549797978334,623
28,104.36483656750876,5.871112278243955,48,54,88.88888888888889,49.849549797978334,637
27,104.36483656750876,5.871112278243955,48,54,88.88888888888889,49.849549797978334,637
29,104.36483656750876,5.871112278243955,48,54,88.88888888888889,49.849549797978334,637
30,102.53237639604689,5.778621876152623,48,54,88.88888888888889,49.849549797978334,643
