hedge_atr_period,pass_count,total_windows,pass_rate_pct,avg_sharpe,avg_return_pct,avg_max_dd_pct,total_trades,win_rate_pct
5,48,60,80.0000,1.212166,18.5628,12.2886,3118,49.2303
6,49,60,81.6667,1.314398,20.6365,11.5424,3118,49.2303
7,49,60,81.6667,1.364934,21.3287,11.6285,3118,49.2303
8,49,60,81.6667,1.346604,20.6987,11.7751,3118,49.2303
9,48,60,80.0000,1.329031,19.4992,11.7080,3118,49.2303
10,45,60,75.0000,1.299519,19.6774,11.4125,3118,49.2303
11,42,60,70.0000,1.225580,18.4736,11.4857,3118,49.2303
12,44,60,73.3333,1.309954,19.7269,11.5167,3118,49.2303
13,43,60,71.6667,1.242751,19.0375,11.5504,3118,49.2303
14,43,60,71.6667,1.290683,20.0824,11.3244,3118,49.2303
15,43,60,71.6667,1.214119,18.5574,11.3655,3118,49.2303
16,45,60,75.0000,1.281189,20.2510,11.7741,3118,49.2303
17,45,60,75.0000,1.294225,20.2990,11.7374,3118,49.2303
18,45,60,75.0000,1.261417,19.7443,11.8350,3118,49.2303
19,46,60,76.6667,1.351030,21.3289,11.6085,3118,49.2303
20,45,60,75.0000,1.306162,20.9029,11.7392,3118,49.2303
21,47,60,78.3333,1.293944,20.5405,11.8654,3118,49.2303
22,44,60,73.3333,1.229824,19.2406,12.0509,3118,49.2303
23,44,60,73.3333,1.234816,19.3434,11.9621,3118,49.2303
24,47,60,78.3333,1.286546,19.9279,12.0602,3118,49.2303
25,47,60,78.3333,1.301285,20.0502,12.0651,3118,49.2303
26,44,60,73.3333,1.245736,19.6310,11.9758,3118,49.2303
27,42,60,70.0000,1.215328,19.5122,11.9901,3118,49.2303
28,42,60,70.0000,1.234920,19.8067,12.1001,3118,49.2303
29,41,60,68.3333,1.201121,19.1802,12.4542,3118,49.2303
30,44,60,73.3333,1.279866,19.9774,12.0132,3118,49.2303
31,45,60,75.0000,1.277907,19.7202,12.0503,3118,49.2303
32,44,60,73.3333,1.276272,20.0223,12.0743,3118,49.2303
33,45,60,75.0000,1.282111,20.0407,11.9129,3118,49.2303
34,48,60,80.0000,1.335427,20.7735,11.7663,3118,49.2303
35,49,60,81.6667,1.350791,20.7474,11.6759,3118,49.2303
36,49,60,81.6667,1.324069,20.3788,11.8454,3118,49.2303
37,50,60,83.3333,1.402151,21.5214,11.6889,3118,49.2303
38,50,60,83.3333,1.432316,22.1181,11.5120,3118,49.2303
39,50,60,83.3333,1.405347,21.7476,11.6679,3118,49.2303
40,50,60,83.3333,1.384871,21.6915,11.6541,3118,49.2303
41,47,60,78.3333,1.356066,21.1778,11.7700,3118,49.2303
42,48,60,80.0000,1.320054,21.1277,11.7972,3118,49.2303
43,49,60,81.6667,1.367858,21.6374,11.7984,3118,49.2303
44,48,60,80.0000,1.372068,21.6226,11.8431,3118,49.2303
45,50,60,83.3333,1.378862,21.7572,11.6862,3118,49.2303
46,49,60,81.6667,1.365278,21.6147,11.7765,3118,49.2303
47,49,60,81.6667,1.376863,21.6673,11.7483,3118,49.2303
48,48,60,80.0000,1.400224,22.1655,11.6963,3118,49.2303
49,49,60,81.6667,1.413665,22.4085,11.6271,3118,49.2303
50,49,60,81.6667,1.402780,22.4852,11.7205,3118,49.2303
51,49,60,81.6667,1.411502,22.3716,11.6254,3118,49.2303
52,48,60,80.0000,1.362086,21.5587,11.5262,3118,49.2303
53,48,60,80.0000,1.379198,22.0165,11.3816,3118,49.2303
54,45,60,75.0000,1.277505,21.1047,11.5029,3118,49.2303
55,44,60,73.3333,1.264330,20.6923,11.4863,3118,49.2303
56,44,60,73.3333,1.279553,20.9137,11.5324,3118,49.2303
57,46,60,76.6667,1.321856,21.1414,11.7559,3118,49.2303
58,45,60,75.0000,1.283396,20.8018,11.7559,3118,49.2303
59,45,60,75.0000,1.295821,21.1635,11.6092,3118,49.2303
60,45,60,75.0000,1.297480,21.1890,11.5372,3118,49.2303
61,45,60,75.0000,1.274303,20.7797,11.4219,3118,49.2303
62,45,60,75.0000,1.314474,21.1264,11.3630,3118,49.2303
63,45,60,75.0000,1.282326,20.7262,11.5457,3118,49.2303
64,45,60,75.0000,1.304972,20.9152,11.4255,3118,49.2303
65,45,60,75.0000,1.305848,20.7558,11.4207,3118,49.2303
66,45,60,75.0000,1.283097,20.4660,11.4975,3118,49.2303
67,43,60,71.6667,1.201823,18.7264,11.5726,3118,49.2303
68,43,60,71.6667,1.201823,18.7264,11.5726,3118,49.2303
69,43,60,71.6667,1.188104,18.5841,11.6785,3118,49.2303
70,42,60,70.0000,1.195662,18.3624,11.7118,3118,49.2303
71,43,60,71.6667,1.207532,18.6192,11.7305,3118,49.2303
72,43,60,71.6667,1.227708,18.9414,11.6357,3118,49.2303
73,43,60,71.6667,1.198289,18.4524,11.7309,3118,49.2303
74,43,60,71.6667,1.189915,18.1871,11.5721,3118,49.2303
75,42,60,70.0000,1.195130,18.1580,11.6832,3118,49.2303
76,42,60,70.0000,1.174669,17.6625,11.5838,3118,49.2303
77,45,60,75.0000,1.238218,18.4030,11.4705,3118,49.2303
78,43,60,71.6667,1.222872,18.1965,11.5341,3118,49.2303
79,42,60,70.0000,1.195516,17.7554,11.6202,3118,49.2303
80,42,60,70.0000,1.200280,17.7895,11.6202,3118,49.2303
81,43,60,71.6667,1.194093,17.5151,11.6607,3118,49.2303
82,42,60,70.0000,1.171916,16.8395,11.6607,3118,49.2303
83,42,60,70.0000,1.171916,16.8395,11.6607,3118,49.2303
84,42,60,70.0000,1.168046,16.7316,11.6712,3118,49.2303
85,43,60,71.6667,1.216289,17.2468,11.6250,3118,49.2303
86,41,60,68.3333,1.190868,16.8963,11.6707,3118,49.2303
87,43,60,71.6667,1.215895,17.1649,11.6337,3118,49.2303
88,42,60,70.0000,1.203119,16.9865,11.6341,3118,49.2303
89,43,60,71.6667,1.212933,16.9825,11.6301,3118,49.2303
90,42,60,70.0000,1.202496,16.9133,11.6237,3118,49.2303
91,42,60,70.0000,1.210473,16.9972,11.5705,3118,49.2303
92,42,60,70.0000,1.189395,16.5163,11.5705,3118,49.2303
93,44,60,73.3333,1.200075,16.8844,11.6339,3118,49.2303
94,44,60,73.3333,1.200075,16.8844,11.6339,3118,49.2303
95,44,60,73.3333,1.183345,16.7541,11.8111,3118,49.2303
96,44,60,73.3333,1.123173,15.3561,11.8111,3118,49.2303
97,45,60,75.0000,1.166273,16.0943,11.7624,3118,49.2303
98,45,60,75.0000,1.175520,16.1419,11.7274,3118,49.2303
99,45,60,75.0000,1.175788,16.0902,11.7658,3118,49.2303
100,45,60,75.0000,1.199690,16.2125,11.6324,3118,49.2303
