symbol,year,entry_bar,exit_bar,entry_px,exit_px,ret_pct,bars_held,exit_reason
BTCUSDT,2022,1634,1645,42380.87,40515.7,-4.400971476045701,11,chandelier
ETHUSDT,2022,1678,1693,2969.64,3168.51,6.6967713258172745,15,chandelier
DOGEUSDT,2024,1698,1700,0.09758,0.11732,20.229555236728824,2,chandelier
DOGEUSDT,2024,1701,1705,0.13934,0.15304,9.832065451413818,4,chandelier
SOLUSDT,2025,1710,1739,134.83,167.4,24.15634502707111,29,chandelier
BTCUSDT,2022,1747,1758,31734.22,29091.88,-8.32646902933175,11,chandelier
XRPUSDT,2023,1782,1783,0.4696,0.4213,-10.285349233390118,1,chandelier
BTCUSDT,2022,1785,1789,21624.98,19963.61,-7.6826429434847965,4,turtle_atr
XRPUSDT,2023,1790,1811,0.5425,0.4911,-9.474654377880187,21,chandelier
ETHUSDT,2022,1814,1828,1736.81,1609.01,-7.3583178355721035,14,chandelier
SOLUSDT,2025,1838,1840,204.14,187.2,-8.29822670716175,2,chandelier
SOLUSDT,2025,1843,1868,214.43,220.38,2.774798302476311,25,chandelier
BTCUSDT,2022,1874,1889,20337.82,19123.97,-5.968437128463123,15,turtle_atr
ETHUSDT,2022,1893,1903,1364.2,1518.34,11.29892977569269,10,chandelier
BTCUSDT,2022,1905,1909,21148.52,18547.23,-12.300104215330443,4,chandelier
ETHUSDT,2022,1933,1947,1295.59,1166.83,-9.93832925539715,14,chandelier
DOGEUSDT,2024,1951,1957,0.19646,0.37985,93.34724625878043,6,chandelier
DOGEUSDT,2024,1958,1970,0.39903,0.39264,-1.6013833546349887,12,chandelier
BTCUSDT,2023,1971,1980,17178.26,20677.47,20.369990907111692,9,chandelier
SOLUSDT,2026,1981,1987,145.51,133.44,-8.294962545529517,6,chandelier
BTCUSDT,2023,1989,2002,23074.16,21796.35,-5.537839730677097,13,chandelier
XRPUSDT,2023,2007,2015,0.6085,0.6665,9.531635168446995,8,chandelier
DOGEUSDT,2025,2023,2025,0.41525,0.3584,-13.690547862733293,2,chandelier
SOLUSDT,2026,2031,2049,90.85,86.2,-5.11832691249311,18,chandelier
BTCUSDT,2023,2050,2071,28348.6,28797.1,1.5820887098481062,21,chandelier
