window,don_pass,don_sharpe,don_return,don_dd,don_trades,don_wr,tur_pass,tur_sharpe,tur_return,tur_dd,tur_trades
0,true,9.199407435026759,214.0121863414441,49.45428360951816,12,58.333333333333336,true,9.479158169807832,379.5913488069685,54.59606568662323,14
1,true,7.903438557132903,367.376561733082,9.477476139191152,9,55.55555555555556,true,7.3288198208344895,925.6927090992175,11.731716087901361,11
2,true,15.946381111319448,237.23922232541565,9.668071870011866,11,72.72727272727273,true,7.560992111317469,213.44528919733494,25.048982972104955,12
3,true,9.4065416658173,222.01352281186328,36.714678071079874,13,69.23076923076923,true,7.446176970832462,117.54642350676403,31.908167495854055,14
4,true,15.746860863044704,156.8516642091096,9.335531544596645,11,72.72727272727273,true,1.3314354039532064,3.371458854501874,29.614403407990537,13
5,false,0.5107058497353947,-5.855561001572484,33.07650967132924,10,30,true,1.4873775437710008,3.1592075482399506,27.097578323832554,13
6,true,7.132921939304731,95.00413718330138,12.550245645377398,10,40,true,4.541260123682611,58.14342480195249,34.60154465324106,14
