em,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
0.01,LargeCaps5,4,20.1683,3.1545,23.49,12,58.33,true
0.01,LargeCaps5,5,3.1592,1.4874,27.10,13,38.46,true
0.01,Legacy3,0,298.3227,14.6048,9.04,13,69.23,true
0.01,Legacy3,1,1.1921,1.4398,29.93,13,46.15,true
0.01,Legacy3,2,68.2893,3.8552,29.00,15,33.33,true
0.01,Legacy3,3,93.1903,5.8778,44.33,15,46.67,true
0.01,Legacy3,4,-46.4541,-5.0444,49.53,12,25.00,false
0.01,Legacy3,5,-52.8482,-4.8005,58.45,16,25.00,false
0.01,LowVolume5,0,206.8880,8.2933,24.37,16,56.25,true
0.01,LowVolume5,1,-8.6510,0.1881,39.97,14,50.00,false
0.01,LowVolume5,2,464.1513,10.7860,31.65,15,60.00,true
0.01,LowVolume5,3,454.9133,9.6579,45.78,14,50.00,true
0.01,LowVolume5,4,-48.5591,-4.5931,49.42,13,30.77,false
0.01,LowVolume5,5,-71.3560,-6.4573,79.33,18,22.22,false
0.01,OldGuard4,0,167.7465,7.2335,35.13,15,53.33,true
0.01,OldGuard4,1,-17.4653,-0.9115,35.19,12,50.00,false
0.01,OldGuard4,2,73.1319,3.9605,28.85,15,40.00,true
0.01,OldGuard4,3,93.1903,5.8778,44.33,15,46.67,true
0.01,OldGuard4,4,-53.0784,-6.1421,53.08,13,15.38,false
0.01,OldGuard4,5,-72.9311,-9.9236,76.15,17,23.53,false
0.02,Base5,0,379.5913,9.4792,54.60,14,57.14,true
0.02,Base5,1,925.6927,7.3288,11.73,11,63.64,true
0.02,Base5,2,213.4453,7.5610,25.05,12,75.00,true
0.02,Base5,3,68.7150,5.2642,40.25,15,66.67,true
0.02,Base5,4,3.8363,1.4052,29.61,13,53.85,true
0.02,Base5,5,5.5253,1.8275,25.43,12,41.67,true
0.02,NoDOGE,0,379.5913,9.4792,54.60,14,57.14,true
0.02,NoDOGE,1,-18.2889,-3.8160,26.61,9,44.44,false
0.02,NoDOGE,2,142.8462,5.8302,25.05,13,53.85,true
0.02,NoDOGE,3,185.3008,9.4825,31.91,14,78.57,true
0.02,NoDOGE,4,3.8363,1.4052,29.61,13,53.85,true
0.02,NoDOGE,5,5.5253,1.8275,25.43,12,41.67,true
0.02,Legacy4,0,129.0441,9.7389,10.77,14,57.14,true
0.02,Legacy4,1,18.6460,2.9607,27.97,13,46.15,true
0.02,Legacy4,2,133.1082,5.6641,25.05,12,50.00,true
0.02,Legacy4,3,74.5326,5.8099,42.16,14,57.14,true
0.02,Legacy4,4,32.0975,4.1891,27.05,12,58.33,true
0.02,Legacy4,5,-30.1734,-2.9596,33.84,13,23.08,false
0.02,Legacy5BNB,0,245.7301,13.0194,10.53,14,64.29,true
0.02,Legacy5BNB,1,18.6499,3.3978,22.71,11,36.36,true
0.02,Legacy5BNB,2,133.1082,5.6641,25.05,12,50.00,true
0.02,Legacy5BNB,3,154.1722,10.4739,17.58,13,61.54,true
0.02,Legacy5BNB,4,50.7924,6.5770,16.23,10,60.00,true
0.02,Legacy5BNB,5,-56.0780,-9.8388,56.67,11,27.27,false
0.02,OldGuardNoBNB,0,238.1288,8.3334,39.12,15,53.33,true
0.02,OldGuardNoBNB,1,-56.9111,-10.2018,57.66,13,30.77,false
0.02,OldGuardNoBNB,2,133.1082,5.6641,25.05,12,50.00,true
0.02,OldGuardNoBNB,3,74.5326,5.8099,42.16,14,57.14,true
0.02,OldGuardNoBNB,4,32.0975,4.1891,27.05,12,58.33,true
0.02,OldGuardNoBNB,5,-59.9140,-10.3681,59.91,14,21.43,false
0.02,LargeCaps5,0,379.5913,9.4792,54.60,14,57.14,true
0.02,LargeCaps5,1,-18.2889,-3.8160,26.61,9,44.44,false
0.02,LargeCaps5,2,142.8462,5.8302,25.05,13,53.85,true
0.02,LargeCaps5,3,72.2119,5.6281,39.57,13,69.23,true
0.02,LargeCaps5,4,16.1687,2.7522,23.49,12,58.33,true
0.02,LargeCaps5,5,5.5253,1.8275,25.43,12,41.67,true
0.02,Legacy3,0,298.3227,14.6048,9.04,13,69.23,true
0.02,Legacy3,1,1.1921,1.4398,29.93,13,46.15,true
0.02,Legacy3,2,68.2893,3.8552,29.00,15,33.33,true
0.02,Legacy3,3,93.1903,5.8778,44.33,15,46.67,true
0.02,Legacy3,4,-48.2363,-5.3729,51.21,12,25.00,false
0.02,Legacy3,5,-52.8482,-4.8005,58.45,16,25.00,false
0.02,LowVolume5,0,206.8880,8.2933,24.37,16,56.25,true
0.02,LowVolume5,1,-8.6510,0.1881,39.97,14,50.00,false
0.02,LowVolume5,2,464.1513,10.7860,31.65,15,60.00,true
0.02,LowVolume5,3,454.9133,9.6579,45.78,14,50.00,true
0.02,LowVolume5,4,-48.5591,-4.5931,49.42,13,30.77,false
0.02,LowVolume5,5,-71.3560,-6.4573,79.33,18,22.22,false
0.02,OldGuard4,0,167.7465,7.2335,35.13,15,53.33,true
0.02,OldGuard4,1,-17.4653,-0.9115,35.19,12,50.00,false
0.02,OldGuard4,2,73.1319,3.9605,28.85,15,40.00,true
0.02,OldGuard4,3,93.1903,5.8778,44.33,15,46.67,true
0.02,OldGuard4,4,-54.6401,-6.4673,54.64,13,15.38,false
0.02,OldGuard4,5,-72.9311,-9.9236,76.15,17,23.53,false
0.03,Base5,0,379.5913,9.4792,54.60,14,57.14,true
0.03,Base5,1,925.6927,7.3288,11.73,11,63.64,true
0.03,Base5,2,213.4453,7.5610,25.05,12,75.00,true
0.03,Base5,3,46.4878,4.3346,47.43,15,60.00,true
0.03,Base5,4,3.8363,1.4052,29.61,13,53.85,true
0.03,Base5,5,5.5253,1.8275,25.43,12,41.67,true
0.03,NoDOGE,0,379.5913,9.4792,54.60,14,57.14,true
0.03,NoDOGE,1,-18.2889,-3.8160,26.61,9,44.44,false
0.03,NoDOGE,2,142.8462,5.8302,25.05,13,53.85,true
0.03,NoDOGE,3,147.7141,8.2516,31.91,14,71.43,true
0.03,NoDOGE,4,3.8363,1.4052,29.61,13,53.85,true
0.03,NoDOGE,5,5.5253,1.8275,25.43,12,41.67,true
0.03,Legacy4,0,129.0441,9.7389,10.77,14,57.14,true
0.03,Legacy4,1,18.6460,2.9607,27.97,13,46.15,true
0.03,Legacy4,2,133.1082,5.6641,25.05,12,50.00,true
0.03,Legacy4,3,74.5326,5.8099,42.16,14,57.14,true
0.03,Legacy4,4,32.0975,4.1891,27.05,12,58.33,true
0.03,Legacy4,5,-30.1734,-2.9596,33.84,13,23.08,false
0.03,Legacy5BNB,0,245.7301,13.0194,10.53,14,64.29,true
0.03,Legacy5BNB,1,18.6499,3.3978,22.71,11,36.36,true
0.03,Legacy5BNB,2,133.1082,5.6641,25.05,12,50.00,true
0.03,Legacy5BNB,3,154.1722,10.4739,17.58,13,61.54,true
0.03,Legacy5BNB,4,50.7924,6.5770,16.23,10,60.00,true
0.03,Legacy5BNB,5,-56.0780,-9.8388,56.67,11,27.27,false
0.03,OldGuardNoBNB,0,238.1288,8.3334,39.12,15,53.33,true
0.03,OldGuardNoBNB,1,-56.9111,-10.2018,57.66,13,30.77,false
0.03,OldGuardNoBNB,2,133.1082,5.6641,25.05,12,50.00,true
0.03,OldGuardNoBNB,3,74.5326,5.8099,42.16,14,57.14,true
0.03,OldGuardNoBNB,4,32.0975,4.1891,27.05,12,58.33,true
0.03,OldGuardNoBNB,5,-59.9140,-10.3681,59.91,14,21.43,false
0.03,LargeCaps5,0,379.5913,9.4792,54.60,14,57.14,true
0.03,LargeCaps5,1,-18.2889,-3.8160,26.61,9,44.44,false
0.03,LargeCaps5,2,142.8462,5.8302,25.05,13,53.85,true
0.03,LargeCaps5,3,72.2119,5.6281,39.57,13,69.23,true
0.03,LargeCaps5,4,16.1687,2.7522,23.49,12,58.33,true
0.03,LargeCaps5,5,5.5253,1.8275,25.43,12,41.67,true
0.03,Legacy3,0,298.3227,14.6048,9.04,13,69.23,true
0.03,Legacy3,1,1.1921,1.4398,29.93,13,46.15,true
0.03,Legacy3,2,68.2893,3.8552,29.00,15,33.33,true
0.03,Legacy3,3,93.1903,5.8778,44.33,15,46.67,true
0.03,Legacy3,4,-48.2363,-5.3729,51.21,12,25.00,false
0.03,Legacy3,5,-52.8482,-4.8005,58.45,16,25.00,false
0.03,LowVolume5,0,179.5747,7.0783,24.37,16,56.25,true
0.03,LowVolume5,1,-8.6510,0.1881,39.97,14,50.00,false
0.03,LowVolume5,2,464.1513,10.7860,31.65,15,60.00,true
0.03,LowVolume5,3,349.9803,8.8470,45.78,14,50.00,true
0.03,LowVolume5,4,-48.5591,-4.5931,49.42,13,30.77,false
0.03,LowVolume5,5,-70.2550,-6.4730,79.33,17,23.53,false
0.03,OldGuard4,0,167.7465,7.2335,35.13,15,53.33,true
0.03,OldGuard4,1,-17.4653,-0.9115,35.19,12,50.00,false
0.03,OldGuard4,2,73.1319,3.9605,28.85,15,40.00,true
0.03,OldGuard4,3,93.1903,5.8778,44.33,15,46.67,true
0.03,OldGuard4,4,-54.6401,-6.4673,54.64,13,15.38,false
0.03,OldGuard4,5,-72.9311,-9.9236,76.15,17,23.53,false
0.04,Base5,0,379.5913,9.4792,54.60,14,57.14,true
0.04,Base5,1,925.6927,7.3288,11.73,11,63.64,true
0.04,Base5,2,228.0940,7.8437,25.05,12,75.00,true
0.04,Base5,3,46.4878,4.3346,47.43,15,60.00,true
0.04,Base5,4,79.3192,8.2089,14.84,12,66.67,true
0.04,Base5,5,5.5253,1.8275,25.43,12,41.67,true
0.04,NoDOGE,0,379.5913,9.4792,54.60,14,57.14,true
0.04,NoDOGE,1,-18.2889,-3.8160,26.61,9,44.44,false
0.04,NoDOGE,2,142.8462,5.8302,25.05,13,53.85,true
0.04,NoDOGE,3,147.7141,8.2516,31.91,14,71.43,true
0.04,NoDOGE,4,79.3192,8.2089,14.84,12,66.67,true
0.04,NoDOGE,5,5.5253,1.8275,25.43,12,41.67,true
0.04,Legacy4,0,129.0441,9.7389,10.77,14,57.14,true
0.04,Legacy4,1,18.6460,2.9607,27.97,13,46.15,true
0.04,Legacy4,2,133.1082,5.6641,25.05,12,50.00,true
0.04,Legacy4,3,74.5326,5.8099,42.16,14,57.14,true
0.04,Legacy4,4,32.0975,4.1891,27.05,12,58.33,true
0.04,Legacy4,5,-30.1734,-2.9596,33.84,13,23.08,false
0.04,Legacy5BNB,0,245.7301,13.0194,10.53,14,64.29,true
0.04,Legacy5BNB,1,18.6499,3.3978,22.71,11,36.36,true
0.04,Legacy5BNB,2,133.1082,5.6641,25.05,12,50.00,true
0.04,Legacy5BNB,3,154.1722,10.4739,17.58,13,61.54,true
0.04,Legacy5BNB,4,50.7924,6.5770,16.23,10,60.00,true
0.04,Legacy5BNB,5,-56.0780,-9.8388,56.67,11,27.27,false
0.04,OldGuardNoBNB,0,238.1288,8.3334,39.12,15,53.33,true
0.04,OldGuardNoBNB,1,-56.9111,-10.2018,57.66,13,30.77,false
0.04,OldGuardNoBNB,2,133.1082,5.6641,25.05,12,50.00,true
0.04,OldGuardNoBNB,3,74.5326,5.8099,42.16,14,57.14,true
0.04,OldGuardNoBNB,4,32.0975,4.1891,27.05,12,58.33,true
0.04,OldGuardNoBNB,5,-59.9140,-10.3681,59.91,14,21.43,false
0.04,LargeCaps5,0,379.5913,9.4792,54.60,14,57.14,true
0.04,LargeCaps5,1,-18.2889,-3.8160,26.61,9,44.44,false
0.04,LargeCaps5,2,142.8462,5.8302,25.05,13,53.85,true
0.04,LargeCaps5,3,72.2119,5.6281,39.57,13,69.23,true
0.04,LargeCaps5,4,52.7421,6.0491,14.84,12,58.33,true
0.04,LargeCaps5,5,5.5253,1.8275,25.43,12,41.67,true
0.04,Legacy3,0,298.3227,14.6048,9.04,13,69.23,true
0.04,Legacy3,1,1.1921,1.4398,29.93,13,46.15,true
0.04,Legacy3,2,68.2893,3.8552,29.00,15,33.33,true
0.04,Legacy3,3,93.1903,5.8778,44.33,15,46.67,true
0.04,Legacy3,4,-48.2363,-5.3729,51.21,12,25.00,false
0.04,Legacy3,5,-52.8482,-4.8005,58.45,16,25.00,false
