em,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
0.04,LowVolume5,0,179.5747,7.0783,24.37,16,56.25,true
0.04,LowVolume5,1,-8.6510,0.1881,39.97,14,50.00,false
0.04,LowVolume5,2,464.1513,10.7860,31.65,15,60.00,true
0.04,LowVolume5,3,349.9803,8.8470,45.78,14,50.00,true
0.04,LowVolume5,4,-48.5591,-4.5931,49.42,13,30.77,false
0.04,LowVolume5,5,-71.7738,-6.7719,80.38,17,23.53,false
0.04,OldGuard4,0,167.7465,7.2335,35.13,15,53.33,true
0.04,OldGuard4,1,-17.4653,-0.9115,35.19,12,50.00,false
0.04,OldGuard4,2,73.1319,3.9605,28.85,15,40.00,true
0.04,OldGuard4,3,93.1903,5.8778,44.33,15,46.67,true
0.04,OldGuard4,4,-54.6401,-6.4673,54.64,13,15.38,false
0.04,OldGuard4,5,-72.9311,-9.9236,76.15,17,23.53,false
0.05,Base5,0,383.0829,9.5130,54.60,14,57.14,true
0.05,Base5,1,925.6927,7.3288,11.73,11,63.64,true
0.05,Base5,2,228.0940,7.8437,25.05,12,75.00,true
0.05,Base5,3,41.6629,4.1349,47.43,15,60.00,true
0.05,Base5,4,79.3192,8.2089,14.84,12,66.67,true
0.05,Base5,5,5.5253,1.8275,25.43,12,41.67,true
0.05,NoDOGE,0,383.0829,9.5130,54.60,14,57.14,true
0.05,NoDOGE,1,-21.6821,-4.2801,29.66,9,44.44,false
0.05,NoDOGE,2,142.8462,5.8302,25.05,13,53.85,true
0.05,NoDOGE,3,139.5552,8.1169,31.91,14,71.43,true
0.05,NoDOGE,4,79.3192,8.2089,14.84,12,66.67,true
0.05,NoDOGE,5,5.5253,1.8275,25.43,12,41.67,true
0.05,Legacy4,0,132.9201,9.8577,10.77,14,57.14,true
0.05,Legacy4,1,13.7190,2.6175,30.97,13,46.15,true
0.05,Legacy4,2,133.1082,5.6641,25.05,12,50.00,true
0.05,Legacy4,3,68.7840,5.6282,42.16,14,57.14,true
0.05,Legacy4,4,32.0975,4.1891,27.05,12,58.33,true
0.05,Legacy4,5,-33.4726,-3.4730,33.84,13,23.08,false
0.05,Legacy5BNB,0,245.7301,13.0194,10.53,14,64.29,true
0.05,Legacy5BNB,1,13.7227,2.9752,23.07,11,36.36,true
0.05,Legacy5BNB,2,133.1082,5.6641,25.05,12,50.00,true
0.05,Legacy5BNB,3,145.8006,10.4323,17.58,13,61.54,true
0.05,Legacy5BNB,4,50.7924,6.5770,16.23,10,60.00,true
0.05,Legacy5BNB,5,-56.0780,-9.8388,56.67,11,27.27,false
0.05,OldGuardNoBNB,0,238.1288,8.3334,39.12,15,53.33,true
0.05,OldGuardNoBNB,1,-58.7005,-10.2815,59.42,13,30.77,false
0.05,OldGuardNoBNB,2,133.1082,5.6641,25.05,12,50.00,true
0.05,OldGuardNoBNB,3,68.7840,5.6282,42.16,14,57.14,true
0.05,OldGuardNoBNB,4,32.0975,4.1891,27.05,12,58.33,true
0.05,OldGuardNoBNB,5,-54.0724,-9.4926,54.07,13,23.08,false
0.05,LargeCaps5,0,383.0829,9.5130,54.60,14,57.14,true
0.05,LargeCaps5,1,-21.6821,-4.2801,29.66,9,44.44,false
0.05,LargeCaps5,2,142.8462,5.8302,25.05,13,53.85,true
0.05,LargeCaps5,3,66.5397,5.4328,39.57,13,69.23,true
0.05,LargeCaps5,4,52.7421,6.0491,14.84,12,58.33,true
0.05,LargeCaps5,5,5.5253,1.8275,25.43,12,41.67,true
0.05,Legacy3,0,305.0633,14.7314,9.04,13,69.23,true
0.05,Legacy3,1,-13.5799,0.1043,31.45,13,38.46,false
0.05,Legacy3,2,68.2893,3.8552,29.00,15,33.33,true
0.05,Legacy3,3,93.1903,5.8778,44.33,15,46.67,true
0.05,Legacy3,4,-48.2363,-5.3729,51.21,12,25.00,false
0.05,Legacy3,5,-56.8962,-5.4967,62.02,16,25.00,false
0.05,LowVolume5,0,182.2509,7.1294,24.37,16,56.25,true
0.05,LowVolume5,1,-21.9861,-1.0940,47.74,14,42.86,false
0.05,LowVolume5,2,464.1513,10.7860,31.65,15,60.00,true
0.05,LowVolume5,3,294.9015,8.2540,45.78,14,50.00,true
0.05,LowVolume5,4,-48.5591,-4.5931,49.42,13,30.77,false
0.05,LowVolume5,5,-70.2872,-6.6827,79.35,17,23.53,false
0.05,OldGuard4,0,170.3095,7.2887,35.13,15,53.33,true
0.05,OldGuard4,1,-17.4653,-0.9115,35.19,12,50.00,false
0.05,OldGuard4,2,73.1319,3.9605,28.85,15,40.00,true
0.05,OldGuard4,3,93.1903,5.8778,44.33,15,46.67,true
0.05,OldGuard4,4,-54.6401,-6.4673,54.64,13,15.38,false
0.05,OldGuard4,5,-58.5586,-4.7698,63.58,17,29.41,false
0.06,Base5,0,383.0829,9.5130,54.60,14,57.14,true
0.06,Base5,1,925.6927,7.3288,11.73,11,63.64,true
0.06,Base5,2,228.0940,7.8437,25.05,12,75.00,true
0.06,Base5,3,41.6629,4.1349,47.43,15,60.00,true
0.06,Base5,4,79.3192,8.2089,14.84,12,66.67,true
0.06,Base5,5,5.5253,1.8275,25.43,12,41.67,true
0.06,NoDOGE,0,383.0829,9.5130,54.60,14,57.14,true
0.06,NoDOGE,1,-21.6821,-4.2801,29.66,9,44.44,false
0.06,NoDOGE,2,142.8462,5.8302,25.05,13,53.85,true
0.06,NoDOGE,3,139.5552,8.1169,31.91,14,71.43,true
0.06,NoDOGE,4,79.3192,8.2089,14.84,12,66.67,true
0.06,NoDOGE,5,5.5253,1.8275,25.43,12,41.67,true
0.06,Legacy4,0,132.9201,9.8577,10.77,14,57.14,true
0.06,Legacy4,1,13.7190,2.6175,30.97,13,46.15,true
0.06,Legacy4,2,133.1082,5.6641,25.05,12,50.00,true
0.06,Legacy4,3,66.6026,5.5095,42.91,14,57.14,true
0.06,Legacy4,4,32.0975,4.1891,27.05,12,58.33,true
0.06,Legacy4,5,-33.4726,-3.4730,33.84,13,23.08,false
0.06,Legacy5BNB,0,245.7301,13.0194,10.53,14,64.29,true
0.06,Legacy5BNB,1,13.7227,2.9752,23.07,11,36.36,true
0.06,Legacy5BNB,2,133.1082,5.6641,25.05,12,50.00,true
0.06,Legacy5BNB,3,145.8006,10.4323,17.58,13,61.54,true
0.06,Legacy5BNB,4,50.7924,6.5770,16.23,10,60.00,true
0.06,Legacy5BNB,5,-56.0780,-9.8388,56.67,11,27.27,false
0.06,OldGuardNoBNB,0,238.1288,8.3334,39.12,15,53.33,true
0.06,OldGuardNoBNB,1,-58.7005,-10.2815,59.42,13,30.77,false
0.06,OldGuardNoBNB,2,133.1082,5.6641,25.05,12,50.00,true
0.06,OldGuardNoBNB,3,66.6026,5.5095,42.91,14,57.14,true
0.06,OldGuardNoBNB,4,32.0975,4.1891,27.05,12,58.33,true
0.06,OldGuardNoBNB,5,-54.0724,-9.4926,54.07,13,23.08,false
0.06,LargeCaps5,0,383.0829,9.5130,54.60,14,57.14,true
0.06,LargeCaps5,1,-21.6821,-4.2801,29.66,9,44.44,false
0.06,LargeCaps5,2,142.8462,5.8302,25.05,13,53.85,true
0.06,LargeCaps5,3,66.5397,5.4328,39.57,13,69.23,true
0.06,LargeCaps5,4,52.7421,6.0491,14.84,12,58.33,true
0.06,LargeCaps5,5,5.5253,1.8275,25.43,12,41.67,true
0.06,Legacy3,0,281.9144,13.8912,9.04,13,69.23,true
0.06,Legacy3,1,-13.5799,0.1043,31.45,13,38.46,false
0.06,Legacy3,2,68.2893,3.8552,29.00,15,33.33,true
0.06,Legacy3,3,124.2258,7.2440,35.38,14,50.00,true
0.06,Legacy3,4,-48.2363,-5.3729,51.21,12,25.00,false
0.06,Legacy3,5,-56.8962,-5.4967,62.02,16,25.00,false
0.06,LowVolume5,0,166.1206,6.8182,24.37,16,56.25,true
0.06,LowVolume5,1,-21.9861,-1.0940,47.74,14,42.86,false
0.06,LowVolume5,2,464.1513,10.7860,31.65,15,60.00,true
0.06,LowVolume5,3,294.9015,8.2540,45.78,14,50.00,true
0.06,LowVolume5,4,-48.5591,-4.5931,49.42,13,30.77,false
0.06,LowVolume5,5,-70.2872,-6.6827,79.35,17,23.53,false
0.06,OldGuard4,0,170.3095,7.2887,35.13,15,53.33,true
0.06,OldGuard4,1,-17.4653,-0.9115,35.19,12,50.00,false
0.06,OldGuard4,2,73.1319,3.9605,28.85,15,40.00,true
0.06,OldGuard4,3,124.2258,7.2440,35.38,14,50.00,true
0.06,OldGuard4,4,-54.6401,-6.4673,54.64,13,15.38,false
0.06,OldGuard4,5,-58.5586,-4.7698,63.58,17,29.41,false
0.07,Base5,0,226.0924,8.4926,54.60,14,57.14,true
0.07,Base5,1,925.6927,7.3288,11.73,11,63.64,true
0.07,Base5,2,301.6793,9.3736,25.05,12,91.67,true
0.07,Base5,3,41.6629,4.1349,47.43,15,60.00,true
0.07,Base5,4,181.4672,17.4759,9.34,11,72.73,true
0.07,Base5,5,-2.4213,0.9888,31.04,12,41.67,false
0.07,NoDOGE,0,226.0924,8.4926,54.60,14,57.14,true
0.07,NoDOGE,1,-21.6821,-4.2801,29.66,9,44.44,false
0.07,NoDOGE,2,239.3192,7.3759,25.05,13,69.23,true
0.07,NoDOGE,3,139.5552,8.1169,31.91,14,71.43,true
