universe,window,atr_mult,vol_lb,vol_mult,vol_label,ret_pct,sharpe,max_dd,trades,win_rate,pass
Base5,W1,0.50,20,1.25,SMA20_1.25,-14.72,-0.6860,19.89,4,25.0,false
Base5,W1,0.50,10,1.00,SMA10_1.00,3.74,0.4450,6.59,4,25.0,true
Base5,W1,0.75,0,0.00,none,-16.89,-0.8156,19.89,5,20.0,false
Base5,W1,0.75,20,1.00,SMA20_1.00,-16.89,-0.8156,19.89,5,20.0,false
Base5,W1,0.75,20,1.25,SMA20_1.25,-14.72,-0.6860,19.89,4,25.0,false
Base5,W1,0.75,10,1.00,SMA10_1.00,3.74,0.4450,6.59,4,25.0,true
Base5,W1,1.00,0,0.00,none,-16.89,-0.8156,19.89,5,20.0,false
Base5,W1,1.00,20,1.00,SMA20_1.00,-16.89,-0.8156,19.89,5,20.0,false
Base5,W1,1.00,20,1.25,SMA20_1.25,-14.72,-0.6860,19.89,4,25.0,false
Base5,W1,1.00,10,1.00,SMA10_1.00,3.74,0.4450,6.59,4,25.0,true
Base5,W1,1.50,0,0.00,none,-21.69,-1.3398,21.69,2,0.0,false
Base5,W1,1.50,20,1.00,SMA20_1.00,-21.69,-1.3398,21.69,2,0.0,false
Base5,W1,1.50,20,1.25,SMA20_1.25,-21.69,-1.3398,21.69,2,0.0,false
Base5,W1,1.50,10,1.00,SMA10_1.00,-2.25,-1.2107,2.25,1,0.0,false
Base5,W1,2.00,0,0.00,none,0.00,0.0000,0.00,0,0.0,false
Base5,W1,2.00,20,1.00,SMA20_1.00,0.00,0.0000,0.00,0,0.0,false
Base5,W1,2.00,20,1.25,SMA20_1.25,0.00,0.0000,0.00,0,0.0,false
Base5,W1,2.00,10,1.00,SMA10_1.00,0.00,0.0000,0.00,0,0.0,false
Base5,W1,4.00,0,0.00,none,0.00,0.0000,0.00,0,0.0,false
Base5,W1,4.00,20,1.00,SMA20_1.00,0.00,0.0000,0.00,0,0.0,false
Base5,W1,4.00,20,1.25,SMA20_1.25,0.00,0.0000,0.00,0,0.0,false
