window,P_5,P_6,P_7,P_8,P_9
0,2.824490,2.824490,2.824490,2.824490,2.824490
1,4.884534,4.884534,4.884534,4.884534,4.884534
2,3.117860,3.117860,3.117860,3.117860,3.117860
3,1.939345,1.939345,1.939345,1.939345,1.939345
4,0.994328,0.994328,0.994328,0.994328,0.994328
5,1.148126,1.148126,1.148126,1.148126,1.148126
6,1.968833,1.968833,1.968833,1.968833,1.968833
