fee_bps,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
5.0,Legacy5BNB,3,584.83,10.4668,17.74,13,69.23,true
5.0,Legacy5BNB,4,39.02,4.6434,32.42,11,63.64,true
5.0,Legacy5BNB,5,-39.84,-4.6382,47.75,13,30.77,false
5.0,OldGuardNoBNB,0,162.52,7.7045,36.62,15,46.67,true
5.0,OldGuardNoBNB,1,-53.50,-11.0265,53.50,12,16.67,false
5.0,OldGuardNoBNB,2,142.57,6.3557,16.46,13,53.85,true
5.0,OldGuardNoBNB,3,373.26,8.3358,35.02,14,64.29,true
5.0,OldGuardNoBNB,4,5.60,1.4963,29.01,12,58.33,true
5.0,OldGuardNoBNB,5,26.49,3.6134,25.57,12,41.67,true
5.0,LargeCaps5,0,256.26,8.0769,58.77,14,57.14,true
5.0,LargeCaps5,1,-32.75,-4.9912,32.75,11,36.36,false
5.0,LargeCaps5,2,151.73,6.4412,16.46,14,64.29,true
5.0,LargeCaps5,3,207.44,11.8949,25.05,13,69.23,true
5.0,LargeCaps5,4,107.38,9.7515,14.92,12,75.00,true
5.0,LargeCaps5,5,-14.97,-1.1327,37.48,13,38.46,false
5.0,Legacy3,0,289.90,11.9097,12.12,15,66.67,true
5.0,Legacy3,1,27.01,3.1200,26.12,13,53.85,true
5.0,Legacy3,2,-40.30,-3.1949,49.83,16,31.25,false
5.0,Legacy3,3,44.11,3.7555,70.54,15,33.33,true
5.0,Legacy3,4,-33.59,-3.5764,52.00,13,46.15,false
5.0,Legacy3,5,-47.36,-4.2896,53.57,17,23.53,false
5.0,LowVolume5,0,202.02,8.1955,24.52,16,56.25,true
5.0,LowVolume5,1,-9.92,0.0650,40.27,14,50.00,false
5.0,LowVolume5,2,455.75,10.7113,31.99,15,60.00,true
5.0,LowVolume5,3,440.93,9.5470,46.61,14,50.00,true
5.0,LowVolume5,4,-49.22,-4.6886,50.03,13,30.77,false
5.0,LowVolume5,5,-71.87,-6.5523,79.62,18,22.22,false
5.0,OldGuard4,0,206.26,8.2084,29.18,17,58.82,true
5.0,OldGuard4,1,-27.42,-2.7045,33.80,13,38.46,false
5.0,OldGuard4,2,-38.01,-2.8883,48.92,16,37.50,false
5.0,OldGuard4,3,44.11,3.7555,70.54,15,33.33,true
5.0,OldGuard4,4,-13.86,-0.8334,35.06,14,50.00,false
5.0,OldGuard4,5,-42.52,-2.0855,60.16,19,26.32,false
