period,ap,equity,sharpe,dd,trades,passed
P1-2019,AP=7,5.094269389998096,7.793024407311373,30.760546988485327,16,1
P1-2019,AP=12,3.7057765040466046,10.527104256691125,21.45404131948858,15,1
P1-2019,AP=17,3.6877697182504656,11.289724894722657,21.45404131948858,14,1
P1-2019,AP=37,2.227688293429975,7.297155985394703,30.760546988485316,13,1
P1-2019,AP=63,2.2992157740455914,6.954062379890186,32.71974325305015,15,1
P2-2019,AP=7,0.8893003330808928,1.0666836527886536,40.809646364777464,15,1
P2-2019,AP=12,0.7719523583443209,-0.12369724185005916,48.620132726535125,15,0
P2-2019,AP=17,2.1480571945662326,7.897230570148307,21.45404131948858,14,1
P2-2019,AP=37,1.329851141985692,3.6825353850824674,36.14343847706203,15,1
P2-2019,AP=63,1.032189302043392,2.0467422718483563,42.248231973577,14,1
P3-2020,AP=7,1.4870171382461577,7.303418094778844,16.846899680422545,10,1
P3-2020,AP=12,1.4870171382461577,7.303418094778844,16.846899680422545,10,1
P3-2020,AP=17,1.4870171382461577,7.303418094778844,16.846899680422545,10,1
P3-2020,AP=37,1.6315181115083555,9.091914517936027,12.613591113768674,10,1
P3-2020,AP=63,1.4491199310750087,8.836470405125837,15.017378300516837,8,1
P4-2020,AP=7,0.7996141394647285,-3.896219945772279,26.19919527027491,10,0
P4-2020,AP=12,0.8149578759138001,-2.657213282152551,25.26486397024643,10,0
P4-2020,AP=17,1.2225871643625807,4.369583019343886,25.26486397024643,9,1
P4-2020,AP=37,0.8100369384646934,-2.3712633244116077,31.327932660755607,10,0
P4-2020,AP=63,1.109443813464009,5.048477821579125,16.426387552730027,5,1
