window,config,passed,sharpe,return_pct,dd_pct,trades
3,equal_capital_baseline,true,30.363673600366063,2197.5613561622645,4.988739742502212,132
3,atr_norm_10k,true,369.1927811884286,26720.21177648215,3.5784954841270955,132
3,atr_norm_20k,true,738.3855623768573,53440.4235529643,3.5849396030812706,132
5,equal_capital_baseline,false,0,-158.46136114873664,131.54868092664657,66
5,atr_norm_10k,true,0.14309432512347306,7.32308555687593,1.6566375912923297,66
5,atr_norm_20k,true,0.28618865024694395,14.646171113751748,3.0574576818332435,66
1,equal_capital_baseline,true,0.12995330167767438,6.497665083883719,43.345767777800035,63
1,atr_norm_10k,false,0,-3.9356004323581883,9.28616378940807,63
1,atr_norm_20k,false,0,-7.8712008647164105,17.592468073546385,63
4,equal_capital_baseline,true,2.634900127313867,152.12602977924402,39.11852101356778,84
4,atr_norm_10k,false,0,-1866.4451741185676,1840.228284266704,84
4,atr_norm_20k,false,0,-3732.890348237135,3626.6315189598695,84
6,equal_capital_baseline,true,2.5626867788506797,165.42072026724352,42.51985593795202,105
6,atr_norm_10k,false,0,-1.5344670761188173,11.039148427364173,105
6,atr_norm_20k,false,0,-3.0689341522377456,20.134731420583144,105
2,equal_capital_baseline,true,10.868406398425957,656.6886539406927,4.882176040583581,92
2,atr_norm_10k,true,0.8470939414569336,51.182938858196714,96.676816158146,92
2,atr_norm_20k,true,1.6941878829138672,102.36587771639343,97.75116052408268,92
0,equal_capital_baseline,true,24.68145282945263,1638.0680479492241,0.9426461869097578,111
0,atr_norm_10k,true,4.150661065427918,275.47265212163524,0.5136110138500842,111
0,atr_norm_20k,true,8.301322130855832,550.9453042432704,0.5920462058702796,111
