universe,window,bar,equity
Base5_1,1,79,3.212328
Base5_1,1,80,3.212328
Base5_1,1,81,2.492859
Base5_1,1,82,2.492859
Base5_1,1,83,2.492859
Base5_1,1,84,2.492859
Base5_1,1,85,2.492859
Base5_1,1,86,2.492859
Base5_1,1,87,2.492859
Base5_1,1,88,2.492859
Base5_1,1,89,2.492859
Base5_1,1,90,2.492859
Base5_1,1,91,2.492859
Base5_1,1,92,2.492859
Base5_1,1,93,2.492859
Base5_1,1,94,2.545493
Base5_1,1,95,2.545493
Base5_1,1,96,2.545493
Base5_1,1,97,2.545493
Base5_1,1,98,2.545493
Base5_1,1,99,2.545493
Base5_1,1,100,2.545493
Base5_1,1,101,2.545493
Base5_1,1,102,2.545493
Base5_1,1,103,2.545493
Base5_1,1,104,2.545493
Base5_1,1,105,2.545493
Base5_1,1,106,2.545493
Base5_1,1,107,2.545493
Base5_1,1,108,2.545493
Base5_1,1,109,2.545493
Base5_1,1,110,2.545493
Base5_1,1,111,2.545493
Base5_1,1,112,2.545493
Base5_1,1,113,2.545493
Base5_1,1,114,2.545493
Base5_1,1,115,2.545493
Base5_1,1,116,2.545493
Base5_1,1,117,2.545493
Base5_1,1,118,2.545493
Base5_1,1,119,2.545493
Base5_1,1,120,2.545493
Base5_1,1,121,2.545493
Base5_1,1,122,2.545493
Base5_1,1,123,2.607233
Base5_1,1,124,2.607233
Base5_1,1,125,2.673232
Base5_1,1,126,2.673232
Base5_1,1,127,2.673232
Base5_1,1,128,2.673232
Base5_1,1,129,2.673232
Base5_1,1,130,2.767849
Base5_1,1,131,2.767849
Base5_1,1,132,2.767849
Base5_1,1,133,2.767849
Base5_2,2,0,1.000000
Base5_2,2,1,1.000000
Base5_2,2,2,1.000000
Base5_2,2,3,1.000000
Base5_2,2,4,1.000000
Base5_2,2,5,1.000000
Base5_2,2,6,1.000000
Base5_2,2,7,0.881410
Base5_2,2,8,0.807603
Base5_2,2,9,0.807603
Base5_2,2,10,0.807603
Base5_2,2,11,0.914123
Base5_2,2,12,0.914123
Base5_2,2,13,0.914123
Base5_2,2,14,0.914123
Base5_2,2,15,0.914123
Base5_2,2,16,0.914123
Base5_2,2,17,0.914123
Base5_2,2,18,0.914123
Base5_2,2,19,0.914123
Base5_2,2,20,0.914123
Base5_2,2,21,0.914123
Base5_2,2,22,0.914123
Base5_2,2,23,0.914123
Base5_2,2,24,0.914123
