universe,window,equity
Base5,0,2.221416
Base5,1,0.862966
Base5,2,1.151071
Base5,3,2.350246
Base5,4,1.218046
Base5,5,0.975706
Base5,6,1.047674
NoDOGE,0,2.221416
NoDOGE,1,0.662092
NoDOGE,2,1.151071
NoDOGE,3,2.350246
NoDOGE,4,1.218046
NoDOGE,5,0.975706
NoDOGE,6,1.314866
Legacy4,0,1.042211
Legacy4,1,1.151623
Legacy4,2,1.227699
Legacy4,3,1.801121
Legacy4,4,0.992554
Legacy4,5,0.872135
Legacy4,6,1.407007
Legacy5BNB,0,1.031639
Legacy5BNB,1,1.080173
Legacy5BNB,2,1.227699
Legacy5BNB,3,1.614917
Legacy5BNB,4,0.978275
Legacy5BNB,5,0.872135
Legacy5BNB,6,1.407007
OldGuardNoBNB,0,0.714384
OldGuardNoBNB,1,1.184700
OldGuardNoBNB,2,1.227699
OldGuardNoBNB,3,1.801121
OldGuardNoBNB,4,0.992554
OldGuardNoBNB,5,0.872135
OldGuardNoBNB,6,1.407007
LargeCaps5,0,2.198882
LargeCaps5,1,0.662092
LargeCaps5,2,1.151071
LargeCaps5,3,1.930101
LargeCaps5,4,1.218046
LargeCaps5,5,0.975706
LargeCaps5,6,1.314866
Legacy3,0,1.137214
Legacy3,1,1.134317
Legacy3,2,2.806468
Legacy3,3,1.478131
Legacy3,4,0.992554
Legacy3,5,1.009954
Legacy3,6,1.381182
LowVolume5,0,0.964719
LowVolume5,1,1.025574
LowVolume5,2,2.512259
LowVolume5,3,1.418539
LowVolume5,4,0.947585
LowVolume5,5,0.956424
LowVolume5,6,0.869899
OldGuard4,0,0.714384
OldGuard4,1,1.164518
OldGuard4,2,2.806468
OldGuard4,3,1.478131
OldGuard4,4,0.992554
OldGuard4,5,1.009954
OldGuard4,6,1.365530
