symbol,phase,pass,return_pct,sharpe,max_dd_pct,trades
BTCUSDT,P1-2020,true,26117.87,0.1066,21.42,12
BTCUSDT,P2-2021,true,761.70,0.0933,19.74,7
BTCUSDT,P3-2019,true,1519563.41,0.1005,21.42,22
ETHUSDT,P1-2020,true,135933.01,0.1127,26.88,15
ETHUSDT,P2-2021,true,2105.26,0.1350,26.88,8
ETHUSDT,P3-2019,true,17249714.30,0.0863,59.24,27
XRPUSDT,P1-2020,true,352.26,0.0324,81.52,19
XRPUSDT,P2-2021,true,242.24,0.0587,23.32,10
DOGEUSDT,P2-2021,true,271.54,0.0231,71.54,23
ADAUSDT,P1-2020,true,25467826.88,0.1044,31.71,17
ADAUSDT,P2-2021,true,533.99,0.0961,31.71,10
LTCUSDT,P1-2020,true,3967.43,0.0694,63.37,16
LTCUSDT,P2-2021,true,14.61,0.0154,47.76,7
LTCUSDT,P3-2019,true,194748.27,0.0777,63.37,25
EOSUSDT,P1-2020,true,4062.14,0.0537,65.79,17
EOSUSDT,P2-2021,true,186.61,0.0651,29.44,9
BNBUSDT,P1-2020,true,2512409.19,0.0855,65.07,15
BNBUSDT,P2-2021,true,328.74,0.1052,24.12,7
BNBUSDT,P3-2019,true,36937810.33,0.0746,65.07,23
BCHUSDT,P2-2021,true,11.62,0.0087,83.11,25
