window,ap6,ap12,ap16,ap18
0,5.730039,5.918847,3.578884,4.122885
1,16.485792,22.383264,7.743385,17.140859
2,38.212393,45.355374,10.792217,23.204621
3,198.935727,106.549825,26.573286,54.719539
4,258.516711,154.554392,39.561482,61.710961
5,262.129646,199.533191,38.875651,68.581333
6,272.784804,251.768732,49.052858,86.535153
