ap,universe,window,equity,sharpe,dd_pct,trades
8,LargeCaps5,3,2.619250,10.9978,0.00,12
8,LargeCaps5,4,1.299499,6.2403,0.00,8
8,LargeCaps5,5,0.854944,-0.8404,14.51,10
8,LargeCaps5,6,1.443916,10.5407,0.00,9
8,Legacy3,0,1.652999,10.0836,0.00,9
8,Legacy3,1,1.337449,4.3658,0.00,12
8,Legacy3,2,5.883233,8.7367,0.00,13
8,Legacy3,3,1.817566,8.3467,0.00,10
8,Legacy3,4,0.601894,-18.0659,39.81,6
8,Legacy3,5,1.100083,2.5098,0.00,10
8,Legacy3,6,0.988616,0.8937,1.14,12
8,LowVolume5,0,0.742861,-2.5366,25.71,10
8,LowVolume5,1,0.877997,0.2485,12.20,11
8,LowVolume5,2,11.219140,14.9458,0.00,12
8,LowVolume5,3,1.272573,3.9521,0.00,11
8,LowVolume5,4,0.418317,-12.8262,58.17,10
8,LowVolume5,5,0.862844,0.0890,13.72,10
8,LowVolume5,6,0.886437,0.1355,11.36,12
8,OldGuard4,0,1.246309,4.2132,0.00,10
8,OldGuard4,1,1.343479,5.8689,0.00,11
8,OldGuard4,2,5.883233,8.7367,0.00,13
8,OldGuard4,3,1.817566,8.3467,0.00,10
8,OldGuard4,4,1.194249,3.7881,0.00,8
8,OldGuard4,5,1.118572,2.6969,0.00,10
8,OldGuard4,6,0.969455,0.5992,3.05,12
10,Base5,0,8.051955,12.8344,0.00,10
10,Base5,1,2.321093,5.2038,0.00,11
10,Base5,2,2.331728,21.1436,0.00,9
10,Base5,3,2.373019,7.9403,0.00,14
10,Base5,4,1.182736,4.2775,0.00,8
10,Base5,5,0.809206,-2.3531,19.08,9
10,Base5,6,1.261789,6.0792,0.00,8
10,NoDOGE,0,4.058852,10.5721,0.00,9
10,NoDOGE,1,1.127848,5.3832,0.00,8
10,NoDOGE,2,1.858288,10.8424,0.00,10
10,NoDOGE,3,2.373019,7.9403,0.00,14
10,NoDOGE,4,1.182736,4.2775,0.00,8
10,NoDOGE,5,0.809206,-2.3531,19.08,9
10,NoDOGE,6,1.485432,12.4648,0.00,8
10,Legacy4,0,1.321653,5.7727,0.00,8
10,Legacy4,1,1.190023,4.0069,0.00,11
10,Legacy4,2,13.063815,14.1960,0.00,10
10,Legacy4,3,1.847944,8.0017,0.00,10
10,Legacy4,4,0.673719,-7.4414,32.63,7
10,Legacy4,5,0.786542,-0.8355,21.35,10
10,Legacy4,6,1.303585,6.1548,0.00,10
10,Legacy5BNB,0,1.210928,4.6674,0.00,7
10,Legacy5BNB,1,0.770768,-4.3877,22.92,10
10,Legacy5BNB,2,13.063815,14.1960,0.00,10
10,Legacy5BNB,3,1.397313,5.6425,0.00,9
10,Legacy5BNB,4,0.895603,-2.6813,10.44,4
10,Legacy5BNB,5,0.814858,-2.2204,18.51,9
10,Legacy5BNB,6,1.303585,6.1548,0.00,10
10,OldGuardNoBNB,0,1.079177,2.3672,0.00,10
10,OldGuardNoBNB,1,1.082624,3.5103,0.00,8
10,OldGuardNoBNB,2,13.063815,14.1960,0.00,10
10,OldGuardNoBNB,3,1.847944,8.0017,0.00,10
10,OldGuardNoBNB,4,0.665439,-7.1821,33.46,8
10,OldGuardNoBNB,5,0.396617,-9.2146,60.34,10
10,OldGuardNoBNB,6,1.303585,6.1548,0.00,10
10,LargeCaps5,0,3.714428,9.9798,0.00,9
10,LargeCaps5,1,1.127848,5.3832,0.00,8
10,LargeCaps5,2,1.858288,10.8424,0.00,10
10,LargeCaps5,3,1.861828,7.0884,0.00,12
10,LargeCaps5,4,1.182736,4.2775,0.00,8
10,LargeCaps5,5,0.809206,-2.3531,19.08,9
10,LargeCaps5,6,1.485432,12.4648,0.00,8
10,Legacy3,0,1.364165,5.9061,0.00,9
10,Legacy3,1,1.280638,3.9960,0.00,12
10,Legacy3,2,3.923984,7.6802,0.00,12
10,Legacy3,3,1.699291,7.4512,0.00,10
10,Legacy3,4,0.622629,-19.0534,37.74,5
10,Legacy3,5,1.011240,1.6251,0.00,11
10,Legacy3,6,0.864100,-0.8062,13.59,12
10,LowVolume5,0,0.793713,-1.5072,20.63,10
10,LowVolume5,1,0.877997,0.2485,12.20,11
10,LowVolume5,2,11.219140,14.9458,0.00,12
10,LowVolume5,3,1.257302,3.8302,0.00,11
10,LowVolume5,4,0.402229,-14.4829,59.78,9
10,LowVolume5,5,0.734309,-1.1077,26.57,11
10,LowVolume5,6,0.775848,-1.1017,22.42,12
10,OldGuard4,0,1.167222,3.3484,0.00,10
10,OldGuard4,1,1.286412,5.7772,0.00,11
10,OldGuard4,2,3.923984,7.6802,0.00,12
10,OldGuard4,3,1.699291,7.4512,0.00,10
10,OldGuard4,4,1.213436,4.2785,0.00,7
10,OldGuard4,5,1.028236,1.7884,0.00,11
10,OldGuard4,6,0.847353,-1.0891,15.26,12
11,Base5,0,8.116028,17.4290,0.00,8
11,Base5,1,4.056912,5.6456,0.00,11
11,Base5,2,2.026307,10.1970,0.00,10
11,Base5,3,2.462264,8.8175,0.00,13
11,Base5,4,1.257956,5.5822,0.00,8
11,Base5,5,0.900683,-0.6799,9.93,7
11,Base5,6,1.261789,6.0792,0.00,8
11,NoDOGE,0,5.365096,15.4059,0.00,7
11,NoDOGE,1,1.127848,5.3832,0.00,8
11,NoDOGE,2,1.614881,6.4829,0.00,11
11,NoDOGE,3,2.462264,8.8175,0.00,13
11,NoDOGE,4,1.257956,5.5822,0.00,8
11,NoDOGE,5,0.900683,-0.6799,9.93,7
11,NoDOGE,6,1.729319,20.3490,0.00,8
11,Legacy4,0,1.848535,16.3461,0.00,7
11,Legacy4,1,1.190023,4.0069,0.00,11
11,Legacy4,2,13.063815,14.1960,0.00,10
11,Legacy4,3,1.847944,8.0017,0.00,10
11,Legacy4,4,0.777148,-5.0191,22.29,6
11,Legacy4,5,1.163182,3.8926,0.00,7
11,Legacy4,6,1.289852,5.9651,0.00,10
11,Legacy5BNB,0,1.544205,12.1322,0.00,6
11,Legacy5BNB,1,0.934772,-0.7439,6.52,10
11,Legacy5BNB,2,13.063815,14.1960,0.00,10
11,Legacy5BNB,3,1.397313,5.6425,0.00,9
11,Legacy5BNB,4,1.033095,2.8908,0.00,3
11,Legacy5BNB,5,0.855315,-1.8746,14.47,6
11,Legacy5BNB,6,1.289852,5.9651,0.00,10
11,OldGuardNoBNB,0,1.130304,3.0818,0.00,9
11,OldGuardNoBNB,1,1.205002,5.9698,0.00,9
11,OldGuardNoBNB,2,13.063815,14.1960,0.00,10
11,OldGuardNoBNB,3,1.847944,8.0017,0.00,10
11,OldGuardNoBNB,4,0.767597,-4.9258,23.24,7
11,OldGuardNoBNB,5,0.586539,-6.3226,41.35,7
11,OldGuardNoBNB,6,1.289852,5.9651,0.00,10
11,LargeCaps5,0,4.909827,14.4459,0.00,7
11,LargeCaps5,1,1.127848,5.3832,0.00,8
