threshold,global_pass,global_total,global_pass_pct,global_avg_sharpe,global_avg_ret,global_avg_dd,global_avg_trades
0,0,0,0.0,3.873,159.8,0.0,12
3,0,0,0.0,4.386,151.5,0.0,11
5,0,0,0.0,4.802,156.8,0.0,10
7,0,0,0.0,4.407,160.3,0.0,10
10,0,0,0.0,4.455,131.0,0.0,10
15,0,0,0.0,3.972,128.8,0.0,9
20,0,0,0.0,3.326,95.5,0.0,9
25,0,0,0.0,2.270,61.7,0.0,8
30,0,0,0.0,1.179,68.0,0.0,7
40,0,0,0.0,0.205,60.9,0.0,6
50,0,0,0.0,0.566,52.7,0.0,5
60,0,0,0.0,0.614,30.3,0.0,5
