chand_period,chand_mult,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
10,1.5,OldGuardNoBNB,0,120.82,5.3767,42.13,22,50.00,true
10,1.5,OldGuardNoBNB,1,-0.21,0.5226,39.83,15,53.33,false
10,1.5,OldGuardNoBNB,2,-47.01,-3.2079,51.79,13,23.08,false
10,1.5,OldGuardNoBNB,3,-16.09,-0.4892,33.51,12,50.00,false
10,1.5,OldGuardNoBNB,4,-29.39,-6.6934,33.05,7,28.57,false
10,1.5,OldGuardNoBNB,5,109.87,8.2858,8.58,13,53.85,true
10,1.5,LargeCaps5,0,-22.05,0.6106,67.12,20,40.00,false
10,1.5,LargeCaps5,1,60.56,9.5676,16.25,10,60.00,true
10,1.5,LargeCaps5,2,114.91,7.9905,20.13,10,40.00,true
10,1.5,LargeCaps5,3,276.93,9.7488,48.43,12,50.00,true
10,1.5,LargeCaps5,4,30.82,5.1776,10.33,8,75.00,true
10,1.5,LargeCaps5,5,43.01,3.8128,17.03,13,46.15,true
10,1.5,Legacy3,0,110.31,5.2324,45.90,16,43.75,true
10,1.5,Legacy3,1,54.91,6.9932,19.26,13,61.54,true
10,1.5,Legacy3,2,41.51,3.9554,38.87,14,28.57,true
10,1.5,Legacy3,3,240.88,11.0407,16.93,12,75.00,true
10,1.5,Legacy3,4,-41.40,-4.7614,44.43,10,40.00,false
10,1.5,Legacy3,5,-10.16,-1.5135,21.43,10,20.00,false
10,1.5,LowVolume5,0,219.69,7.3634,21.86,16,62.50,true
10,1.5,LowVolume5,1,48.21,6.0170,13.83,12,58.33,true
10,1.5,LowVolume5,2,397.12,8.8694,37.06,16,43.75,true
10,1.5,LowVolume5,3,689.23,14.8720,26.31,14,57.14,true
10,1.5,LowVolume5,4,-38.93,-2.8734,47.17,12,41.67,false
10,1.5,LowVolume5,5,-24.65,-2.9064,32.78,16,31.25,false
10,1.5,OldGuard4,0,271.15,8.4252,36.60,18,66.67,true
10,1.5,OldGuard4,1,0.43,0.5745,24.79,16,43.75,true
10,1.5,OldGuard4,2,41.37,3.7203,37.31,14,28.57,true
10,1.5,OldGuard4,3,240.88,11.0407,16.93,12,75.00,true
10,1.5,OldGuard4,4,-30.82,-2.4521,39.56,12,41.67,false
10,1.5,OldGuard4,5,38.80,4.5827,13.36,13,30.77,true
10,2,Base5,0,279.78,10.3375,31.14,9,44.44,true
10,2,Base5,1,127.31,2.4912,21.86,12,41.67,true
10,2,Base5,2,104.47,7.3208,19.24,10,50.00,true
10,2,Base5,3,16.19,3.2932,50.57,12,41.67,true
10,2,Base5,4,-22.61,-3.8427,22.61,9,44.44,false
10,2,Base5,5,34.43,3.6548,31.82,12,50.00,true
10,2,NoDOGE,0,279.78,10.3375,31.14,9,44.44,true
10,2,NoDOGE,1,27.41,5.0813,24.92,9,44.44,true
10,2,NoDOGE,2,270.72,15.8589,12.68,6,66.67,true
10,2,NoDOGE,3,141.72,7.9895,42.98,11,54.55,true
10,2,NoDOGE,4,-7.67,-1.6121,15.27,7,42.86,false
10,2,NoDOGE,5,33.28,3.9737,21.77,11,54.55,true
10,2,Legacy4,0,320.80,15.8639,9.48,10,60.00,true
10,2,Legacy4,1,20.80,2.8365,22.35,11,36.36,true
10,2,Legacy4,2,-25.26,-1.5278,39.73,9,33.33,false
10,2,Legacy4,3,-25.90,-2.0958,39.03,10,30.00,false
10,2,Legacy4,4,-17.89,-5.2474,18.00,6,33.33,false
10,2,Legacy4,5,9.60,2.6296,23.54,10,40.00,true
10,2,Legacy5BNB,0,243.31,19.0128,9.48,10,70.00,true
10,2,Legacy5BNB,1,-1.69,0.6054,20.93,9,44.44,false
10,2,Legacy5BNB,2,-31.24,-2.0880,38.27,8,37.50,false
10,2,Legacy5BNB,3,-12.26,0.4224,39.03,9,22.22,false
10,2,Legacy5BNB,4,-15.67,-3.0900,15.67,6,50.00,false
10,2,Legacy5BNB,5,1.28,1.1994,25.00,10,40.00,true
10,2,OldGuardNoBNB,0,187.42,8.9292,25.07,15,53.33,true
10,2,OldGuardNoBNB,1,-37.07,-3.7490,45.86,11,45.45,false
10,2,OldGuardNoBNB,2,-25.26,-1.5278,39.73,9,33.33,false
10,2,OldGuardNoBNB,3,-25.90,-2.0958,39.03,10,30.00,false
10,2,OldGuardNoBNB,4,-17.89,-5.2474,18.00,6,33.33,false
10,2,OldGuardNoBNB,5,28.47,5.7050,16.60,10,50.00,true
10,2,LargeCaps5,0,248.01,9.0720,31.14,10,40.00,true
10,2,LargeCaps5,1,32.16,5.9642,22.12,9,44.44,true
