universe,window,equity
Base5,0,3.348011
Base5,1,2.153221
Base5,2,1.455606
Base5,3,2.073012
Base5,4,1.027608
Base5,5,0.661699
Base5,6,1.047674
NoDOGE,0,3.348011
NoDOGE,1,1.061276
NoDOGE,2,1.459425
NoDOGE,3,2.073012
NoDOGE,4,1.027608
NoDOGE,5,0.661699
NoDOGE,6,1.366693
Legacy4,0,0.915944
Legacy4,1,1.156670
Legacy4,2,2.815803
Legacy4,3,1.580463
Legacy4,4,0.933510
Legacy4,5,1.059502
Legacy4,6,1.516002
Legacy5BNB,0,0.945135
Legacy5BNB,1,1.086539
Legacy5BNB,2,2.938550
Legacy5BNB,3,1.297929
Legacy5BNB,4,0.926065
Legacy5BNB,5,0.776839
Legacy5BNB,6,1.516002
OldGuardNoBNB,0,0.606117
OldGuardNoBNB,1,0.976144
OldGuardNoBNB,2,2.815803
OldGuardNoBNB,3,1.580463
OldGuardNoBNB,4,1.033118
OldGuardNoBNB,5,0.532724
OldGuardNoBNB,6,1.516002
LargeCaps5,0,3.155581
LargeCaps5,1,1.061276
LargeCaps5,2,1.459425
LargeCaps5,3,1.713939
LargeCaps5,4,1.027608
LargeCaps5,5,0.661699
LargeCaps5,6,1.366693
Legacy3,0,1.056442
Legacy3,1,1.194481
Legacy3,2,2.135090
Legacy3,3,1.484755
Legacy3,4,0.888191
Legacy3,5,1.155695
Legacy3,6,1.476672
LowVolume5,0,0.742197
LowVolume5,1,0.812608
LowVolume5,2,1.690431
LowVolume5,3,1.005586
LowVolume5,4,0.893361
LowVolume5,5,0.653566
LowVolume5,6,1.451653
OldGuard4,0,0.552642
OldGuard4,1,1.020681
OldGuard4,2,2.135090
OldGuard4,3,1.484755
OldGuard4,4,1.202302
OldGuard4,5,0.582318
OldGuard4,6,1.459938
