pct,window,equity
0,0,1.796282
0,1,1.516747
0,2,1.700261
0,3,2.451215
0,4,1.171659
0,5,1.163952
0,6,1.107964
1,0,3.514818
1,1,1.566384
1,2,3.027817
1,3,7.732433
1,4,1.432261
1,5,1.370407
1,6,1.241561
2,0,3.514818
2,1,1.566384
2,2,3.027817
2,3,7.732433
2,4,1.432261
2,5,1.370407
2,6,1.241561
3,0,3.514818
3,1,1.566384
3,2,3.027817
3,3,7.732433
3,4,1.432261
3,5,1.370407
3,6,1.241561
4,0,3.514818
4,1,1.566384
4,2,3.027817
4,3,7.732433
4,4,1.432261
4,5,1.370407
4,6,1.241561
