universe,window,equity
Base5,0,1.000000
Base5,1,1.000000
Base5,2,1.000000
Base5,3,1.000000
Base5,4,1.000000
Base5,5,1.000000
Base5,6,1.000000
NoDOGE,0,1.000000
NoDOGE,1,1.000000
NoDOGE,2,1.000000
NoDOGE,3,1.000000
NoDOGE,4,1.000000
NoDOGE,5,1.000000
NoDOGE,6,1.000000
Legacy4,0,1.000000
Legacy4,1,1.000000
Legacy4,2,1.000000
Legacy4,3,1.000000
Legacy4,4,1.000000
Legacy4,5,1.000000
Legacy4,6,1.000000
Legacy5BNB,0,1.000000
Legacy5BNB,1,1.000000
Legacy5BNB,2,1.000000
Legacy5BNB,3,1.000000
Legacy5BNB,4,1.000000
Legacy5BNB,5,1.000000
Legacy5BNB,6,1.000000
OldGuardNoBNB,0,1.000000
OldGuardNoBNB,1,1.000000
OldGuardNoBNB,2,1.000000
OldGuardNoBNB,3,1.000000
OldGuardNoBNB,4,1.000000
OldGuardNoBNB,5,1.000000
OldGuardNoBNB,6,1.000000
LargeCaps5,0,1.000000
LargeCaps5,1,1.000000
LargeCaps5,2,1.000000
LargeCaps5,3,1.000000
LargeCaps5,4,1.000000
LargeCaps5,5,1.000000
LargeCaps5,6,1.000000
Legacy3,0,1.000000
Legacy3,1,1.000000
Legacy3,2,1.000000
Legacy3,3,1.000000
Legacy3,4,1.000000
Legacy3,5,1.000000
Legacy3,6,1.000000
LowVolume5,0,1.000000
LowVolume5,1,1.000000
LowVolume5,2,1.000000
LowVolume5,3,1.000000
LowVolume5,4,1.000000
LowVolume5,5,1.000000
LowVolume5,6,1.000000
OldGuard4,0,1.000000
OldGuard4,1,1.000000
OldGuard4,2,1.000000
OldGuard4,3,1.000000
OldGuard4,4,1.000000
OldGuard4,5,1.000000
OldGuard4,6,1.000000
