atr_entry_mult,pass,total,pass_pct,avg_sharpe,avg_ret_pct,avg_dd,total_trades,vs_baseline_pct
0.00,61,63,96.83,1.9481,2229.52,72.14,4691,0.00
0.50,63,63,100.00,1.5648,287.47,58.13,2688,-19.67
0.75,63,63,100.00,1.7079,164.71,49.74,2018,-12.33
0.90,63,63,100.00,2.5273,163.61,44.26,1653,29.73
1.00,63,63,100.00,1.5846,94.79,43.33,1473,-18.66
1.10,63,63,100.00,1.4467,93.80,40.91,1346,-25.74
1.25,63,63,100.00,0.7716,45.92,36.09,1029,-60.39
1.50,60,63,95.24,-1.4282,32.42,31.82,776,-173.31
2.00,54,63,85.71,-4.5082,4.13,23.18,461,-331.42
