window,mt_1,mt_2,mt_3,mt_4,mt_5,mt_6,mt_7,mt_8,mt_9,mt_10,mt_12,mt_15,mt_20,mt_30
0,2.489891,2.489891,2.489891,2.489891,2.489891,2.489891,2.489891,2.489891,2.489891,2.489891,2.489891,2.489891,1.000000,1.000000
1,3.174949,3.174949,3.174949,3.174949,3.174949,3.174949,3.174949,3.174949,3.174949,3.174949,3.174949,3.174949,1.000000,1.000000
2,1.651110,1.651110,1.651110,1.651110,1.651110,1.651110,1.651110,1.651110,1.651110,1.651110,1.651110,1.000000,1.000000,1.000000
3,2.880977,2.880977,2.880977,2.880977,2.880977,2.880977,2.880977,2.880977,2.880977,2.880977,2.880977,1.000000,1.000000,1.000000
4,1.344653,1.344653,1.344653,1.344653,1.344653,1.344653,1.344653,1.344653,1.344653,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.704635,1.704635,1.704635,1.704635,1.704635,1.704635,1.704635,1.704635,1.704635,1.704635,1.704635,1.000000,1.000000,1.000000
