hedge_threshold,size_mult,hedge_atr_p,pass_count,total_windows,pass_rate,avg_sharpe,avg_return,avg_dd,total_trades
35,0.55,50,65,63,103.17,8.3741,110.74,22.33,787
40,0.55,15,65,63,103.17,8.3719,113.51,22.17,787
45,0.55,30,65,63,103.17,8.3713,112.40,23.13,787
40,0.50,40,65,63,103.17,8.3688,95.76,20.93,787
50,0.55,55,65,63,103.17,8.3650,116.16,23.95,787
45,0.50,60,65,63,103.17,8.3647,104.07,22.21,787
50,0.55,40,65,63,103.17,8.3647,111.20,23.24,787
35,0.55,10,65,63,103.17,8.3600,110.96,21.97,787
50,0.55,35,65,63,103.17,8.3593,109.03,23.18,787
35,0.50,20,65,63,103.17,8.3593,102.26,20.59,787
55,0.65,15,65,63,103.17,8.3548,131.72,24.65,787
40,0.50,35,65,63,103.17,8.3539,94.90,20.79,787
55,0.55,30,65,63,103.17,8.3485,115.56,24.47,787
30,0.50,10,65,63,103.17,8.3366,97.26,19.33,787
30,0.65,20,65,63,103.17,8.3363,124.55,23.06,787
55,0.65,40,65,63,103.17,8.3298,125.59,25.29,787
45,0.50,50,65,63,103.17,8.3239,99.51,21.84,787
50,0.75,15,65,63,103.17,8.3236,137.20,25.19,787
25,0.50,10,65,63,103.17,8.3229,88.76,18.73,787
45,0.55,55,65,63,103.17,8.3222,116.53,23.36,787
35,0.55,55,65,63,103.17,8.3212,108.67,22.33,787
45,0.75,45,65,63,103.17,8.3204,134.14,25.16,787
40,0.50,55,65,63,103.17,8.3204,95.34,21.45,787
50,0.65,50,65,63,103.17,8.3160,128.56,24.85,787
70,0.50,10,65,63,103.17,8.3124,106.98,25.05,787
35,0.55,20,65,63,103.17,8.3121,114.66,22.29,787
40,0.65,45,65,63,103.17,8.3105,125.33,24.01,787
50,0.65,30,65,63,103.17,8.3081,126.64,24.89,787
40,0.65,25,65,63,103.17,8.3059,126.80,24.59,787
40,0.55,40,65,63,103.17,8.3055,109.18,22.56,787
40,0.65,50,65,63,103.17,8.3053,126.01,24.08,787
15,0.50,5,65,63,103.17,8.3029,79.69,16.56,787
55,0.75,15,65,63,103.17,8.3021,138.08,25.37,787
60,0.55,15,65,63,103.17,8.3013,116.37,24.51,787
40,0.55,35,65,63,103.17,8.2995,108.48,22.48,787
30,0.55,10,65,63,103.17,8.2963,110.51,21.32,787
45,0.55,60,65,63,103.17,8.2938,116.08,23.55,787
35,0.55,40,65,63,103.17,8.2931,108.30,22.40,787
35,0.65,45,65,63,103.17,8.2924,124.42,24.01,787
45,0.65,30,65,63,103.17,8.2914,126.11,24.62,787
40,0.75,10,65,63,103.17,8.2901,132.79,24.78,787
25,0.55,10,65,63,103.17,8.2879,103.57,20.83,787
35,0.65,50,65,63,103.17,8.2875,124.86,24.01,787
50,0.65,45,65,63,103.17,8.2867,125.97,24.95,787
30,0.75,20,65,63,103.17,8.2866,132.03,24.06,787
40,0.55,60,65,63,103.17,8.2859,114.57,23.20,787
45,0.75,40,65,63,103.17,8.2828,132.06,25.01,787
35,0.65,10,65,63,103.17,8.2825,125.02,23.79,787
50,0.65,40,65,63,103.17,8.2814,125.13,24.70,787
50,0.65,35,65,63,103.17,8.2813,123.47,24.65,787
55,0.75,40,65,63,103.17,8.2793,132.87,25.92,787
50,0.65,55,65,63,103.17,8.2745,129.04,25.23,787
15,0.55,5,65,63,103.17,8.2726,95.56,19.10,787
45,0.50,15,65,63,103.17,8.2724,101.31,21.47,787
40,0.55,20,65,63,103.17,8.2714,112.13,23.11,787
45,0.55,50,65,63,103.17,8.2695,112.23,23.26,787
55,0.65,30,65,63,103.17,8.2695,128.56,25.60,787
50,0.80,15,65,63,103.17,8.2657,143.96,25.95,787
50,0.75,50,65,63,103.17,8.2641,135.38,25.55,787
40,0.75,45,65,63,103.17,8.2628,132.69,24.85,787
50,0.75,30,65,63,103.17,8.2615,133.81,25.57,787
40,0.55,55,65,63,103.17,8.2604,108.75,22.96,787
40,0.75,25,65,63,103.17,8.2598,133.93,25.32,787
40,0.75,50,65,63,103.17,8.2580,133.26,24.91,787
45,0.55,25,65,63,103.17,8.2564,111.54,23.63,787
55,0.75,25,65,63,103.17,8.2513,135.81,25.98,787
35,0.65,20,65,63,103.17,8.2497,127.95,23.97,787
45,0.75,30,65,63,103.17,8.2491,133.34,25.35,787
55,0.80,15,65,63,103.17,8.2485,144.67,26.10,787
35,0.75,45,65,63,103.17,8.2483,131.91,24.85,787
35,0.65,55,65,63,103.17,8.2475,123.16,24.01,787
45,0.80,10,65,63,103.17,8.2458,141.43,25.80,787
45,0.75,35,65,63,103.17,8.2453,130.75,25.01,787
35,0.75,50,65,63,103.17,8.2442,132.29,24.85,787
45,0.65,55,65,63,103.17,8.2423,129.32,24.79,787
35,0.75,10,65,63,103.17,8.2421,132.42,24.69,787
50,0.75,45,65,63,103.17,8.2420,133.21,25.62,787
45,0.55,20,65,63,103.17,8.2416,111.53,23.65,787
30,0.65,10,65,63,103.17,8.2404,124.71,23.30,787
50,0.75,35,65,63,103.17,8.2404,131.10,25.38,787
60,0.65,15,65,63,103.17,8.2395,129.16,25.61,787
40,0.80,10,65,63,103.17,8.2393,140.38,25.65,787
50,0.75,40,65,63,103.17,8.2393,132.49,25.42,787
40,0.65,40,65,63,103.17,8.2374,123.61,24.20,787
30,0.80,20,65,63,103.17,8.2364,139.77,25.05,787
40,0.65,35,65,63,103.17,8.2356,123.07,24.14,787
25,0.65,10,65,63,103.17,8.2346,119.42,22.94,787
35,0.65,40,65,63,103.17,8.2311,122.92,24.08,787
50,0.75,55,65,63,103.17,8.2310,135.83,25.86,787
45,0.80,40,65,63,103.17,8.2309,139.77,25.81,787
55,0.75,30,65,63,103.17,8.2291,135.42,26.16,787
40,0.55,30,65,63,103.17,8.2279,109.14,22.78,787
30,0.55,45,65,63,103.17,8.2262,106.32,22.26,787
50,0.75,20,65,63,103.17,8.2230,134.11,25.77,787
45,0.65,60,65,63,103.17,8.2227,128.98,24.93,787
15,0.65,5,65,63,103.17,8.2227,112.81,21.63,787
40,0.65,20,65,63,103.17,8.2216,125.89,24.59,787
55,0.80,10,65,63,103.17,8.2212,146.06,26.21,787
40,0.65,60,65,63,103.17,8.2208,127.74,24.67,787
40,0.80,45,65,63,103.17,8.2157,140.30,25.69,787
35,0.50,25,65,63,103.17,8.2155,96.63,21.19,787
35,0.75,20,65,63,103.17,8.2155,134.94,24.81,787
50,0.80,30,65,63,103.17,8.2150,141.22,26.25,787
40,0.80,25,65,63,103.17,8.2138,141.31,26.06,787
40,0.80,50,65,63,103.17,8.2116,140.76,25.73,787
35,0.75,55,65,63,103.17,8.2109,130.82,24.85,787
45,0.65,50,65,63,103.17,8.2105,125.94,24.72,787
30,0.75,10,65,63,103.17,8.2089,132.17,24.28,787
50,0.75,25,65,63,103.17,8.2081,134.82,25.91,787
50,0.85,15,65,63,103.17,8.2076,150.96,26.73,787
55,0.80,25,65,63,103.17,8.2069,142.81,26.58,787
60,0.75,15,65,63,103.17,8.2064,135.92,26.16,787
45,0.80,30,65,63,103.17,8.2062,140.82,26.08,787
45,0.65,25,65,63,103.17,8.2058,125.43,24.98,787
35,0.80,45,65,63,103.17,8.2045,139.66,25.69,787
45,0.75,55,65,63,103.17,8.2042,136.06,25.50,787
25,0.75,10,65,63,103.17,8.2040,127.74,24.00,787
40,0.75,40,65,63,103.17,8.2030,131.22,25.01,787
40,0.75,35,65,63,103.17,8.2023,130.77,24.96,787
45,0.80,35,65,63,103.17,8.2019,138.71,25.81,787
35,0.80,10,65,63,103.17,8.2012,140.09,25.58,787
35,0.80,50,65,63,103.17,8.2012,139.98,25.69,787
35,0.55,35,65,63,103.17,8.2008,107.03,22.39,787
40,0.65,55,65,63,103.17,8.2003,123.22,24.50,787
35,0.55,25,65,63,103.17,8.2002,109.82,22.79,787
50,0.80,35,65,63,103.17,8.1990,138.99,26.10,787
35,0.75,40,65,63,103.17,8.1987,130.63,24.91,787
45,0.65,20,65,63,103.17,8.1982,125.38,24.98,787
50,0.80,40,65,63,103.17,8.1974,140.12,26.13,787
15,0.75,5,65,63,103.17,8.1938,121.97,22.90,787
40,0.75,20,65,63,103.17,8.1931,133.15,25.32,787
50,0.80,10,65,63,103.17,8.1912,142.48,25.99,787
40,0.65,30,65,63,103.17,8.1892,123.52,24.36,787
55,0.80,30,65,63,103.17,8.1890,142.52,26.72,787
45,0.75,60,65,63,103.17,8.1886,135.78,25.61,787
40,0.75,60,65,63,103.17,8.1884,134.69,25.39,787
50,0.80,20,65,63,103.17,8.1865,141.41,26.41,787
30,0.85,20,65,63,103.17,8.1859,147.77,26.06,787
30,0.65,45,65,63,103.17,8.1817,121.34,23.96,787
45,0.75,50,65,63,103.17,8.1807,133.18,25.44,787
