hold_max,global_pass,global_total,pass_rate_pct,avg_sharpe,avg_return_pct,avg_max_dd_pct,total_trades,avg_win_rate_pct
1,69,69, 100,2.133553452330598,19.81480465402747,73.27790893968366,7378,46.70642450528599
2,69,69, 100,1.8884733389282344,28.913939034332017,72.39491306608103,5139,50.379451255108
3,69,69, 100,1.7799198896980122,32.12560758753242,71.83754648768983,4187,51.54048244566516
4,69,69, 100,1.7558755018074144,31.145029247973287,72.65353114257057,3677,48.43622518357357
5,69,69, 100,1.6790676713377204,31.840577375659976,72.44841923447977,3393,47.09696433834365
6,69,69, 100,1.630685102739597,33.96406832654164,72.25204708361353,3209,47.11748208164537
7,69,69, 100,1.616265815409129,37.794359527470036,72.37930695660418,3076,46.749024707412225
8,69,69, 100,1.6086683967385476,35.7920065890099,72.71374447330878,2910,45.945017182130584
9,69,69, 100,1.59738072517709,36.78181384809845,72.04431653719597,2815,46.03907637655417
10,69,69, 100,1.575689498090829,34.28128406307691,72.40823081116059,2724,45.08076358296623
11,69,69, 100,1.5694544913573256,34.88729307015714,71.53553590376455,2677,45.53604781471797
12,69,69, 100,1.57986795199525,37.489830790340946,71.21230469497776,2619,46.31538755250095
13,69,69, 100,1.5635057619148909,36.428794177037105,71.28695901159682,2600,44.80769230769231
14,69,69, 100,1.5608073155078441,38.21586938878785,71.10410543777654,2556,45.50078247261346
15,69,69, 100,1.5449911522362871,38.22667607579567,71.19579489424305,2525,45.30693069306931
16,69,69, 100,1.5528216014047689,39.49053298107098,71.23919835482155,2488,45.538585209003216
17,69,69, 100,1.5515730143736193,38.12232747993126,71.46155319582338,2471,45.447187373532984
18,69,69, 100,1.5500677705755852,37.75199425920474,71.60270437895504,2457,45.258445258445256
19,69,69, 100,1.552127735486297,38.057195523448634,71.3990576600529,2436,45.689655172413794
20,69,69, 100,1.552307652877464,37.119852165736184,71.49001128836078,2423,45.068097399917455
21,69,69, 100,1.5503211171946878,37.24403755087603,71.47209786229763,2423,45.27445315724309
22,69,69, 100,1.5487252022837865,37.38714692852964,71.49833437169272,2416,45.157284768211916
23,69,69, 100,1.5452641910506073,37.44339750186529,71.52443300300692,2408,45.01661129568107
24,69,69, 100,1.5426538480018048,37.346997166414305,71.49317082644014,2401,45.106205747605166
