step,vl_2,vl_7,vl_8,vl_9
137,1.88502215,4.79591349,4.79591349,4.79591349
138,1.88502215,4.77988795,4.77988795,4.77988795
139,1.88502215,4.77988795,4.77988795,4.77988795
140,1.88502215,4.77988795,4.77988795,4.77988795
141,1.88502215,4.77988795,4.77988795,4.77988795
142,1.88502215,4.77988795,4.77988795,4.77988795
143,1.88502215,4.77988795,4.77988795,4.77988795
144,1.88502215,4.77988795,4.77988795,4.77988795
145,1.88502215,4.77988795,4.77988795,4.77988795
146,1.88502215,4.77988795,4.77988795,4.77988795
147,1.88502215,4.77988795,4.77988795,4.77988795
148,1.88502215,4.77988795,4.77988795,4.77988795
149,1.88502215,4.77988795,4.77988795,4.77988795
150,1.88502215,4.77988795,4.77988795,4.77988795
151,1.88502215,4.77988795,4.77988795,4.77988795
152,1.88502215,4.77988795,4.77988795,4.77988795
153,1.88502215,4.77988795,4.77988795,4.77988795
154,2.37081709,4.77988795,4.77988795,4.77988795
155,2.37081709,4.77988795,4.77988795,4.77988795
156,2.37081709,4.77988795,4.77988795,4.77988795
157,2.37081709,4.77988795,4.77988795,4.77988795
158,2.37081709,4.77988795,4.77988795,4.77988795
159,2.37081709,4.77988795,4.77988795,4.77988795
160,2.53177048,6.01172779,6.01172779,6.01172779
161,2.53177048,6.01172779,6.01172779,6.01172779
162,2.67155713,6.01172779,6.01172779,6.01172779
163,2.67155713,6.01172779,6.01172779,6.01172779
164,2.67155713,6.01172779,6.01172779,6.01172779
165,2.67155713,6.01172779,6.01172779,6.01172779
166,2.67155713,6.41986047,6.41986047,6.41986047
167,2.67155713,6.41986047,6.41986047,6.41986047
168,2.67155713,6.77432026,6.77432026,6.77432026
169,2.67155713,6.77432026,6.77432026,6.77432026
170,2.67155713,6.77432026,6.77432026,6.77432026
171,2.43841134,6.77432026,6.77432026,6.77432026
172,2.35813763,6.77432026,6.77432026,6.77432026
173,2.35813763,6.77432026,6.77432026,6.77432026
174,2.35813763,6.77432026,6.77432026,6.77432026
175,2.35813763,6.77432026,6.77432026,6.77432026
176,14.97172649,6.77432026,6.77432026,6.77432026
177,14.97172649,6.18312786,6.18312786,6.18312786
178,14.97172649,5.97957624,5.97957624,5.97957624
179,14.97172649,5.97957624,5.97957624,5.97957624
180,14.97172649,5.97957624,5.97957624,5.97957624
181,14.97172649,5.97957624,5.97957624,5.97957624
182,14.97172649,37.96410298,37.96410298,37.96410298
183,14.97172649,37.96410298,37.96410298,37.96410298
184,14.97172649,37.96410298,37.96410298,37.96410298
185,14.97172649,37.96410298,37.96410298,37.96410298
186,14.97172649,37.96410298,37.96410298,37.96410298
187,14.97172649,37.96410298,37.96410298,37.96410298
188,14.97172649,37.96410298,37.96410298,37.96410298
189,14.97172649,37.96410298,37.96410298,37.96410298
190,17.42326106,37.96410298,37.96410298,37.96410298
191,17.42326106,37.96410298,37.96410298,37.96410298
192,17.42326106,37.96410298,37.96410298,37.96410298
193,17.42326106,37.96410298,37.96410298,37.96410298
194,17.42326106,37.96410298,37.96410298,37.96410298
195,17.42326106,37.96410298,37.96410298,37.96410298
196,17.42326106,44.18050768,44.18050768,44.18050768
197,17.42326106,44.18050768,44.18050768,44.18050768
198,17.42326106,44.18050768,44.18050768,44.18050768
199,17.42326106,44.18050768,44.18050768,44.18050768
200,17.42326106,44.18050768,44.18050768,44.18050768
201,17.42326106,44.18050768,44.18050768,44.18050768
202,17.42326106,44.18050768,44.18050768,44.18050768
203,17.42326106,44.18050768,44.18050768,44.18050768
204,17.42326106,44.18050768,44.18050768,44.18050768
205,17.42326106,44.18050768,44.18050768,44.18050768
206,19.54266444,44.18050768,44.18050768,44.18050768
207,19.54266444,44.18050768,44.18050768,44.18050768
208,19.54266444,44.18050768,44.18050768,44.18050768
209,19.54266444,44.18050768,44.18050768,44.18050768
210,19.54266444,44.18050768,44.18050768,44.18050768
211,19.54266444,44.18050768,44.18050768,44.18050768
212,19.54266444,49.55472077,49.55472077,49.55472077
213,19.54266444,49.55472077,49.55472077,49.55472077
214,19.54266444,49.55472077,49.55472077,49.55472077
215,20.53837154,49.55472077,49.55472077,49.55472077
216,19.39935768,49.55472077,49.55472077,49.55472077
217,19.39935768,49.55472077,49.55472077,49.55472077
218,19.39935768,49.55472077,49.55472077,49.55472077
219,19.39935768,49.55472077,49.55472077,49.55472077
220,19.39935768,49.55472077,49.55472077,49.55472077
221,19.39935768,52.07955494,52.07955494,52.07955494
222,19.39935768,49.19133498,49.19133498,49.19133498
223,19.39935768,49.19133498,49.19133498,49.19133498
224,19.39935768,49.19133498,49.19133498,49.19133498
225,19.39935768,49.19133498,49.19133498,49.19133498
226,19.39935768,49.19133498,49.19133498,49.19133498
227,19.39935768,49.19133498,49.19133498,49.19133498
228,19.39935768,49.19133498,49.19133498,49.19133498
229,19.39935768,49.19133498,49.19133498,49.19133498
230,19.39935768,49.19133498,49.19133498,49.19133498
231,19.39935768,49.19133498,49.19133498,49.19133498
232,24.24678969,49.19133498,49.19133498,49.19133498
233,24.24678969,49.19133498,49.19133498,49.19133498
234,24.24678969,49.19133498,49.19133498,49.19133498
235,24.24678969,49.19133498,49.19133498,49.19133498
236,24.24678969,49.19133498,49.19133498,49.19133498
237,24.24678969,49.19133498,49.19133498,49.19133498
238,24.24678969,61.48306419,61.48306419,61.48306419
239,23.62992156,61.48306419,61.48306419,61.48306419
240,23.62992156,61.48306419,61.48306419,61.48306419
241,23.62992156,61.48306419,61.48306419,61.48306419
242,26.73434348,61.48306419,61.48306419,61.48306419
243,27.76047529,61.48306419,61.48306419,61.48306419
244,27.76047529,61.48306419,61.48306419,61.48306419
245,27.76047529,59.91885947,59.91885947,59.91885947
246,27.76047529,59.91885947,59.91885947,59.91885947
247,27.76047529,59.91885947,59.91885947,59.91885947
248,27.76047529,67.79080354,67.79080354,67.79080354
249,27.76047529,70.39278626,70.39278626,70.39278626
250,27.76047529,70.39278626,70.39278626,70.39278626
251,27.76047529,70.39278626,70.39278626,70.39278626
252,24.31539141,70.39278626,70.39278626,70.39278626
253,24.31539141,70.39278626,70.39278626,70.39278626
254,21.24047205,70.39278626,70.39278626,70.39278626
255,21.24047205,70.39278626,70.39278626,70.39278626
256,21.24047205,70.39278626,70.39278626,70.39278626
257,21.24047205,70.39278626,70.39278626,70.39278626
258,21.24047205,70.39278626,70.39278626,70.39278626
259,21.24047205,70.39278626,70.39278626,70.39278626
260,21.24047205,75.66948256,75.66948256,75.66948256
261,21.24047205,75.66948256,75.66948256,75.66948256
262,21.24047205,75.66948256,75.66948256,75.66948256
263,21.24047205,75.66948256,75.66948256,75.66948256
264,21.24047205,75.66948256,75.66948256,75.66948256
265,21.24047205,75.66948256,75.66948256,75.66948256
266,21.24047205,75.66948256,75.66948256,75.66948256
267,21.24047205,75.66948256,75.66948256,75.66948256
268,21.24047205,75.66948256,75.66948256,75.66948256
269,21.24047205,75.66948256,75.66948256,75.66948256
270,21.24047205,75.66948256,75.66948256,75.66948256
271,21.24047205,75.66948256,75.66948256,75.66948256
272,21.24047205,75.66948256,75.66948256,75.66948256
273,21.24047205,75.66948256,75.66948256,75.66948256
274,21.24047205,75.66948256,75.66948256,75.66948256
275,21.24047205,75.66948256,75.66948256,75.66948256
276,21.24047205,75.66948256,75.66948256,75.66948256
277,33.67008161,75.66948256,75.66948256,75.66948256
278,32.09942708,75.66948256,75.66948256,75.66948256
279,32.09942708,75.66948256,75.66948256,75.66948256
280,32.09942708,75.66948256,75.66948256,75.66948256
281,35.50042898,75.66948256,75.66948256,75.66948256
282,35.50042898,75.66948256,75.66948256,75.66948256
283,35.50042898,75.66948256,75.66948256,75.66948256
284,35.50042898,75.66948256,75.66948256,75.66948256
285,35.50042898,75.66948256,75.66948256,75.66948256
286,35.50042898,75.66948256,75.66948256,75.66948256
287,35.50042898,119.95014272,119.95014272,119.95014272
288,35.50042898,114.35466370,114.35466370,114.35466370
289,35.50042898,114.35466370,114.35466370,114.35466370
290,73.63900829,114.35466370,114.35466370,114.35466370
291,73.63900829,126.47078115,126.47078115,126.47078115
292,73.63900829,126.47078115,126.47078115,126.47078115
293,73.63900829,126.47078115,126.47078115,126.47078115
294,73.63900829,126.47078115,126.47078115,126.47078115
295,73.63900829,126.47078115,126.47078115,126.47078115
296,73.63900829,126.47078115,126.47078115,126.47078115
297,73.63900829,126.47078115,126.47078115,126.47078115
298,73.63900829,126.47078115,126.47078115,126.47078115
299,73.63900829,126.47078115,126.47078115,126.47078115
300,73.63900829,126.47078115,126.47078115,126.47078115
301,73.63900829,126.47078115,126.47078115,126.47078115
302,73.63900829,151.29329861,151.29329861,151.29329861
303,73.63900829,151.29329861,151.29329861,151.29329861
304,73.63900829,151.29329861,151.29329861,151.29329861
305,73.63900829,151.29329861,151.29329861,151.29329861
306,73.63900829,151.29329861,151.29329861,151.29329861
307,73.63900829,151.29329861,151.29329861,151.29329861
308,73.63900829,151.29329861,151.29329861,151.29329861
309,73.63900829,151.29329861,151.29329861,151.29329861
310,73.63900829,151.29329861,151.29329861,151.29329861
311,73.63900829,151.29329861,151.29329861,151.29329861
312,73.63900829,151.29329861,151.29329861,151.29329861
313,73.63900829,151.29329861,151.29329861,151.29329861
314,73.63900829,151.29329861,151.29329861,151.29329861
315,73.63900829,151.29329861,151.29329861,151.29329861
316,73.63900829,151.29329861,151.29329861,151.29329861
317,73.63900829,151.29329861,151.29329861,151.29329861
318,73.63900829,151.29329861,151.29329861,151.29329861
319,73.63900829,151.29329861,151.29329861,151.29329861
320,73.63900829,151.29329861,151.29329861,151.29329861
321,73.63900829,151.29329861,151.29329861,151.29329861
322,84.26667141,151.29329861,151.29329861,151.29329861
323,100.12927350,151.29329861,151.29329861,151.29329861
324,75.04790883,151.29329861,151.29329861,151.29329861
325,59.96879802,151.29329861,151.29329861,151.29329861
326,68.90327604,151.29329861,151.29329861,151.29329861
327,68.90327604,151.29329861,151.29329861,151.29329861
328,68.90327604,151.29329861,151.29329861,151.29329861
329,68.90327604,151.29329861,151.29329861,151.29329861
330,68.90327604,151.29329861,151.29329861,151.29329861
331,63.09830464,151.29329861,151.29329861,151.29329861
332,63.09830464,173.12811479,173.12811479,173.12811479
333,63.09830464,205.71825214,205.71825214,205.71825214
334,65.55283140,154.18792219,154.18792219,154.18792219
335,92.35215350,154.18792219,154.18792219,154.18792219
336,110.27468462,177.15967828,177.15967828,177.15967828
337,110.27468462,177.15967828,177.15967828,177.15967828
338,110.27468462,177.15967828,177.15967828,177.15967828
339,110.27468462,177.15967828,177.15967828,177.15967828
340,110.27468462,177.15967828,177.15967828,177.15967828
341,110.27468462,162.23430862,162.23430862,162.23430862
342,110.27468462,162.23430862,162.23430862,162.23430862
343,110.27468462,162.23430862,162.23430862,162.23430862
344,110.27468462,168.54523021,168.54523021,168.54523021
345,129.77718496,237.44992610,237.44992610,237.44992610
346,130.97523507,283.53118712,283.53118712,283.53118712
347,130.97523507,283.53118712,283.53118712,283.53118712
348,130.97523507,283.53118712,283.53118712,283.53118712
349,130.97523507,283.53118712,283.53118712,283.53118712
350,130.97523507,283.53118712,283.53118712,283.53118712
351,89.18343769,283.53118712,283.53118712,283.53118712
352,89.18343769,283.53118712,283.53118712,283.53118712
353,89.18343769,283.53118712,283.53118712,283.53118712
354,89.18343769,283.53118712,283.53118712,283.53118712
355,89.18343769,333.67476349,333.67476349,333.67476349
356,89.18343769,336.75511301,336.75511301,336.75511301
357,89.18343769,336.75511301,336.75511301,336.75511301
358,89.18343769,336.75511301,336.75511301,336.75511301
359,89.18343769,336.75511301,336.75511301,336.75511301
360,89.18343769,336.75511301,336.75511301,336.75511301
361,89.18343769,229.30272750,229.30272750,229.30272750
362,89.18343769,229.30272750,229.30272750,229.30272750
363,89.18343769,229.30272750,229.30272750,229.30272750
364,89.18343769,229.30272750,229.30272750,229.30272750
365,89.18343769,229.30272750,229.30272750,229.30272750
366,89.18343769,229.30272750,229.30272750,229.30272750
367,110.23481645,229.30272750,229.30272750,229.30272750
368,120.50394265,229.30272750,229.30272750,229.30272750
369,167.10380646,229.30272750,229.30272750,229.30272750
370,169.33930889,229.30272750,229.30272750,229.30272750
371,169.33930889,229.30272750,229.30272750,229.30272750
372,169.33930889,229.30272750,229.30272750,229.30272750
373,169.33930889,229.30272750,229.30272750,229.30272750
374,169.33930889,229.30272750,229.30272750,229.30272750
375,169.33930889,229.30272750,229.30272750,229.30272750
376,169.33930889,229.30272750,229.30272750,229.30272750
377,169.33930889,283.42868063,283.42868063,283.42868063
378,169.33930889,309.83199840,309.83199840,309.83199840
379,169.33930889,429.64657553,429.64657553,429.64657553
380,154.69457398,435.39435581,435.39435581,435.39435581
381,135.92437967,435.39435581,435.39435581,435.39435581
382,124.13116319,435.39435581,435.39435581,435.39435581
383,124.13116319,435.39435581,435.39435581,435.39435581
384,124.13116319,435.39435581,435.39435581,435.39435581
385,124.13116319,435.39435581,435.39435581,435.39435581
386,124.13116319,435.39435581,435.39435581,435.39435581
387,124.13116319,435.39435581,435.39435581,435.39435581
388,124.13116319,435.39435581,435.39435581,435.39435581
389,124.13116319,435.39435581,435.39435581,435.39435581
390,124.13116319,435.39435581,435.39435581,435.39435581
391,124.13116319,435.39435581,435.39435581,435.39435581
392,124.13116319,381.75086076,381.75086076,381.75086076
393,124.13116319,335.43031021,335.43031021,335.43031021
394,124.13116319,335.43031021,335.43031021,335.43031021
395,124.13116319,335.43031021,335.43031021,335.43031021
396,124.13116319,260.13812082,260.13812082,335.43031021
397,124.13116319,260.13812082,260.13812082,335.43031021
398,124.13116319,260.13812082,260.13812082,335.43031021
399,124.13116319,260.13812082,260.13812082,335.43031021
400,124.13116319,260.13812082,260.13812082,335.43031021
401,124.13116319,260.13812082,260.13812082,335.43031021
402,124.13116319,260.13812082,260.13812082,335.43031021
403,156.37879396,260.13812082,260.13812082,335.43031021
404,148.80405903,260.13812082,260.13812082,335.43031021
405,148.80405903,260.13812082,260.13812082,335.43031021
406,155.62361677,260.13812082,260.13812082,335.43031021
407,132.53596543,260.13812082,260.13812082,335.43031021
408,139.79862122,260.13812082,260.13812082,335.43031021
409,139.79862122,260.13812082,260.13812082,335.43031021
410,139.79862122,260.13812082,260.13812082,335.43031021
411,139.79862122,260.13812082,260.13812082,335.43031021
412,139.79862122,260.13812082,260.13812082,335.43031021
413,139.79862122,260.13812082,260.13812082,335.43031021
414,139.79862122,327.71855633,327.71855633,335.43031021
415,139.79862122,327.71855633,327.71855633,335.43031021
416,139.79862122,335.75256141,335.75256141,335.43031021
417,139.79862122,351.13980282,351.13980282,335.43031021
418,174.74019673,299.04620990,299.04620990,335.43031021
419,164.60574640,315.43323120,315.43323120,335.43031021
420,177.76953604,315.43323120,315.43323120,335.43031021
421,177.76953604,315.43323120,315.43323120,335.43031021
422,189.16329383,315.43323120,315.43323120,335.43031021
423,189.16329383,268.64409841,268.64409841,335.43031021
424,189.16329383,268.64409841,268.64409841,335.43031021
425,189.16329383,268.64409841,268.64409841,335.43031021
426,189.16329383,268.64409841,268.64409841,422.57065848
427,189.16329383,284.44763831,284.44763831,422.57065848
428,189.16329383,310.88277379,310.88277379,432.92995841
429,189.16329383,276.50556974,276.50556974,452.77075353
430,189.16329383,247.15184509,247.15184509,385.59962930
431,189.16329383,247.15184509,247.15184509,406.72957219
432,189.16329383,247.15184509,247.15184509,406.72957219
433,189.16329383,247.15184509,247.15184509,406.72957219
434,189.16329383,247.15184509,247.15184509,406.72957219
435,189.16329383,247.15184509,247.15184509,346.39818640
436,189.16329383,247.15184509,247.15184509,346.39818640
437,189.16329383,247.15184509,247.15184509,346.39818640
438,189.16329383,247.15184509,247.15184509,346.39818640
439,189.16329383,247.15184509,247.15184509,366.77576995
440,189.16329383,247.15184509,247.15184509,400.86206866
441,189.16329383,247.15184509,247.15184509,356.53501586
442,189.16329383,247.15184509,247.15184509,318.68539607
443,189.16329383,247.15184509,247.15184509,318.68539607
444,189.16329383,247.15184509,247.15184509,318.68539607
445,189.16329383,247.15184509,247.15184509,318.68539607
446,189.16329383,247.15184509,247.15184509,318.68539607
447,189.16329383,247.15184509,247.15184509,318.68539607
448,189.16329383,247.15184509,247.15184509,318.68539607
449,189.16329383,247.15184509,247.15184509,318.68539607
450,189.16329383,247.15184509,247.15184509,318.68539607
451,189.16329383,247.15184509,247.15184509,318.68539607
452,189.16329383,247.15184509,247.15184509,318.68539607
453,189.16329383,247.15184509,247.15184509,318.68539607
454,189.16329383,247.15184509,247.15184509,318.68539607
455,189.16329383,247.15184509,247.15184509,318.68539607
456,189.16329383,247.15184509,247.15184509,318.68539607
457,189.16329383,247.15184509,247.15184509,318.68539607
458,189.16329383,247.15184509,247.15184509,318.68539607
459,189.16329383,247.15184509,247.15184509,318.68539607
460,189.16329383,247.15184509,247.15184509,318.68539607
461,189.16329383,247.15184509,247.15184509,318.68539607
462,189.16329383,247.15184509,247.15184509,318.68539607
463,189.16329383,247.15184509,247.15184509,318.68539607
464,189.16329383,247.15184509,247.15184509,318.68539607
465,189.16329383,247.15184509,247.15184509,318.68539607
466,189.16329383,247.15184509,247.15184509,318.68539607
467,189.16329383,247.15184509,247.15184509,318.68539607
468,189.16329383,247.15184509,247.15184509,318.68539607
469,189.16329383,247.15184509,247.15184509,318.68539607
470,219.45220874,247.15184509,247.15184509,318.68539607
471,219.45220874,247.15184509,247.15184509,318.68539607
472,219.45220874,247.15184509,247.15184509,318.68539607
473,219.45220874,247.15184509,247.15184509,318.68539607
474,219.45220874,247.15184509,247.15184509,318.68539607
475,219.45220874,247.15184509,247.15184509,318.68539607
476,219.45220874,286.72591389,286.72591389,318.68539607
477,219.45220874,286.72591389,286.72591389,318.68539607
478,219.45220874,286.72591389,286.72591389,318.68539607
479,219.45220874,286.72591389,286.72591389,318.68539607
480,219.45220874,286.72591389,286.72591389,318.68539607
481,219.45220874,286.72591389,286.72591389,318.68539607
482,209.79417963,286.72591389,286.72591389,318.68539607
483,209.79417963,286.72591389,286.72591389,318.68539607
484,209.79417963,286.72591389,286.72591389,318.68539607
485,209.79417963,286.72591389,286.72591389,318.68539607
486,209.79417963,286.72591389,286.72591389,318.68539607
487,209.79417963,286.72591389,286.72591389,318.68539607
488,209.79417963,274.10718821,274.10718821,369.71345045
489,209.79417963,274.10718821,274.10718821,369.71345045
490,209.79417963,274.10718821,274.10718821,369.71345045
491,209.79417963,274.10718821,274.10718821,369.71345045
492,209.79417963,274.10718821,274.10718821,369.71345045
493,209.79417963,274.10718821,274.10718821,369.71345045
494,209.79417963,274.10718821,274.10718821,369.71345045
495,209.79417963,274.10718821,274.10718821,369.71345045
496,209.79417963,274.10718821,274.10718821,369.71345045
497,209.79417963,274.10718821,274.10718821,369.71345045
498,209.79417963,274.10718821,274.10718821,369.71345045
499,209.79417963,274.10718821,274.10718821,369.71345045
500,209.79417963,274.10718821,274.10718821,353.44246695
501,209.79417963,274.10718821,274.10718821,353.44246695
502,209.79417963,274.10718821,274.10718821,353.44246695
503,209.79417963,274.10718821,274.10718821,353.44246695
504,209.79417963,274.10718821,274.10718821,353.44246695
505,209.79417963,274.10718821,274.10718821,353.44246695
506,209.79417963,274.10718821,274.10718821,353.44246695
507,209.79417963,274.10718821,274.10718821,353.44246695
508,209.79417963,274.10718821,274.10718821,353.44246695
509,209.79417963,274.10718821,274.10718821,353.44246695
510,209.79417963,274.10718821,274.10718821,353.44246695
511,209.79417963,274.10718821,274.10718821,353.44246695
512,205.81529919,274.10718821,274.10718821,353.44246695
513,205.81529919,274.10718821,274.10718821,353.44246695
514,190.15999114,274.10718821,274.10718821,353.44246695
515,190.15999114,274.10718821,274.10718821,353.44246695
516,190.15999114,274.10718821,274.10718821,353.44246695
517,190.15999114,274.10718821,274.10718821,353.44246695
518,190.15999114,268.90857053,268.90857053,353.44246695
519,190.15999114,268.90857053,268.90857053,353.44246695
520,190.15999114,248.45408281,248.45408281,353.44246695
521,190.15999114,248.45408281,248.45408281,353.44246695
522,190.15999114,248.45408281,248.45408281,353.44246695
523,190.15999114,248.45408281,248.45408281,353.44246695
524,197.66928173,248.45408281,248.45408281,353.44246695
525,197.66928173,248.45408281,248.45408281,353.44246695
526,197.66928173,248.45408281,248.45408281,353.44246695
527,197.66928173,248.45408281,248.45408281,353.44246695
528,197.66928173,248.45408281,248.45408281,353.44246695
529,251.73991863,248.45408281,248.45408281,353.44246695
530,251.73991863,258.26536802,258.26536802,346.73920511
531,221.64346232,258.26536802,258.26536802,346.73920511
532,221.64346232,258.26536802,258.26536802,320.36454253
533,221.64346232,258.26536802,258.26536802,320.36454253
534,221.64346232,258.26536802,258.26536802,320.36454253
535,221.64346232,328.91151402,328.91151402,320.36454253
