universe,cooldown,window,ret,sharpe,trades,max_dd,pass
NoDOGE,15,6,53.81,1.193,24,23.98,true
NoDOGE,15,7,31.65,0.786,22,27.18,true
NoDOGE,15,8,-53.80,-0.997,26,53.80,false
NoDOGE,15,9,223.02,2.159,14,23.60,true
NoDOGE,20,0,206.83,1.565,19,28.84,true
NoDOGE,20,1,-33.86,-0.674,19,33.86,false
NoDOGE,20,2,81.65,1.146,23,32.86,true
NoDOGE,20,3,3.41,0.528,25,49.75,true
NoDOGE,20,4,38.69,0.902,16,29.09,true
NoDOGE,20,5,-67.95,-2.404,21,74.89,false
NoDOGE,20,6,72.33,1.506,22,24.80,true
NoDOGE,20,7,60.64,1.035,19,27.18,true
NoDOGE,20,8,-62.50,-2.546,22,62.50,false
NoDOGE,20,9,223.02,2.159,14,23.60,true
Legacy4,0,0,47.48,0.965,34,58.16,true
Legacy4,0,1,48.54,0.995,30,45.26,true
Legacy4,0,2,-8.62,0.472,36,51.18,true
Legacy4,0,3,63.64,1.140,40,56.99,true
Legacy4,0,4,-20.75,0.112,22,60.80,true
Legacy4,0,5,-73.64,-2.824,31,80.32,false
Legacy4,0,6,-27.30,-0.128,29,46.90,false
Legacy4,0,7,-49.75,-0.251,39,53.56,false
Legacy4,0,8,-20.39,0.271,39,59.46,true
Legacy4,0,9,194.32,2.009,19,28.51,true
Legacy4,3,0,24.11,0.794,31,55.41,true
Legacy4,3,1,24.07,0.740,30,47.62,true
Legacy4,3,2,-20.34,0.340,33,56.82,true
Legacy4,3,3,213.67,1.588,35,42.81,true
Legacy4,3,4,7.21,0.509,19,49.97,true
Legacy4,3,5,-71.44,-2.725,28,78.36,false
Legacy4,3,6,-22.50,-0.029,27,43.44,false
Legacy4,3,7,-53.79,-0.342,37,56.38,false
Legacy4,3,8,24.74,0.755,35,54.30,true
Legacy4,3,9,200.62,2.041,18,26.98,true
Legacy4,5,0,111.16,1.288,29,46.05,true
Legacy4,5,1,-31.03,-0.223,31,57.79,false
Legacy4,5,2,0.60,0.561,30,52.38,true
Legacy4,5,3,222.27,1.619,32,37.66,true
Legacy4,5,4,2.71,0.439,19,49.97,true
Legacy4,5,5,-66.50,-2.495,26,74.32,false
Legacy4,5,6,-8.21,0.238,25,37.45,true
Legacy4,5,7,-47.40,-0.217,36,55.73,false
Legacy4,5,8,46.44,0.910,32,54.30,true
Legacy4,5,9,235.47,2.214,17,26.98,true
Legacy4,10,0,51.72,0.968,24,51.03,true
Legacy4,10,1,-38.17,-0.499,29,63.24,false
Legacy4,10,2,5.60,0.613,28,52.89,true
Legacy4,10,3,331.96,1.901,28,37.26,true
Legacy4,10,4,-8.66,0.203,18,42.41,true
Legacy4,10,5,-65.04,-2.386,24,72.74,false
Legacy4,10,6,5.24,0.449,24,34.00,true
Legacy4,10,7,-40.86,-0.154,29,54.96,false
Legacy4,10,8,26.14,0.760,30,50.95,true
Legacy4,10,9,185.72,1.969,17,26.98,true
Legacy4,15,0,222.44,1.658,20,32.64,true
Legacy4,15,1,-25.11,-0.352,22,42.75,false
Legacy4,15,2,5.74,0.608,27,48.64,true
Legacy4,15,3,-53.15,-0.408,28,67.69,false
Legacy4,15,4,-17.51,-0.016,18,43.51,false
Legacy4,15,5,-61.51,-2.201,21,69.80,false
Legacy4,15,6,21.03,0.670,22,28.18,true
Legacy4,15,7,-52.37,-0.414,27,57.16,false
Legacy4,15,8,-34.15,-0.321,29,48.67,false
Legacy4,15,9,97.54,1.423,16,35.26,true
Legacy4,20,0,199.07,1.587,19,32.64,true
Legacy4,20,1,-25.42,-0.360,21,42.75,false
Legacy4,20,2,28.78,0.789,22,43.90,true
Legacy4,20,3,-68.68,-1.130,24,68.68,false
Legacy4,20,4,16.91,0.632,14,36.91,true
Legacy4,20,5,-54.74,-1.870,19,64.49,false
Legacy4,20,6,34.07,0.845,19,28.65,true
Legacy4,20,7,-36.63,-0.121,24,44.66,false
Legacy4,20,8,-64.11,-2.060,25,64.11,false
Legacy4,20,9,137.63,1.706,14,26.98,true
Legacy5BNB,0,0,10.07,0.744,43,67.83,true
Legacy5BNB,0,1,11.66,0.614,33,59.05,true
Legacy5BNB,0,2,-13.92,0.370,38,52.02,true
Legacy5BNB,0,3,143.11,1.402,46,66.41,true
Legacy5BNB,0,4,30.50,0.758,22,43.51,true
Legacy5BNB,0,5,-73.45,-2.910,32,78.50,false
Legacy5BNB,0,6,-15.75,0.054,29,45.79,true
Legacy5BNB,0,7,-62.34,-0.175,48,63.97,false
Legacy5BNB,0,8,-74.54,-2.009,43,81.98,false
Legacy5BNB,0,9,120.35,1.570,25,40.91,true
Legacy5BNB,3,0,6.08,0.671,38,65.72,true
Legacy5BNB,3,1,-9.17,0.325,33,62.19,true
Legacy5BNB,3,2,-35.22,0.036,36,58.76,true
Legacy5BNB,3,3,492.86,1.837,39,54.43,true
Legacy5BNB,3,4,50.66,0.913,20,38.48,true
Legacy5BNB,3,5,-75.73,-3.123,30,80.07,false
Legacy5BNB,3,6,-10.26,0.163,28,42.26,true
Legacy5BNB,3,7,-43.82,0.105,42,52.50,true
Legacy5BNB,3,8,-59.17,-1.038,39,70.63,false
Legacy5BNB,3,9,125.07,1.600,24,39.64,true
Legacy5BNB,5,0,75.27,1.124,36,58.53,true
Legacy5BNB,5,1,-41.63,-0.380,33,69.81,false
Legacy5BNB,5,2,-23.57,0.204,34,53.99,true
Legacy5BNB,5,3,202.52,1.603,37,60.61,true
Legacy5BNB,5,4,50.66,0.913,20,38.48,true
Legacy5BNB,5,5,-75.50,-3.366,28,79.88,false
Legacy5BNB,5,6,6.28,0.460,26,36.14,true
Legacy5BNB,5,7,-50.61,-0.033,40,54.23,false
Legacy5BNB,5,8,-49.04,-0.708,35,62.64,false
Legacy5BNB,5,9,146.31,1.736,23,39.64,true
Legacy5BNB,10,0,44.20,0.934,30,57.79,true
Legacy5BNB,10,1,-55.52,-0.879,32,77.45,false
Legacy5BNB,10,2,-50.99,-0.329,34,68.80,false
Legacy5BNB,10,3,463.12,2.093,32,41.40,true
Legacy5BNB,10,4,30.23,0.750,20,46.82,true
Legacy5BNB,10,5,-74.24,-3.306,26,78.84,false
Legacy5BNB,10,6,17.30,0.630,24,34.00,true
Legacy5BNB,10,7,-60.06,-0.264,34,62.13,false
Legacy5BNB,10,8,-47.71,-0.722,34,56.89,false
Legacy5BNB,10,9,108.07,1.487,23,39.64,true
Legacy5BNB,15,0,97.44,1.199,26,44.69,true
Legacy5BNB,15,1,-44.56,-0.748,25,62.37,false
Legacy5BNB,15,2,-38.24,-0.021,31,64.75,false
Legacy5BNB,15,3,-56.63,-0.274,33,71.17,false
Legacy5BNB,15,4,51.26,0.913,18,36.91,true
Legacy5BNB,15,5,-68.56,-2.591,23,75.33,false
Legacy5BNB,15,6,5.62,0.417,24,34.18,true
Legacy5BNB,15,7,-52.72,-0.117,30,60.03,false
Legacy5BNB,15,8,-63.68,-1.830,33,71.92,false
Legacy5BNB,15,9,49.60,1.012,22,50.96,true
Legacy5BNB,20,0,184.09,1.537,24,44.69,true
Legacy5BNB,20,1,-42.03,-0.672,24,62.37,false
Legacy5BNB,20,2,-36.59,-0.178,27,69.77,false
Legacy5BNB,20,3,-74.25,-0.988,29,78.71,false
Legacy5BNB,20,4,34.50,0.796,16,36.91,true
Legacy5BNB,20,5,-63.03,-2.288,21,71.00,false
Legacy5BNB,20,6,47.53,1.028,20,28.65,true
Legacy5BNB,20,7,-27.62,0.216,27,47.82,true
Legacy5BNB,20,8,-59.46,-1.701,28,61.69,false
Legacy5BNB,20,9,80.17,1.286,19,39.64,true
OldGuardNoBNB,0,0,-38.13,0.290,43,79.69,true
OldGuardNoBNB,0,1,-44.68,-0.264,37,75.00,false
OldGuardNoBNB,0,2,-41.88,0.042,39,66.09,true
OldGuardNoBNB,0,3,-54.44,0.201,48,84.38,true
OldGuardNoBNB,0,4,-46.50,-0.381,27,71.09,false
OldGuardNoBNB,0,5,-63.69,-1.105,38,78.13,false
OldGuardNoBNB,0,6,-54.62,-0.747,35,63.83,false
OldGuardNoBNB,0,7,-75.25,-1.044,44,75.61,false
OldGuardNoBNB,0,8,-16.54,0.322,38,57.50,true
OldGuardNoBNB,0,9,194.32,2.009,19,28.51,true
OldGuardNoBNB,3,0,-37.73,0.251,39,73.85,true
OldGuardNoBNB,3,1,-20.81,0.166,34,66.57,true
OldGuardNoBNB,3,2,-17.33,0.378,34,59.22,true
OldGuardNoBNB,3,3,3.08,0.769,42,68.75,true
OldGuardNoBNB,3,4,-27.62,-0.003,24,63.09,false
OldGuardNoBNB,3,5,-57.24,-0.893,34,73.86,false
OldGuardNoBNB,3,6,-35.18,-0.162,31,52.77,false
OldGuardNoBNB,3,7,-78.78,-1.133,45,79.09,false
OldGuardNoBNB,3,8,22.57,0.738,35,55.09,true
OldGuardNoBNB,3,9,200.62,2.041,18,26.98,true
OldGuardNoBNB,5,0,21.16,0.816,36,64.33,true
OldGuardNoBNB,5,1,-55.98,-0.766,35,73.06,false
OldGuardNoBNB,5,2,1.82,0.554,31,49.63,true
OldGuardNoBNB,5,3,67.61,1.133,36,61.14,true
OldGuardNoBNB,5,4,-45.62,-0.588,24,58.58,false
OldGuardNoBNB,5,5,-46.11,-0.575,31,68.41,false
OldGuardNoBNB,5,6,-31.36,-0.081,30,48.41,false
OldGuardNoBNB,5,7,-74.07,-0.948,44,74.07,false
OldGuardNoBNB,5,8,43.88,0.893,32,55.09,true
OldGuardNoBNB,5,9,235.47,2.214,17,26.98,true
OldGuardNoBNB,10,0,4.50,0.677,30,58.64,true
OldGuardNoBNB,10,1,-57.56,-1.054,32,72.89,false
OldGuardNoBNB,10,2,16.12,0.708,29,47.05,true
OldGuardNoBNB,10,3,127.85,1.373,33,45.66,true
OldGuardNoBNB,10,4,-41.73,-0.597,23,58.58,false
OldGuardNoBNB,10,5,-43.76,-0.508,29,64.74,false
OldGuardNoBNB,10,6,3.41,0.438,26,44.74,true
OldGuardNoBNB,10,7,-62.97,-0.705,36,70.74,false
OldGuardNoBNB,10,8,26.14,0.760,30,50.95,true
OldGuardNoBNB,10,9,185.72,1.969,17,26.98,true
OldGuardNoBNB,15,0,120.51,1.310,26,43.52,true
OldGuardNoBNB,15,1,-41.25,-0.694,25,53.68,false
OldGuardNoBNB,15,2,53.29,0.979,26,41.03,true
OldGuardNoBNB,15,3,-61.10,-0.649,32,68.77,false
OldGuardNoBNB,15,4,-30.72,-0.323,21,49.70,false
OldGuardNoBNB,15,5,-59.87,-1.783,25,70.67,false
OldGuardNoBNB,15,6,-18.20,0.084,26,50.15,true
OldGuardNoBNB,15,7,-57.23,-0.560,30,60.07,false
OldGuardNoBNB,15,8,-34.15,-0.321,29,48.67,false
OldGuardNoBNB,15,9,97.54,1.423,16,35.26,true
OldGuardNoBNB,20,0,145.53,1.405,24,40.88,true
OldGuardNoBNB,20,1,-41.07,-0.694,23,54.76,false
OldGuardNoBNB,20,2,21.83,0.724,23,46.82,true
OldGuardNoBNB,20,3,-71.66,-1.227,28,71.66,false
OldGuardNoBNB,20,4,-15.52,0.082,18,49.70,true
OldGuardNoBNB,20,5,-52.82,-1.475,23,65.51,false
OldGuardNoBNB,20,6,3.64,0.418,23,43.34,true
OldGuardNoBNB,20,7,-50.33,-0.408,28,59.44,false
OldGuardNoBNB,20,8,-64.11,-2.060,25,64.11,false
OldGuardNoBNB,20,9,137.63,1.706,14,26.98,true
LargeCaps5,0,0,-50.86,0.193,45,70.76,true
LargeCaps5,0,1,3.77,0.528,32,58.51,true
LargeCaps5,0,2,94.93,1.192,35,43.70,true
LargeCaps5,0,3,4683.53,2.816,44,57.32,true
LargeCaps5,0,4,168.25,1.467,17,15.57,true
LargeCaps5,0,5,-78.14,-2.802,33,86.25,false
LargeCaps5,0,6,-24.20,-0.166,33,53.73,false
LargeCaps5,0,7,-9.30,0.504,45,44.51,true
LargeCaps5,0,8,-83.62,-2.496,44,85.46,false
LargeCaps5,0,9,98.49,1.455,24,26.01,true
LargeCaps5,3,0,-33.75,0.346,41,69.90,true
LargeCaps5,3,1,27.18,0.808,31,56.99,true
LargeCaps5,3,2,210.22,1.537,31,32.08,true
LargeCaps5,3,3,5879.54,2.982,41,57.32,true
LargeCaps5,3,4,158.03,1.427,17,15.57,true
LargeCaps5,3,5,-78.85,-2.900,32,86.39,false
LargeCaps5,3,6,-14.39,0.056,32,47.74,true
LargeCaps5,3,7,29.40,0.770,39,40.73,true
LargeCaps5,3,8,-84.13,-3.008,41,85.91,false
LargeCaps5,3,9,73.68,1.246,24,26.01,true
LargeCaps5,5,0,-38.84,0.222,38,70.72,true
LargeCaps5,5,1,65.02,1.180,28,53.30,true
LargeCaps5,5,2,201.04,1.510,31,35.56,true
LargeCaps5,5,3,2267.59,2.631,39,57.72,true
LargeCaps5,5,4,158.03,1.427,17,15.57,true
LargeCaps5,5,5,-80.00,-3.231,30,86.05,false
LargeCaps5,5,6,-6.48,0.218,31,42.91,true
LargeCaps5,5,7,-0.09,0.551,37,45.23,true
LargeCaps5,5,8,-78.99,-2.605,37,81.75,false
LargeCaps5,5,9,102.20,1.485,22,27.44,true
LargeCaps5,10,0,-51.37,-0.015,33,60.95,false
LargeCaps5,10,1,-46.45,-0.473,31,63.73,false
LargeCaps5,10,2,71.57,1.081,30,35.56,true
LargeCaps5,10,3,1258.09,2.548,33,44.67,true
LargeCaps5,10,4,91.15,1.145,18,26.12,true
LargeCaps5,10,5,-77.87,-3.154,27,84.57,false
LargeCaps5,10,6,28.50,0.823,29,34.07,true
LargeCaps5,10,7,36.58,0.784,28,35.08,true
LargeCaps5,10,8,-67.20,-2.232,33,67.75,false
LargeCaps5,10,9,89.53,1.391,21,28.65,true
LargeCaps5,15,0,45.69,0.902,25,49.44,true
LargeCaps5,15,1,-61.26,-1.308,27,61.26,false
LargeCaps5,15,2,134.92,1.314,28,31.27,true
LargeCaps5,15,3,29.46,0.902,35,54.08,true
LargeCaps5,15,4,73.75,1.062,18,23.04,true
LargeCaps5,15,5,-71.84,-2.533,24,80.54,false
LargeCaps5,15,6,3.64,0.398,29,37.58,true
LargeCaps5,15,7,12.22,0.624,26,43.07,true
LargeCaps5,15,8,-82.03,-3.544,33,82.03,false
LargeCaps5,15,9,102.45,1.497,20,19.76,true
LargeCaps5,20,0,88.65,1.123,24,40.73,true
LargeCaps5,20,1,-46.30,-0.859,22,51.64,false
LargeCaps5,20,2,39.37,0.885,27,49.97,true
LargeCaps5,20,3,55.00,1.025,29,55.09,true
LargeCaps5,20,4,95.45,1.134,15,23.04,true
LargeCaps5,20,5,-68.97,-2.560,21,78.36,false
LargeCaps5,20,6,33.62,0.946,25,34.36,true
LargeCaps5,20,7,67.43,0.942,22,27.18,true
LargeCaps5,20,8,-70.71,-2.798,28,71.15,false
LargeCaps5,20,9,182.61,1.932,19,23.60,true
Legacy3,0,0,118.81,1.310,27,39.27,true
Legacy3,0,1,-3.66,0.263,27,30.65,true
Legacy3,0,2,-63.31,-0.783,35,69.33,false
Legacy3,0,3,-11.66,0.529,36,66.69,true
Legacy3,0,4,-41.00,-0.823,19,57.89,false
Legacy3,0,5,-79.84,-3.892,30,83.10,false
Legacy3,0,6,-10.08,0.154,23,42.94,true
Legacy3,0,7,-51.85,-0.711,33,54.21,false
Legacy3,0,8,27.92,0.769,32,38.98,true
Legacy3,0,9,74.54,1.430,14,28.51,true
Legacy3,3,0,165.02,1.496,25,33.11,true
Legacy3,3,1,-9.19,0.145,26,30.65,true
Legacy3,3,2,-59.19,-0.684,31,65.23,false
Legacy3,3,3,39.41,0.946,32,49.22,true
Legacy3,3,4,-20.18,-0.205,16,46.25,false
Legacy3,3,5,-82.92,-4.057,28,85.47,false
Legacy3,3,6,-13.98,0.081,23,43.57,true
Legacy3,3,7,-54.20,-0.811,31,54.86,false
Legacy3,3,8,94.98,1.186,28,33.08,true
Legacy3,3,9,78.28,1.473,13,26.98,true
Legacy3,5,0,239.74,1.729,23,27.25,true
Legacy3,5,1,-43.53,-0.973,26,56.13,false
