universe,cooldown,window,ret,sharpe,trades,max_dd,pass
OldGuard4,3,3,-14.08,0.421,35,49.24,true
OldGuard4,3,4,-46.05,-0.955,23,61.67,false
OldGuard4,3,5,-81.92,-2.114,36,83.67,false
OldGuard4,3,6,-34.09,-0.200,28,58.46,false
OldGuard4,3,7,-76.17,-1.730,39,76.52,false
OldGuard4,3,8,94.98,1.186,28,33.08,true
OldGuard4,3,9,78.28,1.473,13,26.98,true
OldGuard4,5,0,127.03,1.350,29,41.53,true
OldGuard4,5,1,-66.38,-1.559,31,71.98,false
OldGuard4,5,2,-45.00,-0.339,29,56.85,false
OldGuard4,5,3,21.44,0.798,31,49.24,true
OldGuard4,5,4,-50.99,-1.301,21,58.62,false
OldGuard4,5,5,-61.88,-1.154,30,70.45,false
OldGuard4,5,6,-30.21,-0.114,27,54.62,false
OldGuard4,5,7,-78.65,-2.166,37,78.65,false
OldGuard4,5,8,128.89,1.350,25,33.08,true
OldGuard4,5,9,78.28,1.473,13,26.98,true
OldGuard4,10,0,34.52,0.870,26,47.30,true
OldGuard4,10,1,-50.49,-1.148,27,58.48,false
OldGuard4,10,2,-36.65,-0.182,26,52.36,false
OldGuard4,10,3,70.44,1.166,28,49.24,true
OldGuard4,10,4,-58.06,-1.752,20,64.59,false
OldGuard4,10,5,-52.29,-0.836,27,67.57,false
OldGuard4,10,6,-18.91,0.088,24,42.28,true
OldGuard4,10,7,-67.19,-1.818,29,67.19,false
OldGuard4,10,8,84.85,1.274,24,33.08,true
OldGuard4,10,9,78.28,1.473,13,26.98,true
OldGuard4,15,0,262.99,1.832,22,27.51,true
OldGuard4,15,1,-46.71,-0.998,22,54.74,false
OldGuard4,15,2,-23.15,0.066,23,48.06,true
OldGuard4,15,3,-59.89,-0.998,27,64.28,false
OldGuard4,15,4,-50.14,-1.459,18,55.69,false
OldGuard4,15,5,-66.52,-2.487,24,71.73,false
OldGuard4,15,6,-6.22,0.287,22,38.00,true
OldGuard4,15,7,-58.20,-1.358,25,58.20,false
OldGuard4,15,8,14.11,0.586,22,31.37,true
OldGuard4,15,9,36.29,0.941,12,35.26,true
OldGuard4,20,0,205.41,1.658,20,27.51,true
OldGuard4,20,1,-37.12,-0.559,20,48.98,false
OldGuard4,20,2,-32.67,-0.474,20,50.58,false
OldGuard4,20,3,-40.19,-0.270,22,60.49,false
OldGuard4,20,4,-36.88,-0.974,15,40.95,false
OldGuard4,20,5,-60.39,-2.163,22,66.55,false
OldGuard4,20,6,36.62,0.832,19,34.13,true
OldGuard4,20,7,-55.60,-1.402,22,55.60,false
OldGuard4,20,8,-39.04,-0.971,19,43.15,false
OldGuard4,20,9,45.32,1.073,11,26.98,true
