cp,universe,window,ret_pct,sharpe,max_dd_pct,trades,win_rate_pct,equity_final,pass
6,Legacy4,5,11.6112,2.472321,21.39,13,38.46,1.116112,true
6,Legacy5BNB,0,155.9811,7.502016,29.68,18,55.56,2.559811,true
6,Legacy5BNB,1,-36.7822,-4.656284,41.93,14,35.71,0.632178,false
6,Legacy5BNB,2,344.5713,10.826167,9.70,11,72.73,4.445713,true
6,Legacy5BNB,3,222.1182,7.891773,49.22,14,50.00,3.221182,true
6,Legacy5BNB,4,72.4398,10.231070,14.67,9,66.67,1.724398,true
6,Legacy5BNB,5,-2.5016,0.730734,22.69,11,36.36,0.974984,false
6,OldGuardNoBNB,0,334.1191,9.187924,30.40,20,70.00,4.341191,true
6,OldGuardNoBNB,1,-38.8250,-3.709883,53.88,13,38.46,0.611750,false
6,OldGuardNoBNB,2,306.7481,10.213424,9.70,11,72.73,4.067481,true
6,OldGuardNoBNB,3,259.5543,11.204856,23.99,14,57.14,3.595543,true
6,OldGuardNoBNB,4,28.1964,3.972291,26.91,12,50.00,1.281964,true
6,OldGuardNoBNB,5,-41.4080,-3.766055,49.24,15,33.33,0.585920,false
6,LargeCaps5,0,130.1503,6.182508,43.47,16,50.00,2.301503,true
6,LargeCaps5,1,-23.1965,-2.185627,42.10,10,40.00,0.768035,false
6,LargeCaps5,2,70.0110,5.065490,27.71,15,40.00,1.700110,true
6,LargeCaps5,3,325.4345,9.051671,38.19,14,64.29,4.254345,true
6,LargeCaps5,4,32.6320,4.876666,13.00,11,45.45,1.326320,true
6,LargeCaps5,5,-20.6649,-1.765657,35.29,15,33.33,0.793351,false
6,Legacy3,0,215.0572,9.699030,21.06,17,64.71,3.150572,true
6,Legacy3,1,80.6500,7.084319,16.87,14,57.14,1.806500,true
6,Legacy3,2,139.5847,6.981521,26.40,14,42.86,2.395847,true
6,Legacy3,3,29.8963,3.537444,35.77,14,42.86,1.298963,true
6,Legacy3,4,-9.3399,-0.157933,27.23,12,41.67,0.906601,false
6,Legacy3,5,-31.2362,-2.305105,46.24,15,26.67,0.687638,false
6,LowVolume5,0,83.1777,4.762109,36.28,19,47.37,1.831777,true
6,LowVolume5,1,-17.5888,-0.124116,55.33,16,43.75,0.824112,false
